,id_column,annotate_text,label,annotated_at
0,271,<b>Raw:</b> @SaddickAdams You throwing lowkey jabs to Ralph and Utd<br><b>Clean</b>: you throwing lowkey jabs to ralph and utd,non_standard_english,2022-12-12 13:32:31
1,22169,<b>Raw:</b> Just imagine that 😳 bro https://t.co/hT7HQvKAvQ<br><b>Clean</b>: just imagine that bro,,2022-12-12 13:32:37
2,20821,<b>Raw:</b> 😳😂😂😂😂 Sheggz 😂😂😂😂 you are behaving because of Bella  it’s been 4 working days. SHEGGZ dey work  #BBNajia<br><b>Clean</b>: sheggz you are behaving because of bella its been 4 working days sheggz dey work,non_standard_english,2022-12-12 13:32:47
3,10222,"<b>Raw:</b> @gyaigyimii Chelsea and Nottingham forest both have same number of UCL trophies, udey call Chelsea too big team…?😂😂<br><b>Clean</b>: chelsea and nottingham forest both have same number of ucl trophies udey call chelsea too big team",non_standard_english,2022-12-12 13:32:56
4,13923,<b>Raw:</b> @1tedbaker Yeah check your WhatsApp<br><b>Clean</b>: yeah check your whatsapp,full_standard_english,2022-12-12 13:33:02
5,9083,<b>Raw:</b> @MimiBb_2 Eeiiii really like seriously……..! https://t.co/xCd0xsAPPC<br><b>Clean</b>: eeiiii really like seriously,,2022-12-12 13:33:11
6,8180,<b>Raw:</b> @QPhiges Mesee. I no dey barb anything kraa😓<br><b>Clean</b>: mesee i no dey barb anything kraa,code-switched,2022-12-12 13:33:18
7,4935,<b>Raw:</b> Omo. Kids are hilarious 😩😫<br><b>Clean</b>: omo kids are hilarious,non_standard_english,2022-12-12 13:33:21
8,21983,<b>Raw:</b> Breaker’s dema anthem this 👍🏽<br><b>Clean</b>: breakers dema anthem this,non_standard_english,2022-12-12 13:33:26
9,16744,<b>Raw:</b> @larrygaisie Amapiano is house music<br><b>Clean</b>: amapiano is house music,full_standard_english,2022-12-12 13:33:35
10,12734,<b>Raw:</b> @iamJimohIsiaq We go open paa<br><b>Clean</b>: we go open paa,non_standard_english,2022-12-12 13:33:40
11,14258,<b>Raw:</b> @Phino_Phino chale i de search the continuation gidigidi😂😂<br><b>Clean</b>: chale i de search the continuation gidigidi,non_standard_english,2022-12-12 13:33:44
