,id_column,annotate_text,label,annotated_at
0,9039,<b>Raw:</b> Tweeter pe upasthit sabhi rashtrawadi aur hindutivuvadi dosto ko subh prabhat Jai mata di jai shree ram dosto please RT and like My tweets Jai mata di https://t.co/jhJEIH1g7R<br><b>Clean</b>: tweeter pe upasthit sabhi rashtrawadi aur hindutivuvadi dosto ko subh prabhat jai mata di jai shree ram dosto please rt and like my tweets jai mata di,code-switched,2022-12-11 01:03:47
1,23499,"<b>Raw:</b> Mere marne pe toh lakho rone wale hai,

Talash toh uski hai jo mere rone pr mare…💔
#unfilteredthoughts<br><b>Clean</b>: mere marne pe toh lakho rone wale hai talash toh uski hai jo mere rone pr mare",not_english,2022-12-11 01:03:51
2,3357,<b>Raw:</b> Hello Sir In Conversation with Ugen Bhutia General Counsel SBI Card - BW legalworld. https://t.co/kim9VnZvId<br><b>Clean</b>: hello sir in conversation with ugen bhutia general counsel sbi card bw legalworld,code-switched,2022-12-11 01:03:55
3,19607,<b>Raw:</b> @ShaikhTabii Mall hai Masjid nahi....<br><b>Clean</b>: mall hai masjid nahi,not_english,2022-12-11 01:03:58
4,21186,<b>Raw:</b> @purnendu7549 YES YOU'RE RIGHT SIR<br><b>Clean</b>: yes youre right sir,not-syntactic_standard_english,2022-12-11 01:04:03
5,19569,<b>Raw:</b> @jayeshforreal3 Bhai tu chutiya h.. May be tujhe bura lgega.. Bt Hindustan Me.. Muslims ko jyada freedom h.. Hindus se jyada.. Toh tm wrong way pe ho.. Agr tujhe lgta h.. Ki iss country me muslim ko problem h.. Ye bc ab Hindu ki gaand mar rhe h<br><b>Clean</b>: bhai tu chutiya h may be tujhe bura lgega bt hindustan me muslims ko jyada freedom h hindus se jyada toh tm wrong way pe ho agr tujhe lgta h ki iss country me muslim ko problem h ye bc ab hindu ki gaand mar rhe h,some_english,2022-12-11 01:04:14
6,4882,<b>Raw:</b> Lallu with papa ji🤣🤣 https://t.co/Sjb7mMmUPo<br><b>Clean</b>: lallu with papa ji,not_english,2022-12-11 01:04:16
7,20832,<b>Raw:</b> Wht is ur think to all shai asna ashri ..r u agree https://t.co/YWkSafRrIy<br><b>Clean</b>: wht is ur think to all shai asna ashri r u agree,code-switched,2022-12-11 01:04:20
8,492,<b>Raw:</b> @NimraReal boot baar or aap ??<br><b>Clean</b>: boot baar or aap,not_english,2022-12-11 01:04:22
9,7036,"<b>Raw:</b> @D1verma Andaman
Ranthambore
Happy Valley<br><b>Clean</b>: andaman ranthambore happy valley",non_standard_english,2022-12-11 01:04:28
10,7401,"<b>Raw:</b> God has been ultra kind. Our poster on ‘ENDOSCOPIC STENTING FOR GASTROJEJUNOSTOMY LEAK STATUS POST ROBOTIC ONE ANASTOMOSIS GASTRIC BYPASS’  Shubham Bhatia , Aayushi Jain, Sushant Wadera,Sarfaraz Jalil Baig, Parveen Bhatia  accepted and on display at SAGES ,Denver. https://t.co/eqmTcyPILy<br><b>Clean</b>: god has been ultra kind our poster on endoscopic stenting for gastrojejunostomy leak status post robotic one anastomosis gastric bypass shubham bhatia aayushi jain sushant waderasarfaraz jalil baig parveen bhatia accepted and on display at sages denver",non_standard_english,2022-12-11 01:07:28
11,12787,<b>Raw:</b> @PoojaGu89617334 Welcome Yours Twitte sister<br><b>Clean</b>: welcome yours twitte sister,non_standard_english,2022-12-11 01:07:33
12,16348,<b>Raw:</b> @soch_baghi @brand_amendra I am from BJP<br><b>Clean</b>: i am from bjp,full_standard_english,2022-12-11 01:07:36
13,21115,"<b>Raw:</b> Designer Anamika Khanna closes @fdciofficial India Couture Week
#ICW2022 #15yearsoficw https://t.co/278nBl1AY2<br><b>Clean</b>: designer anamika khanna closes india couture week",non_standard_english,2022-12-11 01:07:41
14,10630,<b>Raw:</b> @luffyinutoken @DekuInuOfficial @officialgokuinu @ChopperToken My luffy inu L Bank Wallet please help me<br><b>Clean</b>: my luffy inu l bank wallet please help me,code-switched,2022-12-11 01:07:45
15,12824,<b>Raw:</b> @SrBachchan Charan sparsh sir love you lotss of love ❤️🆎<br><b>Clean</b>: charan sparsh sir love you lotss of love,non_standard_english,2022-12-11 01:07:48
16,23576,<b>Raw:</b> @ajitanjum In sb ka to nhi pr tu jaroor moot se dhula hua h<br><b>Clean</b>: in sb ka to nhi pr tu jaroor moot se dhula hua h,not_english,2022-12-11 01:07:52
