,id,date,rawContent,cleaned_content,english_relative_frequency
87,1988,2022-01-20 22:15:21+00:00,"Office in Vatika Atrium, #GolfCourseRoad #OfficeSpace #ForRent #Gurgaon #Commercial #Property
https://t.co/1fmKauZoH4",office in vatika atrium,0.75
43,20344,2022-07-23 22:57:27+00:00,"@ChelseaFC Always competitive💙BluesInTheUSA, not again Raheem said head couch TT, 🤣 https://t.co/B2JlHztwml",always competitivebluesintheusa not again raheem said head couch tt,0.7777777777777778
76,9277,2022-04-03 23:04:10+00:00,"Escape to 🏆Victory
मेढक को निगलने की कोशिश कर रहा था विशाल सांप, छोटे जानवर ने दिखाई ऐसी ताकत, मुंह में घुसकर निकला आया बाहर - NDTV https://t.co/QsxEbpWrmW",escape to victory ndtv,0.75
8,10209,2022-04-13 23:52:40+00:00,Happy Vaisakhi to all. https://t.co/SpZ1fcwdVB,happy vaisakhi to all,0.75
47,6348,2022-03-05 22:05:14+00:00,@LostEdenNFT marked for wl consideration.,marked for wl consideration,0.75
94,22295,2022-08-11 21:46:24+00:00,meu amor eh um tigre de papel,meu amor eh um tigre de papel,0.7142857142857143
55,16756,2022-06-17 22:45:10+00:00,"As everyone is lecturing on graduating from FATP grey to white,
 
Wonder if Suhail Saheen or Sheru Bhai has few valuable verbal calories to drop on Pakistan's FATP crisis.",as everyone is lecturing on graduating from fatp grey to white wonder if suhail saheen or sheru bhai has few valuable verbal calories to drop on pakistans fatp crisis,0.7931034482758621
1,16302,2022-06-13 23:54:53+00:00,Good morning.... Dear freind https://t.co/sVndkDHQjv,good morning dear freind,0.75
98,19499,2022-07-14 21:41:20+00:00,@sayednikhat__ All shia asna ashri are waiting eid e gadeer u r not alone waiting eid e gadeer ..,all shia asna ashri are waiting eid e gadeer u r not alone waiting eid e gadeer,0.7647058823529411
52,19753,2022-07-17 22:56:09+00:00,@UPPCLLKO @UppclChairman @pvvnl messive fire in noida sector 49 prahlad colony due to short circuit https://t.co/7jE3veHvV8,messive fire in noida sector 49 prahlad colony due to short circuit,0.7272727272727273
66,5567,2022-02-25 22:47:10+00:00,Breaking: India abstains at UNSC Ukriane meet on the US backed resolution against Russia https://t.co/4GyR378jKw,breaking india abstains at unsc ukriane meet on the us backed resolution against russia,0.7857142857142857
84,14685,2022-05-27 21:44:08+00:00,"About to turn 22 and now I understand the actual meaning of @asliyoyo songs 
Wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane! 

#hangover #chaarbottlevodka #yoyo #yoyohoneysingh https://t.co/XUOrX0EORy",about to turn 22 and now i understand the actual meaning of songs wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane,0.76
10,18711,2022-07-07 23:53:22+00:00,"#GodMorningFriday
God himself elaborates the knowledge of yagyas.....
#SaintRampalJiQuotes https://t.co/U6HR08gm3N",god himself elaborates the knowledge of yagyas,0.7142857142857143
50,8651,2022-03-28 22:17:37+00:00,"Jazakumullah khairan for your time and effort. 
https://t.co/wBOyV75Jh7",jazakumullah khairan for your time and effort,0.7142857142857143
24,12125,2022-05-02 23:34:30+00:00,@ArvindKejriwal Sir apna free kiya hai power and water supply but jab water supply hi nhi hoga toh ye free ka hum kya kare.please aap se request hai ki Palam colony Sadh nagar gali no 2 water ki supply karwaye.yha muskil se 10 min k liye pani aata hai kabhi.aur bahar se tanker 350 m aata h.,sir apna free kiya hai power and water supply but jab water supply hi nhi hoga toh ye free ka hum kya kare please aap se request hai ki palam colony sadh nagar gali no 2 water ki supply karwaye yha muskil se 10 min k liye pani aata hai kabhi aur bahar se tanker 350 m aata h,0.7142857142857143
25,20426,2022-07-24 23:22:46+00:00,"@WealthEnrich Investment worth Holding for 10Years
1- Bse#                                      2-Sbi#                                        3- Cams#                                 4- Bajaj Finance#                  5-IRCTC#",investment worth holding for 10years 1 bse 2 sbi 3 cams 4 bajaj finance 5 irctc,0.7
53,17854,2022-06-28 23:14:26+00:00,"CA No -60003794223
Krishan Vihar Delhi 110086 MCD School Street... https://t.co/MUI5wADyOE",ca no 60003794223 krishan vihar delhi 110086 mcd school street,0.75
8,15809,2022-06-08 23:45:19+00:00,"Asaddudin Owaisi's MLA's son involved in Hyderabad Gangrape- No outrage. 
Think what would have happened if this Son was from  BJP MLA.@khanumarfa @Radhika35530868 @_sabanaqvi @ashoswai @SalmanNizami_ @MehboobaMufti @arifaajakia @TajinderBagga",asaddudin owaisis mlas son involved in hyderabad gangrape no outrage think what would have happened if this son was from bjp mla,0.7272727272727273
65,10166,2022-04-12 23:08:25+00:00,@REAL___HINDUVT @Saurabhdubeyy Boycott islaam only jai hind🇮🇳 jai SANATAN🙏 🕉🚩🚩🚩🚩🚩🚩🚩,boycott islaam only jai hind jai sanatan,0.7142857142857143
27,20828,2022-07-28 23:27:21+00:00,The month of muhrrum  vere sad month https://t.co/BlZAZ9RQsp,the month of muhrrum vere sad month,0.7142857142857143
86,23687,2022-08-25 22:23:50+00:00,16/17 and 17/18 Asensio was absolutely amazing. Under the mentorship of Cristiano. Partnership with Isco and Vazquez. https://t.co/28iT3oVrN4,1617 and 1718 asensio was absolutely amazing under the mentorship of cristiano partnership with isco and vazquez,0.7333333333333333
