,id,date,rawContent,cleaned_content,english_relative_frequency
16,22217,2022-08-11 23:15:03+00:00,Happy Rakshabandhan Lil sister #HappyRakshaBandhan #Rakhi https://t.co/MnhhTjjJYa,happy rakshabandhan lil sister,0.75
74,7675,2022-03-18 22:25:15+00:00,@TikooSahil_ @RajaMuneeb कश्मीर घाटी में इंटरनेट सेवा बेहतर हुई या नहीं इसकी मुझे ख़बर नहीं - क्षमा चाहता हूं। Computer Science Engineering ke subjects seekhein free mein - AKTU lectures: https://t.co/u4r0DkXZkU,computer science engineering ke subjects seekhein free mein aktu lectures,0.7
39,14340,2022-05-24 23:15:40+00:00,"Mujhe neend aari thi
Mene coffee order ki
Coffee me sugar kam thi
Mene sugar mangai
Mix ki
Fir kam lagi
Fir mangai
Fir mix ki
Fir pii
Aur 
Fir
Coffee thandi ho gayi
🦄
Good night guys",mujhe neend aari thi mene coffee order ki coffee me sugar kam thi mene sugar mangai mix ki fir kam lagi fir mangai fir mix ki fir pii aur fir coffee thandi ho gayi good night guys,0.7027027027027027
79,4980,2022-02-19 21:57:23+00:00,Inna lillahi wa inna ilayhir raji’un. Kullu nafsin za’ikatul Breasfast. Last morning i missed my presentation following a hot breakfast i sustained as a result of loving this wicked girl wholeheartedly.💔😭,inna lillahi wa inna ilayhir rajiun kullu nafsin zaikatul breasfast last morning i missed my presentation following a hot breakfast i sustained as a result of loving this wicked girl wholeheartedly,0.7096774193548387
81,582,2022-01-06 21:59:56+00:00,Aj delhi airport me 10 euro na dene ke chkr me ek person ko positive bna diya he jo negative he,aj delhi airport me 10 euro na dene ke chkr me ek person ko positive bna diya he jo negative he,0.75
69,3070,2022-01-31 23:10:41+00:00,@umashankarsingh Wow Acha Keya Reporter ye logo Na Kishan Na Natha ye Chor hai Jo maney back mil Jay bas ye hi kam hai...fir unke ley bolna,wow acha keya reporter ye logo na kishan na natha ye chor hai jo maney back mil jay bas ye hi kam hai fir unke ley bolna,0.7407407407407407
33,9834,2022-04-09 23:43:45+00:00,"🚩🚩🚩🚩🚩🚩🚩🚩🚩
  *जय श्री राम, जय माता दी*

*नवरात्रि पर्व एवं भगवान श्री राम जी के अवतरण महोत्सव की आप सबको हार्दिक शुभकामनाएं*
*भगवान श्री हरि के रूप में माता लक्ष्मी जी के साथ आपके ह्रदय में वास करें एवं परिवार में कृपा करें*
🙏Jai Hind 🇮🇳  Jai sanaatan🙏 🕉🚩🚩🚩🚩🚩🚩🚩",jai hind jai sanaatan,0.75
19,24020,2022-08-29 23:37:11+00:00,que tesao eh esse de escutar waka waka o dia todo,que tesao eh esse de escutar waka waka o dia todo,0.7272727272727273
64,13965,2022-05-20 22:30:15+00:00,@AmanGosain14 @GreatGoatsNFT @jezzworker @FamousCloudzz It's looking awesome bro 🔥🦌,its looking awesome bro,0.75
56,17257,2022-06-22 23:14:26+00:00,"एसडीएम वसंत विहार, केजरीवाल कार्यालय में अधिकारी भ्रष्टाचार के आरोप में निलंबित @BJP4Delhi @blsanthosh @rajeshbhatiabjp #https://www.news18.com/news/politics/deputy-secretary-in-cm-kejriwals-office-2-sdms-suspended-by-delhi-lg-on-corruption-charges-sources-5422669.html",www news18 comnewspoliticsdeputy secretary in cm kejriwals office 2 sdms suspended by delhi lg on corruption charges sources 5422669 html,0.7647058823529411
66,8467,2022-03-26 22:36:47+00:00,"It is so obvious with the way Saisha was evicted that she will come back as a wildcard entry. LockUpp walo, kuch toh creative aur unpredictable karo 😂

#MunawarFaruqui #lockupp",it is so obvious with the way saisha was evicted that she will come back as a wildcard entry lockupp walo kuch toh creative aur unpredictable karo,0.7777777777777778
20,24021,2022-08-29 23:36:52+00:00,Just posted a photo @ Jawahar Lal Nehru University https://t.co/gel6efTXke,just posted a photo jawahar lal nehru university,0.75
9,13810,2022-05-19 23:56:19+00:00,KANIHYA MITTAL NEW SONG - LISTEN &amp; SHARE @sabakaul1 https://t.co/tFlMTn6emR,kanihya mittal new song listen and share,0.7142857142857143
67,9768,2022-04-08 23:13:48+00:00,Civil engg on work https://t.co/KGWmbiNwcu,civil engg on work,0.75
38,7239,2022-03-14 23:21:03+00:00,Satpal Maharaj is first like for next president. जय श्री राम जय श्री कृष्ण हर हर महादेव जय भवानी,satpal maharaj is first like for next president,0.75
98,12899,2022-05-09 21:19:51+00:00,@KashifkMIM @SantoshKrRajpo1 @WasimAkramTyagi @RubikaLiyaquat Ram Ram ji 🔥🙏🚩 Yeh sapna sapna hi rahega beta .. Jay Shree Ram 💪,ram ram ji yeh sapna sapna hi rahega beta jay shree ram,0.75
13,14214,2022-05-23 23:56:58+00:00,@SuazoUli @PopBase Nope bts did easily,nope bts did easily,0.75
70,21471,2022-08-03 21:55:15+00:00,@TheNavneet_ Jai hind🇮🇳 Jai sanatan 🙏🕉🚩🚩,jai hind jai sanatan,0.75
50,17851,2022-06-28 23:17:03+00:00,"Painted cubone, embarking on a new journey. Thank you! 

#pokemon #cubone #digitalpainting  #PokemonArt  @Pokemon https://t.co/sULpbBgAc3",painted cubone embarking on a new journey thank you,0.7777777777777778
60,17761,2022-06-27 22:50:47+00:00,@KotwalMeena @free_thinker @zoo_bear More burnol for you @KotwalMeena https://t.co/IfslIyfjKG,more burnol for you,0.75
69,7770,2022-03-19 21:17:26+00:00,@Cappuccin003 Isse v bara common issue 'Aur chalao phone' 🥲✨,isse v bara common issue aur chalao phone,0.75
93,4894,2022-02-18 21:29:44+00:00,"@LadebW 0.1 $ETH
Captive in despair
https://t.co/MDJWVYRI81 https://t.co/0GxMUwNqKr",0 1 eth captive in despair,0.75
95,10896,2022-04-19 22:49:12+00:00,@jvalaaa Guru Gobind Singh ji,guru gobind singh ji,0.75
61,2762,2022-01-28 22:22:12+00:00,"@dishaistired Idk you'll always be sweeter
And i am 20🥲
Stop treating me like a kid",idk youll always be sweeter and i am 20 stop treating me like a kid,0.7857142857142857
84,15885,2022-06-08 22:14:07+00:00,"Ham kuchh kah nahin rahe to Tum munh Ko a raha hun sare hamare pass bhi proof hai RAM OR SITA 😂😂
RAM AGE 14 YEAR
SITA AGE 6 YEAR  
#jkpsiscam #justiceformahenoor #modijideferNEETUG2022  #AresstNupurSharma #QatarExposed @NupurSharmaBJP https://t.co/YFolNEK44p",ham kuchh kah nahin rahe to tum munh ko a raha hun sare hamare pass bhi proof hai ram or sita ram age 14 year sita age 6 year,0.7037037037037037
96,13997,2022-05-20 21:59:36+00:00,"“I gave up my life to learn how to save yours.”
Ab ye quote padh k aisa lag ra ki sach me doctors apni jaan dere dusro ki bachani ki chah me!!
#doctors #neetpgaspirant #NEETPG2022 #NEETPG2022postpone #NMC 
@narendramodi @PMOIndia @AmitShah @NMC_IND @mansukhmandviya @MoHFW_INDIA",i gave up my life to learn how to save yours ab ye quote padh k aisa lag ra ki sach me doctors apni jaan dere dusro ki bachani ki chah me,0.75
11,2512,2022-01-26 23:41:07+00:00,"@Rajsing51780690 @shinninggstar08 Finale week Tak kaun narrative set karta h? Makers vs kk
BB15 TROPHY AWAITS KARAN",finale week tak kaun narrative set karta h makers vs kk bb15 trophy awaits karan,0.7142857142857143
6,22907,2022-08-18 23:52:16+00:00,Is my daughter sanskriti https://t.co/us6WEGIId8,is my daughter sanskriti,0.75
11,5512,2022-02-25 23:50:09+00:00,You should cleared where Ukrain was standing for India since 1998 Automicm resulution 1176 In UNO https://t.co/zXF0IBcscr,you should cleared where ukrain was standing for india since 1998 automicm resulution 1176 in uno,0.7857142857142857
19,20620,2022-07-26 23:43:52+00:00,good morning mere bachoo https://t.co/EvWVoRqzSU,good morning mere bachoo,0.75
