,id,date,rawContent,cleaned_content,english_relative_frequency
45,9446,2022-04-05 23:29:28+00:00,@007_khan_143 Abe Khan agar dam hai to twitter space par #Atankwad or #Islamophobia par mujhse debate kar lo. Jitni azadi tum ko Hindustan me milli hai na aur kahin nahi mil sakti...par tumhari to kaum hi dogali hai tum kya jaano kya hai Holy Quran ... Ratu tote ho tum....,abe khan agar dam hai to twitter space par or par mujhse debate kar lo jitni azadi tum ko hindustan me milli hai na aur kahin nahi mil sakti par tumhari to kaum hi dogali hai tum kya jaano kya hai holy quran ratu tote ho tum,0.7021276595744681
80,11981,2022-04-30 22:47:46+00:00,@Rocking_Nainaa Ameen summa Ameen Ya Rab ul Alameen 🌄,ameen summa ameen ya rab ul alameen,0.7142857142857143
75,23576,2022-08-24 22:49:41+00:00,@ajitanjum In sb ka to nhi pr tu jaroor moot se dhula hua h,in sb ka to nhi pr tu jaroor moot se dhula hua h,0.7692307692307693
68,11869,2022-04-29 22:58:46+00:00,"@RailwaySeva Train 12554 S5 Tiolat main Pani nahi hai
and No information me to railway routed diverted Hajipur to Bachwara my ticket is samastipur
PNR No. 2333066494 Please No route diverted @ECRlyHJP @RailMinIndia",train 12554 s5 tiolat main pani nahi hai and no information me to railway routed diverted hajipur to bachwara my ticket is samastipur pnr no 2333066494 please no route diverted,0.7407407407407407
97,2898,2022-01-29 21:32:46+00:00,@HansrajMeena @narendramodi U r pure congressi 😂🤣,u r pure congressi,0.75
47,16348,2022-06-13 22:57:33+00:00,@soch_baghi @brand_amendra I am from BJP,i am from bjp,0.75
63,11764,2022-04-28 23:13:46+00:00,"Rail minister ji train ka charger point sahi kiya jaye d1 coach punjab mail 12138
@RailMinIndia @PiyushGoyal @narend https://t.co/V7ES2roggy",rail minister ji train ka charger point sahi kiya jaye d1 coach punjab mail 12138,0.7692307692307693
58,1259,2022-01-13 22:48:00+00:00,@katiyar_urmila @bairva_tejram @Thakurain_Bindu @Kanchansinghch2 Jai Hind Jai Modi Jai Shri Ram 🚩,jai hind jai modi jai shri ram,0.7142857142857143
84,18085,2022-06-30 22:35:11+00:00,@theholy_monk Jai shree Radhe Krishna 🙏🙏,jai shree radhe krishna,0.75
24,1125,2022-01-12 23:05:49+00:00,"@BrajeahMathur Only and lonely
Hameshaa",only and lonely hameshaa,0.75
27,21228,2022-08-01 23:33:13+00:00,"🌹🌹ੴੴ🌹🌹
(੦੨ ਅਗਸਤ ) / (੧੮ਸਾਵਣ੨੦੨੨ ) 
*☬ ਵਾਹਿਗੁਰੂ ਜੀ ਕਾ ਖਾਲਸਾ ☬*
*☬ ਵਾਹਿਗੁਰੂ ਜੀ ਕੀ ਫਤਿਹ ☬*
☬WAHEGURU JI KA KHALSA☬
☬WAHEGURU JI KI Fateh Ji ☬
🙏🏻🌹🙏🏻🌹🙏🏻🌹🙏🏻🌹🙏🏻 @ Delhi, India https://t.co/QJkyhwwa6D",waheguru ji ka khalsa waheguru ji ki fateh ji delhi india,0.7272727272727273
