,id_column,annotate_text,label,annotated_at
0,18040,"<b>Raw:</b> @mvmeet They do same,try to by from their community<br><b>Clean</b>: they do sametry to by from their community",non_standard_english,2022-12-13 01:52:59
1,22285,"<b>Raw:</b> @RajputRanjanaa Yes
I agree with you
Jay Shri Ram<br><b>Clean</b>: yes i agree with you jay shri ram",code-switched,2022-12-13 02:06:43
2,18961,<b>Raw:</b> @SyedSahilNaqvi3 @DCPSEastDelhi @CPDelhi @ACPLajpatNagar @LajpatSho @inn_channel @DcpNorthDelhi @DCPCentralDelhi We r very thanks full to our cp sir .mr rakesh asthana jee...honest brave .kindness .person ...<br><b>Clean</b>: we r very thanks full to our cp sir mr rakesh asthana jee honest brave kindness person,code-switched,2022-12-13 02:06:54
3,15788,<b>Raw:</b> @noida_authority @CeoNoida it isn’t #fair to cut #trees on the name of road #development. Please don’t fake boast on internet about Ped lagao abhiyaan<br><b>Clean</b>: it isnt to cut on the name of road please dont fake boast on internet about ped lagao abhiyaan,code-switched,2022-12-13 02:07:03
4,9464,"<b>Raw:</b> Here, I'm saluting to the hair stylist noona https://t.co/ZxABVco2Hj<br><b>Clean</b>: here im saluting to the hair stylist noona",non_standard_english,2022-12-13 02:09:37
5,17994,"<b>Raw:</b> Startup Open Source CP DSA

Where are my likes https://t.co/U7Q72DKcnK<br><b>Clean</b>: startup open source cp dsa where are my likes",not-syntactic_standard_english,2022-12-13 02:11:58
6,9293,<b>Raw:</b> @raptvcom Haven't even finsihed the part 2 and announced the 3rd 😂😂<br><b>Clean</b>: havent even finsihed the part 2 and announced the 3rd,non_standard_english,2022-12-13 02:12:06
7,3389,"<b>Raw:</b> @ClarenceHouse @PrincesFound Love 🤩🇮🇳. Waiting, hope someone comes to rescue. @ClarenceHouse.

Zyada Der Na Ho Jaye. Need Credible Medical Help ASAP.🇮🇳🇬🇧🥺🥺🥺🤲🙏<br><b>Clean</b>: love waiting hope someone comes to rescue zyada der na ho jaye need credible medical help asap",code-switched,2022-12-13 02:12:13
8,15391,"<b>Raw:</b> @abhargav25 @swiggy_in @SwiggyCares Next time, I will order from zomato only<br><b>Clean</b>: next time i will order from zomato only",not-syntactic_standard_english,2022-12-13 02:12:17
9,20904,"<b>Raw:</b> Incredible Old Delhi
Street food tour,Must Watch

https://t.co/jyiVoaa6d5<br><b>Clean</b>: incredible old delhi street food tourmust watch",not-syntactic_standard_english,2022-12-13 02:12:21
10,14893,"<b>Raw:</b> @bsesdelhi @ArvindKejriwal No Electricity from last 3 hours, customer care has no idea about powercut. Location: Mohan garden, block F<br><b>Clean</b>: no electricity from last 3 hours customer care has no idea about powercut location mohan garden block f",not-syntactic_standard_english,2022-12-13 02:12:31
11,2153,<b>Raw:</b> Hello Everyone My Self Deno_Verma How Are You ! https://t.co/5kwbGdBt0y<br><b>Clean</b>: hello everyone my self denoverma how are you,not-syntactic_standard_english,2022-12-13 02:12:35
12,14941,<b>Raw:</b> @SnataniSikh96cr @Vinayku86 Thank you Vinay Ji for like my Reply<br><b>Clean</b>: thank you vinay ji for like my reply,code-switched,2022-12-13 02:12:39
13,6579,"<b>Raw:</b> AR Customised Water Bottle
[Disney characters lion printed water bottle]
""Available on Amazon, Link in Bio''
#disney #disneyland #lion #waterbottle #bottle @ Noida https://t.co/NZuRpdxf1l<br><b>Clean</b>: ar customised water bottle disney characters lion printed water bottle available on amazon link in bio noida",not-syntactic_standard_english,2022-12-13 02:12:48
14,19650,"<b>Raw:</b> #हमारे_दुख_दूर_हुऐ
Because of the blessings of Kabir Saheb many devotees got their diseases cured. You can also test this by taking Naam Initiation from Saint Rampal Ji Maharaj.

@SaintRampalJiM
 https://t.co/63OEIZmPQK<br><b>Clean</b>: because of the blessings of kabir saheb many devotees got their diseases cured you can also test this by taking naam initiation from saint rampal ji maharaj",code-switched,2022-12-13 02:12:52
15,20050,<b>Raw:</b> @dm_ghaziabad In shoriyapuram society which situated in gzb only till same issue now we r nt getting proper electric<br><b>Clean</b>: in shoriyapuram society which situated in gzb only till same issue now we r nt getting proper electric,non_standard_english,2022-12-13 02:12:57
16,7154,<b>Raw:</b> @FaisalR76433017 @chhotabm @siddharthjourno Congress should fight for public issues and never spare a BJP corrupt leader or supporter like RSS hindu vahini otherwise they create riots buy MLA form govt.most important change their top leadership with someone who fight with BJP as BJP needs to be treated ..<br><b>Clean</b>: congress should fight for public issues and never spare a bjp corrupt leader or supporter like rss hindu vahini otherwise they create riots buy mla form govt most important change their top leadership with someone who fight with bjp as bjp needs to be treated,non_standard_english,2022-12-13 02:19:01
17,12853,<b>Raw:</b> @bsesdelhi Still waiting for resolutions your line mens are drunked and sleep they only work after 7 no mattet what should happen just visted bses office all are drunk @ArvindKejriwal<br><b>Clean</b>: still waiting for resolutions your line mens are drunked and sleep they only work after 7 no mattet what should happen just visted bses office all are drunk,non_standard_english,2022-12-13 02:19:09
18,11687,"<b>Raw:</b> @Sureshalready @zahidaparveen52 @MehboobaMufti Ur time has come bro.
Twitter is gonna kick u out of league.
Fake accounts ke din gaye<br><b>Clean</b>: ur time has come bro twitter is gonna kick u out of league fake accounts ke din gaye",non_standard_english,2022-12-13 02:19:12
19,17434,"<b>Raw:</b> Why @FerozKhan_Kgl Hon'ble CEC @LAHDC_K surrendered Land power to GKDA..? What Role of Rural Panchayat,BDC,MC &amp; Councilors in GKAD..? 

But CEC Kargil approve the file to make GKDA without consulting anyone, Why CEC Kargil is in so hurry..? Why he didn't consulted anyone..? https://t.co/FeVvpH9T3y<br><b>Clean</b>: why honble cec surrendered land power to gkda what role of rural panchayatbdcmc and councilors in gkad but cec kargil approve the file to make gkda without consulting anyone why cec kargil is in so hurry why he didnt consulted anyone",not-syntactic_standard_english,2022-12-13 02:19:29
20,20460,"<b>Raw:</b> JEE Main July Session 2022 Guidelines: गलती से भी ले जाना ना भूलें ये डॉक्यूमेंट, वरना हो जाएगा एक साल बर्बाद

https://t.co/mkEM8OQqxi<br><b>Clean</b>: jee main july session 2022 guidelines",code-switched,2022-12-13 02:19:32
21,6066,<b>Raw:</b> tt_title_tt There are many like me who trusted @MotilalOswalLtd and we're betrayed by their so called.Advisors<br><b>Clean</b>: tttitlett there are many like me who trusted and were betrayed by their so called advisors,not-syntactic_standard_english,2022-12-13 02:19:43
22,11395,<b>Raw:</b> @fitdelhigirl @wtfmishi Aur mujhe ladki. No one wants to be around a physics teacher i guess 😂<br><b>Clean</b>: aur mujhe ladki no one wants to be around a physics teacher i guess,code-switched,2022-12-13 02:19:47
23,11537,<b>Raw:</b> 🌞🙏🚩JAI SHRI KRISHNA 🚩🙏🌞🌹GOOD MORNING EVERYONE 🌹@narendramodi @AmitShah @myogiadityanath @adeshguptabjp @KapilMishra_IND @abhayvermabjp @p_sahibsingh @Dranita_arya @007Billadeera  @Sai_Pallavi92 @SANGEETA_DHAKOL @ssrajput1977 @khanna248 @damini2003 @V_Shuddhi @radhika_1113 https://t.co/p8ul3fzAUA<br><b>Clean</b>: jai shri krishna good morning everyone,,2022-12-13 02:19:54
24,427,"<b>Raw:</b> @itsmayur69 @Poonam0883 @SushantBSinha https://t.co/7eqsj7pjZG
Check the colour of the flag of so called protesters.
Yeh Banda PM banne se pehle nautanki mein tha kya?<br><b>Clean</b>: check the colour of the flag of so called protesters yeh banda pm banne se pehle nautanki mein tha kya",code-switched,2022-12-13 02:20:00
25,10094,<b>Raw:</b> @NFT_Mentor24 @themetabucks @brommmyy @Josh_Busd @thejinx333 Congratulations bro for the new beginnings<br><b>Clean</b>: congratulations bro for the new beginnings,non_standard_english,2022-12-13 02:20:04
26,23589,<b>Raw:</b> Is it sus that I want to hug Francis ngannou Or Thor bjorsson and never let go.<br><b>Clean</b>: is it sus that i want to hug francis ngannou or thor bjorsson and never let go,non_standard_english,2022-12-13 02:20:07
27,6479,"<b>Raw:</b> Khud split announce karo, khud hi victim ban jao taki saara hate ladke ko mile aur khud hero ban jao. Why are all the girls like this? Who said it's a men's world? Men are crying silently in some corner, nobody even listens to them. It's a dark world out there.<br><b>Clean</b>: khud split announce karo khud hi victim ban jao taki saara hate ladke ko mile aur khud hero ban jao why are all the girls like this who said its a mens world men are crying silently in some corner nobody even listens to them its a dark world out there",code-switched,2022-12-13 02:20:13
28,17763,<b>Raw:</b> Found out my dad's been on twitter since may 2009 and has 300+ folloers..... I'm shooketh<br><b>Clean</b>: found out my dads been on twitter since may 2009 and has 300 folloers im shooketh,non_standard_english,2022-12-13 02:20:19
29,13947,"<b>Raw:</b> @DelhiPolice 
@KapilMishra_IND 
@Uppolice 
@myogiadityanath 
@MumbaiPolice @WBPolice @bulandshahrpol 

Koi to action lo

Trace karo kaha chupa huwa hain https://t.co/EH5lLLzwbG<br><b>Clean</b>: koi to action lo trace karo kaha chupa huwa hain",some_english,2022-12-13 02:20:28
30,14968,<b>Raw:</b> @Bhagvadhari141 @Im_Ajay31 Jay Shree Bajrang Bali Ki Jay<br><b>Clean</b>: jay shree bajrang bali ki jay,not_english,2022-12-13 02:20:36
31,4256,<b>Raw:</b> Brilliant job done by dwarka district police 🙏🙏 https://t.co/J006fYsDyE<br><b>Clean</b>: brilliant job done by dwarka district police,not-syntactic_standard_english,2022-12-13 02:20:43
32,9706,<b>Raw:</b> @Queensugandha Amazing Sugandha. Your fan. 👌Good day. 😘💐<br><b>Clean</b>: amazing sugandha your fan good day,not-syntactic_standard_english,2022-12-13 02:20:47
33,20421,<b>Raw:</b> @aditiyadav000 Glt msg social media me mt dalo<br><b>Clean</b>: glt msg social media me mt dalo,code-switched,2022-12-13 02:20:55
34,7964,"<b>Raw:</b> @OpIndia_com Sudher gaya, Yogi ji ka second term mein.

English Educated Indians are changing. They are unlearning.<br><b>Clean</b>: sudher gaya yogi ji ka second term mein english educated indians are changing they are unlearning",code-switched,2022-12-13 02:21:02
35,6850,<b>Raw:</b> Very useful for those preparing for UPSC exam #UPSC #UPSCPrelims #Exams #exams2022 @BlackslateP @EnvirForUPSC https://t.co/06WyN7QOTY<br><b>Clean</b>: very useful for those preparing for upsc exam,not-syntactic_standard_english,2022-12-13 02:21:50
36,12075,<b>Raw:</b> Yeaaaaa!!! It’s happening in UAE too 🙏🏻🙏🏻🙏🏻 #SaveSoil #Sadhguru #SaveSoilMovement https://t.co/ekH6NR7qBe<br><b>Clean</b>: yeaaaaa its happening in uae too,non_standard_english,2022-12-13 02:21:55
37,17136,<b>Raw:</b> TKG 31 : Be the person your heart wants💭💭<br><b>Clean</b>: tkg 31 be the person your heart wants,not-syntactic_standard_english,2022-12-13 02:22:00
38,17488,<b>Raw:</b> Aktu 2nd year 4th semester exam Date https://t.co/geWwKCXSEN<br><b>Clean</b>: aktu 2nd year 4th semester exam date,code-switched,2022-12-13 02:22:03
39,13122,"<b>Raw:</b> @JiminUnited @BTS_twt BE GOOD BE LIKE JIMIN
WITH JIMIN TILL THE END 

I’m loving to #WithYou by #JIMIN #BTSJIMIN of #BTS (@BTS_twt) and Sungwoon https://t.co/g9T9XXpRJi<br><b>Clean</b>: be good be like jimin with jimin till the end im loving to by of and sungwoon",not-syntactic_standard_english,2022-12-13 02:22:07
40,5414,"<b>Raw:</b> @anil_congress @KirtiThorat5 @mastersheefu_ Ameen summa Ameen
Beshak Allah Bless Us All<br><b>Clean</b>: ameen summa ameen beshak allah bless us all",code-switched,2022-12-13 02:22:17
41,22775,<b>Raw:</b> Just posted a photo @ Noida Electronics City https://t.co/kErE48rSRg<br><b>Clean</b>: just posted a photo noida electronics city,,2022-12-13 02:22:21
42,21104,"<b>Raw:</b> India wins 3rd Gold Medal in the #CommonwealthGames2022 ! Achinta Sheuli won Gold Medal in men's 73kg Weightlifting!

Congratulations #AchintaSheuli for making India proud 🇮🇳<br><b>Clean</b>: india wins 3rd gold medal in the achinta sheuli won gold medal in mens 73kg weightlifting congratulations for making india proud",not-syntactic_standard_english,2022-12-13 02:22:28
43,11523,"<b>Raw:</b> PA-NEN-KA de Karim. KB9️⃣
#Benzema
#HalaMadrid #UCL
#ManCityRealMadrid<br><b>Clean</b>: pa nen ka de karim kb9",,2022-12-13 02:22:35
44,19637,"<b>Raw:</b> #हमारे_दुख_दूर_हुऐ

stage 4 Cancer. We took name

My daughter was diagnosed with initiation from Sant Rampal Ji Maharaj. Through true worship, she is completely healed now.
@SaintRampalJiM
Sant Rampal Ji Maharaj https://t.co/FCHOUd1Eds<br><b>Clean</b>: stage 4 cancer we took name my daughter was diagnosed with initiation from sant rampal ji maharaj through true worship she is completely healed now sant rampal ji maharaj",non_standard_english,2022-12-13 02:22:57
45,4744,"<b>Raw:</b> @IFEX @RanaAyyub @RSF_inter @RanaAyyub @BBCWorld 
How dare this @RanaAyyub call SANATANIs terrorists where the ENTIRE 🌎 knows the SYNONYM of TERRORISTS ????
Where is @RanaAyyub's Hijab 
Mind it SANATANIs are NO LONGER APOLOGESTIC !!!!<br><b>Clean</b>: how dare this call sanatanis terrorists where the entire knows the synonym of terrorists where is s hijab mind it sanatanis are no longer apologestic",non_standard_english,2022-12-13 02:23:06
46,18873,<b>Raw:</b> @Priyankasharmm8 Wao  what is this about you<br><b>Clean</b>: wao what is this about you,non_standard_english,2022-12-13 02:23:11
47,20564,"<b>Raw:</b> Hii Team
Not getting any resolution @Flipkart @flipkartsupport<br><b>Clean</b>: hii team not getting any resolution",not-syntactic_standard_english,2022-12-13 02:23:14
