,id,date,rawContent,cleaned_content,english_relative_frequency
45,4246,2022-02-12 23:30:53+00:00,@73antz reply to me on imessage or i’m gonna scream,reply to me on imessage or im gonna scream,0.8888888888888888
38,5439,2022-02-24 23:38:28+00:00,Correction: Kotoko won Dreams FC on Legon Cities as tweeted earlier https://t.co/k8MDmNHgg2,correction kotoko won dreams fc on legon cities as tweeted earlier,0.8181818181818182
95,4596,2022-02-15 23:04:29+00:00,"Ei, boss relax. Mbappe has been playing in start studded teams most of his life. 

Haaland dey score mad goals with average players roundabout. 

But yeah, Kylian is special momm. https://t.co/w2U1VdsXal",ei boss relax mbappe has been playing in start studded teams most of his life haaland dey score mad goals with average players roundabout but yeah kylian is special momm,0.8333333333333334
71,14772,2022-05-28 23:34:16+00:00,"The #ChampionsLeague finals dierrr,  @theyawofosu, @KelOwusu &amp; @Fentuo_ enjoy am pass everyone in the world. Eiiiiiiiiiiiiiiii 

#CitiSports #UCLfinal",the finals dierrr and enjoy am pass everyone in the world eiiiiiiiiiiiiiiii,0.8333333333333334
25,22426,2022-08-13 23:49:15+00:00,"Massive crowd waiting to welcome the king of African dancehall , Shatta Wale 🔥🔥🔥🐐 #ShattaWaleSummerStage  #SummerStage 
Big ups to @Wiyaala for that amazing performance @SummerStage !! https://t.co/n2k0bXvgJO",massive crowd waiting to welcome the king of african dancehall shatta wale big ups to for that amazing performance,0.8947368421052632
24,9425,2022-04-05 23:45:25+00:00,rest she’s not going to reply you,rest shes not going to reply you,0.8571428571428571
96,6597,2022-03-07 22:57:39+00:00,There have been insults and hatred on my role model social media handle because he mistakenly injured kylian mbappe...stay strong GANA❤️⚽️ https://t.co/DJpujQtcov,there have been insults and hatred on my role model social media handle because he mistakenly injured kylian mbappe stay strong gana,0.8636363636363636
62,3163,2022-02-01 23:21:01+00:00,"Eiii lol where you been, congratulations tho https://t.co/gJLpWCcOO4",eiii lol where you been congratulations tho,0.8571428571428571
68,24069,2022-08-29 23:39:40+00:00,@_16_years Oooh Don normal trousers kraaaa y3 s3n 🤣🤣🤣🤣,oooh don normal trousers kraaaa y3 s3n,0.8
70,7071,2022-03-12 23:12:41+00:00,@OwusuaEffie 🤣🤣 googling symptoms is such a messy thing.,googling symptoms is such a messy thing,0.8571428571428571
