,id,date,rawContent,cleaned_content,english_relative_frequency
14,22015,2022-08-09 23:40:01+00:00,"Dr. Hadiza Ladi Kwali, OON, MBE (1925-1984) is name of the woman on the Nigeria 20 Naira Note. Ladi Kwali was a porter, born in the village of Kwali in the Gwari region of Northern Nigeria, where pottery was an indigenous female tradition.

#Blogger 🕊 https://t.co/dQe5xDZLG8",dr hadiza ladi kwali oon mbe 1925 1984 is name of the woman on the nigeria 20 naira note ladi kwali was a porter born in the village of kwali in the gwari region of northern nigeria where pottery was an indigenous female tradition,0.7804878048780488
0,10801,2022-04-19 23:58:49+00:00,@shattawalegh @Yumvita3 0204027773 I'm Burna Boy fan,0204027773 im burna boy fan,0.75
90,15291,2022-06-02 23:15:15+00:00,"@yo_niq Locus, DL Q33 mad XPR 50",locus dl q33 mad xpr 50,0.75
94,16395,2022-06-13 23:36:22+00:00,Asey boys woy3 nniama wo Accra ha oo #DNBP,asey boys woy3 nniama wo accra ha oo,0.7142857142857143
16,20817,2022-07-28 23:49:41+00:00,Sheggz don miss road #BBNaija,sheggz don miss road,0.75
1,22602,2022-08-15 23:59:15+00:00,suarez signaling neymar to pass messi and later making the run to set up neymar himself https://t.co/QCwCqDPumv,suarez signaling neymar to pass messi and later making the run to set up neymar himself,0.75
65,7166,2022-03-13 23:26:05+00:00,Women in red &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,women in red gtgtgtgtgtgtgtgtgt,0.75
7,8808,2022-03-30 23:57:11+00:00,@antoniojg1986 @ZachLowy Hhhhmmmm it’s very sad,hhhhmmmm its very sad,0.75
52,15953,2022-06-09 23:39:37+00:00,Falz released an album?,falz released an album,0.75
72,11173,2022-04-22 23:41:36+00:00,@ReggieRockstone @Joyallover @Liquorose Sure thing 👍 Big Bro @RoseArmy__  @RosearmyR,sure thing big bro,0.75
58,11659,2022-04-27 23:27:08+00:00,@Zillah_This Relax. Ebe ceiling fan 💀😀,relax ebe ceiling fan,0.75
94,8395,2022-03-25 23:19:42+00:00,Ekumfi for the night o aahhh finesse 🕺🏿,ekumfi for the night o aahhh finesse,0.7142857142857143
40,17341,2022-06-23 23:37:15+00:00,"@adjah_tetteh Thank you 😊
Aponkye nkrakra oohhh 🤣🤣
Make a take hold body 😂",thank you aponkye nkrakra oohhh make a take hold body,0.7
15,9916,2022-04-10 23:55:38+00:00,2sure tryn to finesse things #DateRush https://t.co/OfmAPY0U9h,2sure tryn to finesse things,0.75
2,10503,2022-04-16 23:57:15+00:00,"WTF is that zhit you dropped bebe, that's not a song bebe. Its not even a vibe bebe... Back to the drawing board bebe.",wtf is that zhit you dropped bebe thats not a song bebe its not even a vibe bebe back to the drawing board bebe,0.7916666666666666
45,12546,2022-05-06 23:45:10+00:00,@PulseGhana Agya koo and son👐,agya koo and son,0.75
1,17802,2022-06-28 23:59:10+00:00,Check out nellistawiah's video! #TikTok https://t.co/xxuPUmAL3b,check out nellistawiahs video,0.75
45,22046,2022-08-09 23:25:26+00:00,@Barbie_Dooo Bueii! Them overspeed o,bueii them overspeed o,0.75
40,19041,2022-07-10 23:47:50+00:00,"@iammokblaze @sarkodie Happy Glorious birthday,more grace",happy glorious birthdaymore grace,0.75
59,21960,2022-08-08 23:37:39+00:00,@Shamzy_0 Chale Big Ivy be hard 😂 I’m Like Barcelona I have no Mercy (Messi) herh 😂,chale big ivy be hard im like barcelona i have no mercy messi herh,0.7857142857142857
1,4402,2022-02-14 23:58:36+00:00,"“If we don’t have Kwaku, Kwame is there” - Coach Samuel Boadu

#GPL",if we dont have kwaku kwame is there coach samuel boadu,0.7272727272727273
33,12534,2022-05-06 23:48:42+00:00,#VGMA23 Dumbfounding performance by @samini_dagaati Akye...!,dumbfounding performance by akye,0.75
48,12549,2022-05-06 23:44:35+00:00,@ako_bae1 @epixodemusic U sure abt ur fact? Coz ihr say he go Ghanata ooo,u sure abt ur fact coz ihr say he go ghanata ooo,0.75
30,21231,2022-08-01 23:43:15+00:00,@BoyKelzz @sergio_de_ennin 😂😂🤲the guy fuckup wàaa,the guy fuckup wàaa,0.75
9,2810,2022-01-29 23:50:31+00:00,Arrr Trump no dey Twitter again anaa? https://t.co/RHTYnHqesL,arrr trump no dey twitter again anaa,0.7142857142857143
8,7609,2022-03-18 23:55:29+00:00,Listen to RUN FOR YOUR LIFE ft. Medikal by Shatta Wale on Boomplay. https://t.co/V59jgz4Tet https://t.co/zcMuXtT01H,listen to run for your life ft medikal by shatta wale on boomplay,0.7692307692307693
63,7064,2022-03-12 23:16:23+00:00,‘walahi Maggie is playing against us bro.’ https://t.co/KnE8VQrKBY,walahi maggie is playing against us bro,0.7142857142857143
67,7468,2022-03-16 23:20:20+00:00,@NYboateng @mrpatriq @fosuaah_ wonni links to flagstaff? Wonny3 serious party member saaaa,wonni links to flagstaff wonny3 serious party member saaaa,0.75
28,21229,2022-08-01 23:43:45+00:00,My experience is Ashiaman and Bremen Kokoso #DNBP,my experience is ashiaman and bremen kokoso,0.7142857142857143
63,18464,2022-07-04 23:26:01+00:00,The math ain't mathing 😂😂,the math aint mathing,0.75
38,10639,2022-04-17 23:38:44+00:00,@PMLEGEND P dot Miz Man 🤌🏿,p dot miz man,0.75
40,19941,2022-07-19 23:41:22+00:00,@xChellz Witcho lil forehead protector 😊,witcho lil forehead protector,0.75
84,13785,2022-05-18 23:20:38+00:00,@Opresii When oyibo chop you,when oyibo chop you,0.75
79,10280,2022-04-13 23:10:17+00:00,@satyam1mishra Thanks for sharing Satyam🙏,thanks for sharing satyam,0.75
4,17405,2022-06-24 23:57:27+00:00,@kuranchie_eva U see KLM for the background norrr your eyes on... Abrewa kata wu tw3 https://t.co/qXLUI863th,u see klm for the background norrr your eyes on abrewa kata wu tw3,0.7692307692307693
79,15180,2022-06-01 23:22:39+00:00,"Goat Messi for Ballon D'OR ... Benzema must be shaking by now 
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
#Finalissima https://t.co/kj28xVIzTK",goat messi for ballon dor benzema must be shaking by now,0.7272727272727273
17,18318,2022-07-03 23:49:36+00:00,@oduro_kweku Afrobeats it’s on Netflix 12 episodes very insightful,afrobeats its on netflix 12 episodes very insightful,0.7142857142857143
79,80,2022-01-01 23:45:14+00:00,Naeto C listening nicely,naeto c listening nicely,0.75
24,9325,2022-04-04 23:46:31+00:00,"Propartners Exchange relaunched, outdoors its crowdfunding platform https://t.co/YmRs7wn3oI via @bftghana",propartners exchange relaunched outdoors its crowdfunding platform via,0.75
27,19228,2022-07-12 23:39:41+00:00,@leslie_kkay @oreonwarmmilkk Chale for Nurses demma postings de3 Opana force oo...the backlog was serious. lol,chale for nurses demma postings de3 opana force oo the backlog was serious lol,0.7692307692307693
15,17516,2022-06-25 23:51:40+00:00,@koboateng @unknown_eshun Drink water bro..... Chale do you do phone apps?,drink water bro chale do you do phone apps,0.7777777777777778
61,9662,2022-04-07 23:18:53+00:00,11:18pm and I’m about eating cornflakes while watching Nollywood movies 👍🏾 https://t.co/llrAgBqm3h,1118pm and im about eating cornflakes while watching nollywood movies,0.7777777777777778
23,6824,2022-03-10 23:37:37+00:00,"@SneakerNyame_ Yeah Eno b Sheldon
His head like deflated watermelon
He sanna block me too sake off isay Sarkodie dey rap pass manifest 
Gbemi",yeah eno b sheldon his head like deflated watermelon he sanna block me too sake off isay sarkodie dey rap pass manifest gbemi,0.782608695652174
54,21755,2022-08-06 23:43:39+00:00,"@AdusiPoku86 @GeorgeAnagli @_minister_Isaac @Opresii If Ronaldo plays in the UEL and Messi plays in the UCL till they retire,Messi will never win 5 UCL trophies 😌🤝",if ronaldo plays in the uel and messi plays in the ucl till they retiremessi will never win 5 ucl trophies,0.7
48,20849,2022-07-28 23:34:45+00:00,2021 locs... Now if you see it eh heeeerh https://t.co/jW77puHxGq,2021 locs now if you see it eh heeeerh,0.75
2,11403,2022-04-25 23:58:34+00:00,"Candle wax? On top waiting?
🤣🤣🤣 

Steph ma pami nah 🤣
#AshewoSpace",candle wax on top waiting steph ma pami nah,0.7777777777777778
88,14089,2022-05-21 23:17:08+00:00,@selasi_klutse E be serious oooo,e be serious oooo,0.75
28,7029,2022-03-12 23:40:56+00:00,Walai i can't wait 😣🤧 https://t.co/J8r4ZuoSlr,walai i cant wait,0.75
84,11785,2022-04-28 23:12:01+00:00,So apparently Afi POKUA [Vim Lady ] wanted to run E-Show on Okay FM but Kwame Nkrumah Tik3sea is sabotaging her ideas ; woah 💔,so apparently afi pokua vim lady wanted to run e show on okay fm but kwame nkrumah tik3sea is sabotaging her ideas woah,0.7727272727272727
88,11889,2022-04-29 23:12:44+00:00,"Nooooooo, he lost it cuz of the okro! 😑 https://t.co/SWLqFT8hyO https://t.co/jley4i6d6t",nooooooo he lost it cuz of the okro,0.75
16,21217,2022-08-01 23:51:06+00:00,"LATEST:There’s a fire outbreak in Tudu, Accra https://t.co/XkJbOiSQ9r",latesttheres a fire outbreak in tudu accra,0.7142857142857143
60,3161,2022-02-01 23:22:23+00:00,@noah_diallo @shiftedwomb Dnt mind her....we wnt even say anithing to her...,dnt mind her we wnt even say anithing to her,0.7
6,18407,2022-07-04 23:57:02+00:00,"@MustafationAli @primevideosport @ManCity It’s at least 4 positions. Because RODRI, Bernardo Debryne Foden that’s 4",its at least 4 positions because rodri bernardo debryne foden thats 4,0.7
33,734,2022-01-08 23:34:51+00:00,UK mensen waren een en al bad vibes dit jaar. https://t.co/wqsJvokcg1,uk mensen waren een en al bad vibes dit jaar,0.7
39,21640,2022-08-05 23:36:58+00:00,@kento_sekine Bon séjour à Togo!,bon séjour à togo,0.75
41,4742,2022-02-17 23:25:23+00:00,"Hear me out
Countre milk vanilla + hobnobs milk chocolate 😩😍💯",hear me out countre milk vanilla hobnobs milk chocolate,0.7777777777777778
56,19557,2022-07-15 23:31:02+00:00,who invited white lakaka ??? https://t.co/3yd1uVbezZ https://t.co/HwY8VJD3dt,who invited white lakaka,0.75
52,853,2022-01-09 23:39:47+00:00,"Dear mr sugar daddy🎅 @KiDiMusic ,your heartbeat is trending bahd bahd bahd!!! https://t.co/rhKrPeA4mx",dear mr sugar daddy your heartbeat is trending bahd bahd bahd,0.7272727272727273
80,7281,2022-03-14 23:04:24+00:00,@iLatif_ How’s that your concern?,hows that your concern,0.75
69,17470,2022-06-24 23:34:57+00:00,"@smartdapralem Lol nuumo you be stubborn 😅

I come house sef",lol nuumo you be stubborn i come house sef,0.7777777777777778
74,11175,2022-04-22 23:41:22+00:00,Dem go be super proud of am waa https://t.co/i5aURUFaJH,dem go be super proud of am waa,0.75
35,5336,2022-02-23 23:42:18+00:00,@KyeiBernardo @didipreko @AsanteKotoko_SC Mk he go sleep,mk he go sleep,0.75
61,11862,2022-04-29 23:25:55+00:00,@Kwame_Tsuca_1 You then the nigga get issue anaa ? 🤣🤣,you then the nigga get issue anaa,0.7142857142857143
1,14502,2022-05-26 23:59:23+00:00,@SWISSPLUS Ei! Aa shock oo!,ei aa shock oo,0.75
31,19032,2022-07-10 23:50:59+00:00,Erasmus now woyɛ lawyer? Ei! Defamation nyinaa come inside 😂 #Daterushreunion,erasmus now woy lawyer ei defamation nyinaa come inside,0.7777777777777778
95,22096,2022-08-09 23:07:05+00:00,Y’all remember this jam? https://t.co/vs5YTEE45X,yall remember this jam,0.75
85,9486,2022-04-05 23:20:34+00:00,I’ve abstained long enough,ive abstained long enough,0.75
40,12141,2022-05-02 23:35:12+00:00,@w_letters @iamopele Ebi fooling dem fool...no be poverty,ebi fooling dem fool no be poverty,0.7142857142857143
50,8351,2022-03-25 23:36:24+00:00,@_ChrissyA oh neighbor adey come 😅,oh neighbor adey come,0.75
75,8376,2022-03-25 23:26:48+00:00,The funeral was postponed! 😂 https://t.co/NFN8FUzoFJ,the funeral was postponed,0.75
78,19579,2022-07-15 23:23:43+00:00,@BenopaOnyx1 Mateu Alemany bi football Albert Einstein....... the man get head Herh 😂,mateu alemany bi football albert einstein the man get head herh,0.7272727272727273
28,1429,2022-01-15 23:40:19+00:00,@jbonzy Ebi Costa p3 actually did the job oo cos chaley,ebi costa p3 actually did the job oo cos chaley,0.7777777777777778
3,2004,2022-01-21 23:56:43+00:00,Y’all be soo fine 😮‍💨😮‍💨😮‍💨,yall be soo fine,0.75
