,id,date,rawContent,cleaned_content,english_relative_frequency
92,9293,2022-04-03 23:47:03+00:00,"Been seeing this on my FYP and wanted to try since I have some medical concerns too.. This is Acu-Chiro located at Alpha Dr, MatandangBalara, Quezon City. To book sessions, contact them via Facebook under the same name https://t.co/ScekYMvVY1",been seeing this on my fyp and wanted to try since i have some medical concerns too this is acu chiro located at alpha dr matandangbalara quezon city to book sessions contact them via facebook under the same name,0.9230769230769232
90,16491,2022-06-14 23:46:55+00:00,Not my dream school nor my dream course... Dami regrets lol https://t.co/56ODxBo7fN,not my dream school nor my dream course dami regrets lol,0.9090909090909092
95,7896,2022-03-20 23:47:36+00:00,Blessed to see another year and feeling all the love today ❤️‍🔥 Thank you all so much  🥹💋 Happy Birthday Glendale 🌬🎂 https://t.co/HGCgGg4Ulp,blessed to see another year and feeling all the love today thank you all so much happy birthday glendale,0.9473684210526316
42,1943,2022-01-20 23:48:05+00:00,YAY!!! A friend gave me sugar free tikoy!!! Didn't even know there was one. Having this for breakfast ❤ https://t.co/CFPTSZNki7,yay a friend gave me sugar free tikoy didnt even know there was one having this for breakfast,0.9444444444444444
44,8245,2022-03-24 23:49:51+00:00,"I'm at Land Transportation Office (LTO) in Pilar, Central Luzon, Bataan https://t.co/3PYhqduHXb",im at land transportation office lto in pilar central luzon bataan,0.9090909090909092
59,14760,2022-05-28 23:50:45+00:00,"I just obtained a new skin Dark Necro in Mobile Legends: Bang Bang! Let's face off against the world's best MOBA players together! 
https://t.co/xPTNgnlFKh https://t.co/vOTOuEREw9",i just obtained a new skin dark necro in mobile legends bang bang lets face off against the worlds best moba players together,0.9130434782608696
72,4873,2022-02-18 23:47:13+00:00,"The business will produce both pork and beef with two flavors: plain &amp; bulgogi. It could be partnered with lettuce, kimchi &amp; cheese!

Click the link below if you want to order:
https://t.co/s9rY4djlOy (Pg 4)

#mEATustHERE
#IsangKagatLanghapSarap",the business will produce both pork and beef with two flavors plain and bulgogi it could be partnered with lettuce kimchi and cheese click the link below if you want to order pg 4,0.9090909090909092
41,17942,2022-06-29 23:52:48+00:00,stop na ako sa coffee. di ata advisable if may PCOS 😞,stop na ako sa coffee di ata advisable if may pcos,0.9090909090909092
75,6476,2022-03-06 23:43:23+00:00,"@joefranc If Putin can kill his dissidents (who are outside of Russia and ALREADY ON EXILE), what more pa kaya ito?!",if putin can kill his dissidents who are outside of russia and already on exile what more pa kaya ito,0.95
57,16558,2022-06-15 23:52:32+00:00,@BTS_twt TO: RM HOW AREYOU? I WISH YOU OKAY MIND BODY AND SOUL.. IT'S OKAY TO TAKE A BREAK ITS BEEN 10YEARS ALREADY WORKIN SOO HARD NONSTOP.. DO WHAT YOUR HEARTS DESIRE YOU'VE ACHIEVED A LOT AS A GROUP NOW ITS TIME TO FOCUS TO YOURSELF AND FAMILY.  💜💜💜,to rm how areyou i wish you okay mind body and soul its okay to take a break its been 10years already workin soo hard nonstop do what your hearts desire youve achieved a lot as a group now its time to focus to yourself and family,0.9565217391304348
45,2546,2022-01-26 23:49:03+00:00,@Terri66987597 Hope all is fine and well with you today. Love and hugs to you dear beautiful bff and sis ❤️🌹❤️🌹,hope all is fine and well with you today love and hugs to you dear beautiful bff and sis,0.9473684210526316
17,11918,2022-04-30 23:54:33+00:00,"Still can’t believe she was given Pro Ecclesia et Pontifice, a highest award given by the Pope. 

The Vatican @Pontifex should strip of the award from her. https://t.co/S53nzfmbtJ",still cant believe she was given pro ecclesia et pontifice a highest award given by the pope the vatican should strip of the award from her,0.9615384615384616
58,20659,2022-07-26 23:49:44+00:00,"Seeing all the post #CQ2022 reflection threads, vlogs, content pieces, etc. is legit making me cry at 8AM 😭

To see so many people enjoy our festival.... what a magical feeling 🥺

Y'all gonna cry with me when we release the after movie 🤣",seeing all the post reflection threads vlogs content pieces etc is legit making me cry at 8am to see so many people enjoy our festival what a magical feeling yall gonna cry with me when we release the after movie,0.9487179487179488
35,9436,2022-04-05 23:53:47+00:00,"But God commendeth his love toward us, in that, while we were yet sinners, Christ died for us.
Romans 5:8 KJV

https://t.co/6DFo6pLx1W #VerseOfTheDay https://t.co/FLz3PSWg2Y",but god commendeth his love toward us in that while we were yet sinners christ died for us romans 58 kjv,0.9
13,11314,2022-04-24 23:57:45+00:00,"I'm at Mall of Asia Arena Annex Building in Pasay City, Metro Manila https://t.co/O5CbRpmDHe",im at mall of asia arena annex building in pasay city metro manila,0.9230769230769232
21,3722,2022-02-07 23:57:01+00:00,"It's that time of  year again. #healthiswealth @ St. Luke's Medical Center, QC https://t.co/XQWC5jKh0i",its that time of year again st lukes medical center qc,0.9090909090909092
53,6054,2022-03-02 23:46:41+00:00,The faithful came in droves yesterday to have ashes imposed on their heads. It is a good sign. Faith is alive. Challenge now is to sustain the spirit. The devil must be panicking and God must be smiling.,the faithful came in droves yesterday to have ashes imposed on their heads it is a good sign faith is alive challenge now is to sustain the spirit the devil must be panicking and god must be smiling,0.9736842105263158
13,9114,2022-04-02 23:56:13+00:00,"I see parallels with what happened during Obama's 1st campaign and what is happening with VP Leni's. Unfortunately Obama wasn't able to harness that volunteerism after the campaign, hope we do better. Local People's Councils and other ways to increase engagement bet Gov N People",i see parallels with what happened during obamas 1st campaign and what is happening with vp lenis unfortunately obama wasnt able to harness that volunteerism after the campaign hope we do better local peoples councils and other ways to increase engagement bet gov n people,0.9772727272727272
16,1817,2022-01-19 23:56:34+00:00,"This drama series in Netflix, Manifest, I am hooked. LOL Started watching S1 few days ago and now about to finish S3. Can’t wait for Season4 really. #Manifest #netflixseries #Netflix",this drama series in netflix manifest i am hooked lol started watching s1 few days ago and now about to finish s3 cant wait for season4 really,0.9583333333333334
34,15335,2022-06-03 23:53:30+00:00,"Foie gras (pronounced ""fwah-grah"") is considered a delicacy around the world. French for ""fat liver,"" foie gras is the liver of a duck or goose that has been enlarged through a special feeding technique. #spiral #sofitel #wheninmanilafood #foiegras https://t.co/iFJzxgOzLg",foie gras pronounced fwah grah is considered a delicacy around the world french for fat liver foie gras is the liver of a duck or goose that has been enlarged through a special feeding technique,0.9428571428571428
96,23997,2022-08-28 23:43:32+00:00,"Last week, I told Sunny my student that I was sick &amp; my body temperature reached 37.8°C then she asked me ""Did your mom know you are sick, teacher? Because she is in Canada she is not with you"" At that moment I want to cry bec momma didnt know.",last week i told sunny my student that i was sick and my body temperature reached 37 8c then she asked me did your mom know you are sick teacher because she is in canada she is not with you at that moment i want to cry bec momma didnt know,0.979591836734694
0,10301,2022-04-14 23:59:51+00:00,"Jesus spoke seven final statements from the cross. His first words were, ""Father, forgive them, for they do not know what they are doing."" (Luke 23:34, NIV). His last words were, ""Father, into your hands I commit my spirit."" (Luke 23:46, NIV)

#HolyWeek
#GoodFriday https://t.co/a3vjWG3dZk",jesus spoke seven final statements from the cross his first words were father forgive them for they do not know what they are doing luke 2334 niv his last words were father into your hands i commit my spirit luke 2346 niv,0.95
8,14209,2022-05-23 23:57:47+00:00,Aaahhhhh! I don’t want this to end. Watching this felt like I was part of their family and their journey. 🥺🥺 #ThisIsUsFinalChapter https://t.co/POIVuYKJ6m,aaahhhhh i dont want this to end watching this felt like i was part of their family and their journey,0.95
17,118,2022-01-02 23:56:02+00:00,"I've been praying three days straight that the Lord won't wake me up again.

I'm awfully tired. Ewan ko ba. :""((",ive been praying three days straight that the lord wont wake me up again im awfully tired ewan ko ba,0.95
32,4833,2022-02-18 23:54:09+00:00,"One day your “Lord ba’t ako?” Will be “Lord, kaya pala” 

🙏🏻🙏🏻🙏🏻",one day your lord bat ako will be lord kaya pala,0.9090909090909092
42,18143,2022-07-01 23:48:26+00:00,Season 3 girls are soooo good at re-introducing themselves BUT RAJA? The best. https://t.co/KmsyjcAdkK,season 3 girls are soooo good at re introducing themselves but raja the best,0.9230769230769232
