,id,date,rawContent,cleaned_content,english_relative_frequency
63,3164,2022-02-01 23:42:09+00:00,"I'm at LRT2 - Legarda Station - @officiallrta in Manila, Metro Manila https://t.co/3mmqh2wqDN",im at lrt2 legarda station in manila metro manila,0.875
76,18977,2022-07-09 23:41:18+00:00,Kung opportunity man ang mga pinalagpas ko nuon. Sorry Lord.. kung pg bibigyan pa ko ngayun. Im more than ready.. 🙏 in Your sweet perfect time…,kung opportunity man ang mga pinalagpas ko nuon sorry lord kung pg bibigyan pa ko ngayun im more than ready in your sweet perfect time,0.8
39,11540,2022-04-26 23:55:04+00:00,"Juskupo, it’s my 3rd serving in Alfred’s Makati Diamond. I hate you delicious Filipino food https://t.co/Xig6LkpoCI",juskupo its my 3rd serving in alfreds makati diamond i hate you delicious filipino food,0.8571428571428571
55,156,2022-01-02 23:49:06+00:00,"Happy birthday my Queen😘💕
Iloveyou so much

#JISOOBIRTHDAY 
#BLACKPINK 
#YGFAMILY 
#BLINKs https://t.co/Ko8FCgN1Hl",happy birthday my queen iloveyou so much,0.8571428571428571
4,17205,2022-06-22 23:59:13+00:00,"Ano sa tingin nyo? 
""Priest wanting to move to INC concerns Catholic Church"" https://t.co/V11V2Q8V4t",ano sa tingin nyo priest wanting to move to inc concerns catholic church,0.8461538461538461
93,15594,2022-06-05 23:43:42+00:00,"More photos with our Madam Michelle Ancheta na super sayang kausap. Thanks, ma'am MVA! 🦋❤️🦋 @ Diamond Express and General Services, Inc. https://t.co/ym680aVKll",more photos with our madam michelle ancheta na super sayang kausap thanks maam mva diamond express and general services inc,0.8
50,3251,2022-02-02 23:45:25+00:00,"Prof: Mga anak paki open cam, you know the drill.
Me: Turns on my mic 😭😭🤦",prof mga anak paki open cam you know the drill me turns on my mic,0.8666666666666667
92,5593,2022-02-25 23:42:29+00:00,watching this video about Retailing in the Metaverse,watching this video about retailing in the metaverse,0.875
21,5122,2022-02-21 23:56:45+00:00,"@redzaaae True, I will vote for him as senator sana. Isko is a Duterte Lite🤫",true i will vote for him as senator sana isko is a duterte lite,0.8571428571428571
97,7898,2022-03-20 23:47:15+00:00,"@SimpleniRobredo Bwiset! Tawang-tawa ako sa yo kagabi. Hindi ko kinaya ang grand entrance mo madam! I live for it! I have three words for you: Bongga mo, ate! 😊🌸",bwiset tawang tawa ako sa yo kagabi hindi ko kinaya ang grand entrance mo madam i live for it i have three words for you bongga mo ate,0.8214285714285714
58,7359,2022-03-15 23:49:36+00:00,"As much as I like working more on site/at the office, it’s being outweighed by the money, effort and time wasted in commuting to go to/from work. Ayoko. WFH pa rin.",as much as i like working more on siteat the office its being outweighed by the money effort and time wasted in commuting to go tofrom work ayoko wfh pa rin,0.8064516129032258
33,5534,2022-02-25 23:53:45+00:00,"Hindi ako pala post eh, kaya kahit dean's list or presidents list man ako.. Sinasarili ko na lang at nag papa salamat kay Lord.",hindi ako pala post eh kaya kahit deans list or presidents list man ako sinasarili ko na lang at nag papa salamat kay lord,0.8333333333333334
58,18859,2022-07-08 23:47:41+00:00,"Inflation is real mas maging ""budget &amp; spend wisely!"" ngayon",inflation is real mas maging budget and spend wisely ngayon,0.8
53,18054,2022-06-30 23:50:53+00:00,HAPPY FRIDAY! HELLO JULY! KALMA LANG AH! 🫶🏻✨🙏🏻,happy friday hello july kalma lang ah,0.8571428571428571
52,13353,2022-05-14 23:49:49+00:00,"The Plague skin looks so gooooooood that I want to projectile vomit on survivors!
Adiris looks so fieeeeeeeerce ❤️
#ThePlague https://t.co/is3J1ox1bO",the plague skin looks so gooooooood that i want to projectile vomit on survivors adiris looks so fieeeeeeeerce,0.8333333333333334
76,13177,2022-05-12 23:48:00+00:00,someone sent me this. obviously not mine. don't engage. kindly report na lang po. maraming salamat. https://t.co/ogt1jql3KP,someone sent me this obviously not mine dont engage kindly report na lang po maraming salamat,0.875
75,16276,2022-06-12 23:44:29+00:00,"Ei, yung sa manila dito sa amin sa may Plaza Noli. It wasn't that big but it was super special. https://t.co/WQH0XpqFKM",ei yung sa manila dito sa amin sa may plaza noli it wasnt that big but it was super special,0.85
17,23818,2022-08-27 23:55:41+00:00,"see, si thomer lang kampi ni Emma , match na agad...Match up lang  #MobileLegend Come join my Squad, Let us face off against the world's best MOBA players together!
https://t.co/xkskPmq9lf https://t.co/DxYbm2a39w",see si thomer lang kampi ni emma match na agad match up lang come join my squad let us face off against the worlds best moba players together,0.8571428571428571
92,6593,2022-03-07 23:42:26+00:00,"I just imagining Viarkin singing ""Ikaw ang Musika"" while listening to the song and it feels so real 🥰❤️",i just imagining viarkin singing ikaw ang musika while listening to the song and it feels so real,0.8333333333333334
92,6793,2022-03-09 23:42:43+00:00,P70 per liter and traffic isn’t helping at all. Langyang yan. Hassle. @ Pasig https://t.co/LSBXx8DleQ,p70 per liter and traffic isnt helping at all langyang yan hassle pasig,0.8333333333333334
47,14548,2022-05-26 23:53:46+00:00,"Goodmorning see you tonight at @the_rm16  💋

#djkhimcustodio 
#Sikatentertainment @ RM-16 https://t.co/VtDQAS0JwF",goodmorning see you tonight at rm 16,0.8333333333333334
