,id_column,annotate_text,label,annotated_at
0,17222,<b>Raw:</b> Mariokart been a minute https://t.co/Ni5W0FQ1UU<br><b>Clean</b>: mariokart been a minute,,2022-12-12 15:54:41
1,17846,<b>Raw:</b> @__codebug If you'll see the passport nkoaa dier 💀<br><b>Clean</b>: if youll see the passport nkoaa dier,code-switched,2022-12-12 15:54:48
2,4657,<b>Raw:</b> @gyaigyimii Move to the Bantama high street or head to Asafo Amakom traffic light (Night Waakye)<br><b>Clean</b>: move to the bantama high street or head to asafo amakom traffic light night waakye,code-switched,2022-12-12 15:54:51
3,17216,<b>Raw:</b> Where he is appreciated !!! Bayern earns my respect ! https://t.co/P3NgdZEkPS<br><b>Clean</b>: where he is appreciated bayern earns my respect,,2022-12-12 15:54:56
4,2582,<b>Raw:</b> @DOScodified @Jamieilish @DANEisQueen @Tidohthando Herh fa wo gyimie fri ha k)<br><b>Clean</b>: herh fa wo gyimie fri ha k,not_english,2022-12-12 15:55:02
5,18829,<b>Raw:</b> You  are an  Ewe? and you haven't soak Efo Yao Borbor yet tweaaaa!<br><b>Clean</b>: you are an ewe and you havent soak efo yao borbor yet tweaaaa,code-switched,2022-12-12 15:55:09
6,5117,"<b>Raw:</b> @SWISSPLUS @aboafunu_ Ah! Wey basa basa ""hen house"" this!<br><b>Clean</b>: ah wey basa basa hen house this",some_english,2022-12-12 16:14:58
7,3826,<b>Raw:</b> @unrulyking00 @juniorkingp Oh sorry 😐 but am referring it to oxlade chaley<br><b>Clean</b>: oh sorry but am referring it to oxlade chaley,non_standard_english,2022-12-12 16:15:10
8,12233,"<b>Raw:</b> @SedudziTsegah Lol Torgbui, roff talk sorr. 
Now where them dey? 
They sleep!<br><b>Clean</b>: lol torgbui roff talk sorr now where them dey they sleep",code-switched,2022-12-12 16:15:23
9,5025,<b>Raw:</b> What was wrong with fergie this day?? Lmaoo the second hand embarrassmenttt https://t.co/RE8nBuvLqW<br><b>Clean</b>: what was wrong with fergie this day lmaoo the second hand embarrassmenttt,,2022-12-12 16:15:35
10,9879,"<b>Raw:</b> The Ghost pessi has assisted again

Score goals pessi

Damn you pessi😩😩<br><b>Clean</b>: the ghost pessi has assisted again score goals pessi damn you pessi",non_standard_english,2022-12-12 16:15:51
11,17445,<b>Raw:</b> @NanaKwameFlex3 Some people dema thinking be different kraa oo 😂😂<br><b>Clean</b>: some people dema thinking be different kraa oo,code-switched,2022-12-12 16:15:58
12,11907,<b>Raw:</b> @tatascaritas You dey worry oooo 😀<br><b>Clean</b>: you dey worry oooo,code-switched,2022-12-12 16:16:06
13,16317,<b>Raw:</b> @DanielKayod8 @millflicz @DadaDonBortey @obbampoegh @FelixRomark @Fentuo_ @TheOnlyBKB @purefmsports @phobia_fans @PhobiaTertiary @AsanteKotoko_SC @HeartsOfOakGH see this man ooh I taught ibi ur legend plsss we dont need borla<br><b>Clean</b>: see this man ooh i taught ibi ur legend plsss we dont need borla,code-switched,2022-12-12 16:16:17
14,1841,<b>Raw:</b> @kuame_ab @iamyevesky @StatsGH Morro I go reply you waaa. You.<br><b>Clean</b>: morro i go reply you waaa you,code-switched,2022-12-12 16:16:31
15,13652,<b>Raw:</b> In your house laa 😃 https://t.co/5J0beJ5V8P<br><b>Clean</b>: in your house laa,,2022-12-12 16:16:42
16,1199,"<b>Raw:</b> @_lawslaw @iLatif_ UPSA sef? You people dey this app top dey figa, sia I hope say if you die them go burry you for air conditioned coffin inside. Tswww S3 UPSA sef 🤦🏽‍♂️🤧🤧🤧<br><b>Clean</b>: upsa sef you people dey this app top dey figa sia i hope say if you die them go burry you for air conditioned coffin inside tswww s3 upsa sef",code-switched,2022-12-12 16:16:53
17,2560,<b>Raw:</b> @akosuamoremonie Her woboa sugar daddy 🥺<br><b>Clean</b>: her woboa sugar daddy,code-switched,2022-12-12 16:18:41
18,9454,<b>Raw:</b> @Miss_Kess 😂😭😂😂 I swallowed it tbh<br><b>Clean</b>: i swallowed it tbh,non_standard_english,2022-12-12 16:18:46
19,21685,"<b>Raw:</b> My top 4 Prediction

MANCHESTER CITY
CHELSEA
LIVERPOOL
TOTTENHAM<br><b>Clean</b>: my top 4 prediction manchester city chelsea liverpool tottenham",not-syntactic_standard_english,2022-12-12 16:18:55
20,15139,<b>Raw:</b> Erh! This Dami girl can talk plenty gibberish.<br><b>Clean</b>: erh this dami girl can talk plenty gibberish,non_standard_english,2022-12-12 16:19:03
21,4832,<b>Raw:</b> Compliments on my nollywood fit and dancing. Loooooooool<br><b>Clean</b>: compliments on my nollywood fit and dancing loooooooool,non_standard_english,2022-12-12 16:19:10
22,12684,<b>Raw:</b> This is for Stonebwoy 😎<br><b>Clean</b>: this is for stonebwoy,full_standard_english,2022-12-12 16:19:17
23,13107,<b>Raw:</b> #buga everywhere for Ghana but ebi naija song 😭😭<br><b>Clean</b>: everywhere for ghana but ebi naija song,non_standard_english,2022-12-12 16:19:25
