,id,date,rawContent,cleaned_content,english_relative_frequency
66,6967,2022-03-11 23:22:11+00:00,"So all you girls get chairman?
Ehard oo
I blame the economy",so all you girls get chairman ehard oo i blame the economy,0.9166666666666666
72,12273,2022-05-03 23:21:24+00:00,I know she's my ex but anytime I see her with another guy I still feel like she's cheating on me,i know shes my ex but anytime i see her with another guy i still feel like shes cheating on me,0.9047619047619048
46,4247,2022-02-12 23:30:50+00:00,@The25thBam_ Let’s all starting streaming on crunchyroll and get a better pay,lets all starting streaming on crunchyroll and get a better pay,0.9090909090909092
38,12739,2022-05-08 23:34:51+00:00,"@dat_blankson We exchanged contacts and he was supposed to pick me up after service.  But he wasn't nearby as at the time I closed. 

He later texted me thanking me for the advise and said he called the mum and wished her.",we exchanged contacts and he was supposed to pick me up after service but he wasnt nearby as at the time i closed he later texted me thanking me for the advise and said he called the mum and wished her,0.975609756097561
37,18138,2022-07-01 23:42:03+00:00,@sharmasupriya He’s the busiest and probably the highest paid law officer in the country as represents all Govt’s (both Central n state Govt ) where the same party is in rule,hes the busiest and probably the highest paid law officer in the country as represents all govts both central n state govt where the same party is in rule,0.9310344827586208
79,3180,2022-02-01 23:12:50+00:00,"Last weekend, the National Jalsa Planning Committee (NJPC) met again to discuss the possibility of the next #JalsaSalana this year as the gathering has been on hold due to the COVID-19 Pandemic. Stay tuned, as we'll be telling you what's next soon.
#Ghana #JalsaGhana #ahmadiyya https://t.co/uGJM7RjCus",last weekend the national jalsa planning committee njpc met again to discuss the possibility of the next this year as the gathering has been on hold due to the covid 19 pandemic stay tuned as well be telling you whats next soon,0.951219512195122
67,15468,2022-06-04 23:21:49+00:00,"@AlexGoldberg_ Nice crib🏠 thoooo ,what do u do for a living if you don’t mind ?",nice crib thoooo what do u do for a living if you dont mind,0.9285714285714286
3,16304,2022-06-13 23:58:37+00:00,"I wish I could talk about a friend’s experience..Some bro was actually paying whiles she was 3 to 4 months pregnant…..This was 10k, 5k and all",i wish i could talk about a friends experience some bro was actually paying whiles she was 3 to 4 months pregnant this was 10k 5k and all,0.9583333333333334
22,17223,2022-06-22 23:33:02+00:00,"The journalists were given a real-time demonstration of the capabilities of the Regional Vessel Monitoring System (RVMS), how the information-gathering &amp; intelligence is developed at the RMCSC &amp; shared with FCWC Member States for action against illegal fishing &amp; associated crimes",the journalists were given a real time demonstration of the capabilities of the regional vessel monitoring system rvms how the information gathering and intelligence is developed at the rmcsc and shared with fcwc member states for action against illegal fishing and associated crimes,0.9302325581395348
27,23828,2022-08-27 23:48:03+00:00,HOW THE FUCK IS GOLDS GYM ADJIRINGANO CLOSED ON A SATURDAY??,how the fuck is golds gym adjiringano closed on a saturday,0.9090909090909092
29,14730,2022-05-28 23:46:54+00:00,"@espioj @StatsGH They know they’re like minds like you who’ll come to defend such “nonsense” nevertheless they keep replicating same portfolios with different titles! 

Ns3mfooon sei!!!  😤",they know theyre like minds like you wholl come to defend such nonsense nevertheless they keep replicating same portfolios with different titles ns3mfooon sei,0.9130434782608696
