,id_column,annotate_text,label,annotated_at
0,815,"<b>Raw:</b> Proof of Vaccination Not Effectively in Battling Omicron, Israeli Experts Warn  https://t.co/NuXJuIpGDb<br><b>Clean</b>: proof of vaccination not effectively in battling omicron israeli experts warn",not-syntactic_standard_english,2022-12-11 17:59:10
1,2287,"<b>Raw:</b> JUST because A PERSON
SMILES all the TIME
doesn't MEAN their
life is PERFECT.
The SMILE is a SYMBOL
of HOPE &amp; STRENGTH. @ Bangabandhu Avenue - Oxyzen,chittagong https://t.co/nNrc1AUC1w<br><b>Clean</b>: just because a person smiles all the time doesnt mean their life is perfect the smile is a symbol of hope and strength bangabandhu avenue oxyzenchittagong",not-syntactic_standard_english,2022-12-11 17:59:29
2,4625,<b>Raw:</b> I'm gonna miss the 1st premier 🥺🥺 In my country it'll not release today 😭😭 https://t.co/EkyoTojHcu<br><b>Clean</b>: im gonna miss the 1st premier in my country itll not release today,not-syntactic_standard_english,2022-12-11 17:59:47
3,5298,"<b>Raw:</b> Chattogram, Chittagong Division - Cut a whole pineapple yesterday and after eating pineapple i start feeling pain in my stomach first i thought gas problem but whole night my stomach was burning... Food Poisoning https://t.co/dHNb1A1aHH #diarrhea #gas #stomachpain<br><b>Clean</b>: chattogram chittagong division cut a whole pineapple yesterday and after eating pineapple i start feeling pain in my stomach first i thought gas problem but whole night my stomach was burning food poisoning",not-syntactic_standard_english,2022-12-11 18:00:03
4,2199,<b>Raw:</b> #Take a deep breath &amp; feel the view. @ Chittagong Patenga &amp; Naval Sea Beach চট্রগ্রাম পতেঙ্গা এবং নেভাল সি বিচ https://t.co/mCnEl9QhjJ<br><b>Clean</b>: a deep breath and feel the view chittagong patenga and naval sea beach,code-switched,2022-12-11 18:00:11
5,6447,<b>Raw:</b> @Rainbowndflower @ashoswai @ParaRjs What tax? His recent movies have been flops. And didn't he milk the govt into declaring his superflop fantasy garbage a tax-exempt product?<br><b>Clean</b>: what tax his recent movies have been flops and didnt he milk the govt into declaring his superflop fantasy garbage a tax exempt product,not-syntactic_standard_english,2022-12-11 18:00:30
6,1486,<b>Raw:</b> Love is not for a girl but for a family also ☺️ @ Nimtala https://t.co/hXr3tB1XDa<br><b>Clean</b>: love is not for a girl but for a family also nimtala,full_standard_english,2022-12-11 18:00:48
7,1157,<b>Raw:</b> Check out my Gig on Fiverr: create landscape watercolor oil painting wall and digital art https://t.co/eP7Na2qRfX<br><b>Clean</b>: check out my gig on fiverr create landscape watercolor oil painting wall and digital art,,2022-12-11 18:00:55
8,7115,<b>Raw:</b> Just posted a photo @ Chittagong University of Engineering and Technology - CUET https://t.co/buiT3QsZeM<br><b>Clean</b>: just posted a photo chittagong university of engineering and technology cuet,,2022-12-11 18:00:58
9,5044,"<b>Raw:</b> This manhwa is awesome! I can't get enough of it!
 
#nsfwtwt #TGCF #comicart

https://t.co/OCcHcQDbbU^TGCF^comicart<br><b>Clean</b>: this manhwa is awesome i cant get enough of it",code-switched,2022-12-11 18:01:44
