,id,date,rawContent,cleaned_content,english_relative_frequency
30,10331,2022-04-14 23:41:28+00:00,"I have boarded train no. 14623 from shakurbasti station, new delhi at 5am on 15/4/22. There was so much litter on seats and A.C. coach floor. SAWACH BHARAT kese banega agar passanger aur train authority will no strictly act on cleanliness.@AshwiniVaishnaw @RailMinIndia B2 38upper https://t.co/aHsyEw5QBq",i have boarded train no 14623 from shakurbasti station new delhi at 5am on 15422 there was so much litter on seats and a c coach floor sawach bharat kese banega agar passanger aur train authority will no strictly act on cleanliness b2 38upper,0.8717948717948718
37,14338,2022-05-24 23:17:42+00:00,"The Maurya kings did not know Sanskrit and Chanakya did not know Prakrit, so consider how the Maurya kings used to take advice from Chanakya? @ India That is Bharat https://t.co/4d4tenMr5n",the maurya kings did not know sanskrit and chanakya did not know prakrit so consider how the maurya kings used to take advice from chanakya india that is bharat,0.8620689655172413
95,7396,2022-03-15 21:57:50+00:00,"Manchester United out of UEFA Champion League 

#MUFC #UCL https://t.co/TfTgOwCxex",manchester united out of uefa champion league,0.8571428571428571
55,1456,2022-01-15 22:51:47+00:00,"#StartUps4NewIndia
PM Modi to interact with Startups https://t.co/Y8YFLJtHAD",pm modi to interact with startups,0.8333333333333334
78,16979,2022-06-19 23:05:37+00:00,"@Elina9521 Guten tag , is it german being written in caption #India",guten tag is it german being written in caption,0.8888888888888888
65,19966,2022-07-19 22:05:58+00:00,However players have responded well. @AidzMarkram @Rassie72 Janneman Malan @AnrichNortje02 Kagiso Rabada have been phenomenal. They have been playing smart cricket and the results are there to be seen. Mark my words when I say they are a strong contender for the @cricketworldcup,however players have responded well janneman malan kagiso rabada have been phenomenal they have been playing smart cricket and the results are there to be seen mark my words when i say they are a strong contender for the,0.8974358974358975
96,8597,2022-03-27 21:21:27+00:00,"Indian rail budget 2022-23 of NDA Government

https://t.co/ivHIuUy5y7",indian rail budget 2022 23 of nda government,0.8333333333333334
26,15527,2022-06-05 23:37:05+00:00,@29thSept2019 Ek toh sammy you sound very rude all the time😂,ek toh sammy you sound very rude all the time,0.8
44,12245,2022-05-03 22:52:57+00:00,Win in silence. Let them think you’re losing.,win in silence let them think youre losing,0.875
72,2073,2022-01-21 22:15:41+00:00,"@DSGarcha @Libertarian196 @VishnuNDTV So the whole controversy is irrelevant, Modi's baiters always pick wrong issues",so the whole controversy is irrelevant modis baiters always pick wrong issues,0.8333333333333334
48,11949,2022-04-30 23:17:42+00:00,Thank you Sadhguru for doing what you are doing #savesoil https://t.co/6wylp2k1c9,thank you sadhguru for doing what you are doing,0.8888888888888888
73,8974,2022-03-31 23:01:35+00:00,@chanda_mahua Jai mata di Chanda je please follow me,jai mata di chanda je please follow me,0.875
15,12616,2022-05-07 23:32:34+00:00,Instamart not having Haldiram's purple chips is a huge problem in my life. https://t.co/rt1VNfHisz,instamart not having haldirams purple chips is a huge problem in my life,0.8461538461538461
8,20009,2022-07-20 23:52:05+00:00,"Ravi Shastri's commentary and msd's batting! What a wonderful combination!  😍

https://t.co/ovmXMkdqZj",ravi shastris commentary and msds batting what a wonderful combination,0.8
8,12009,2022-05-01 23:54:31+00:00,@Sanginamby Totally not getting on that SpaceX rocket,totally not getting on that spacex rocket,0.8571428571428571
58,19859,2022-07-18 22:58:52+00:00,Just like @akshaykumar in WWE before joining Bollywood https://t.co/rrUY4nMLIx https://t.co/ncpWYLR4Rb,just like in wwe before joining bollywood,0.8571428571428571
60,19061,2022-07-10 22:34:46+00:00,"@AshwiniVaishnaw very sad to see pothetic cleanliness in Train no. 12904, pnr 2342972733.
AC 1, cabin H. Also the toilets are extremely dirty.
Why are you then charging customers if you can not provide cleaned seats and toilets.
Modi ji ka sapna .safai abhiyaan ka is tarah mazak",very sad to see pothetic cleanliness in train no 12904 pnr 2342972733 ac 1 cabin h also the toilets are extremely dirty why are you then charging customers if you can not provide cleaned seats and toilets modi ji ka sapna safai abhiyaan ka is tarah mazak,0.8409090909090909
2,3803,2022-02-08 23:56:55+00:00,Once a Holder always a HODLER..!! #NFTCommunity,once a holder always a hodler,0.8333333333333334
35,3836,2022-02-08 23:12:53+00:00,"Our Braveheart! Our Beloved! 
Our Savior! 
🌹Jai Hind Major Mohit Sharma🌹
                     🙏🏻🌹🇮🇳🌹🙏🏻 https://t.co/TWfhTxSCyJ",our braveheart our beloved our savior jai hind major mohit sharma,0.8181818181818182
52,4153,2022-02-11 22:29:36+00:00,@SrashtiKasera Take subscription of Netflix and Amazon and all,take subscription of netflix and amazon and all,0.875
63,8364,2022-03-25 22:30:51+00:00,Many Many Congratulation @AdvJebiMather Maa'm for being elected unopposed to Rajya Sabha।। 🇮🇳🇮🇳🇮🇳🇮🇳 https://t.co/1PpZCugmnC,many many congratulation maam for being elected unopposed to rajya sabha,0.8181818181818182
44,14745,2022-05-28 23:11:20+00:00,"@myogiadityanath @brajeshpathakup
Respected sir
sachchidanand Shukla vill Naugaon Nadini mirzapur I want to illegally occupy my land Jal Nigam wants to encroach on it I gave record to magistrate accountant and chief engineer But even then no action was taken I request you to please do justice https://t.co/0cvLFwLJB5",respected sir sachchidanand shukla vill naugaon nadini mirzapur i want to illegally occupy my land jal nigam wants to encroach on it i gave record to magistrate accountant and chief engineer but even then no action was taken i request you to please do justice,0.8444444444444444
60,23761,2022-08-26 23:20:31+00:00,@nft_joy36 Taking wife to the hospital bhaiya.. ☺️,taking wife to the hospital bhaiya,0.8333333333333334
84,19285,2022-07-12 22:17:11+00:00,@sanah_suri Sanah I was a 6 year old that time…,sanah i was a 6 year old that time,0.875
92,20293,2022-07-22 21:45:59+00:00,"Cut them off silently,they know exactly what they did.",cut them off silentlythey know exactly what they did,0.8888888888888888
85,6386,2022-03-05 21:03:30+00:00,@TheAaryanKartik see this awesome edit by @StanningKartik ... You're gonna love this https://t.co/UBveC2UTuJ,see this awesome edit by youre gonna love this,0.8888888888888888
70,1171,2022-01-12 22:01:44+00:00,Goddamn the capitalist machinery is now monetizing wordle!?,goddamn the capitalist machinery is now monetizing wordle,0.875
64,6865,2022-03-10 23:02:13+00:00,Just posted a photo @ Noida Sector 18 https://t.co/ObepPUSYWG,just posted a photo noida sector 18,0.8333333333333334
47,5648,2022-02-26 22:12:05+00:00,"I don’t want this nyt to end ….
#Tipsy Tonyt !!!",i dont want this nyt to end tonyt,0.875
42,13743,2022-05-18 23:01:41+00:00,@SrBachchan Love you amit ji lotss of love 💗,love you amit ji lotss of love,0.8571428571428571
63,2064,2022-01-21 22:36:39+00:00,Congratulations from my side @pushkardhami Bhai Ji https://t.co/JOo5WNRZ3K,congratulations from my side bhai ji,0.8333333333333334
50,9451,2022-04-05 23:25:12+00:00,"Get me the finest Vodka that they banned!!
Victory For Putin_Modi!✌️🐱
Brahamastra is coming!!!

#HailIndianArmy
#HailRussianArmy https://t.co/PtPJ6upj0B",get me the finest vodka that they banned victory for putinmodi brahamastra is coming,0.8571428571428571
35,3236,2022-02-02 23:28:07+00:00,"This valentine week ,our love season podcast -""The Conversation"" is goin to release ,where as some romatic love conversation are available to make this valentaine so special .
stayTune:Instagarm/rangmanch.india
follow our YT channel coffee Cam Studio .
@CaffeLibrary https://t.co/LAnKwqS7dY",this valentine week our love season podcast the conversation is goin to release where as some romatic love conversation are available to make this valentaine so special staytuneinstagarmrangmanch india follow our yt channel coffee cam studio,0.8888888888888888
3,23904,2022-08-28 23:56:48+00:00,"PM inaugurates and lays the foundation stone of projects worth around Rs 4400 crore in Bhuj
https://t.co/SIYeTxVjZt via NaMo App https://t.co/F9sFHYNSqn",pm inaugurates and lays the foundation stone of projects worth around rs 4400 crore in bhuj via namo app,0.8888888888888888
56,6057,2022-03-02 22:21:29+00:00,"Just posted a photo @ Rohini, Delhi https://t.co/3jiltUh3we",just posted a photo rohini delhi,0.8333333333333334
39,12940,2022-05-10 23:28:41+00:00,Just posted a photo @ South Extn https://t.co/AnfS4BjCUg,just posted a photo south extn,0.8333333333333334
78,2379,2022-01-24 23:02:24+00:00,@nisha_singhmarr @HemantSorenJMM @JharkhandCMO @Badal_Patralekh @DrRameshwarOra1 @AshishSinghmar @faiz_IAS Congratulations . Commendable work in this time .Jai Kisan.,congratulations commendable work in this time jai kisan,0.875
74,4275,2022-02-12 21:54:04+00:00,"Newly Constructed Luxurious 3BHK #Flat in the heart of Delhi NCR (Vikson #SiddharthVihar Residency) #2BHK #Apartment #ForSale #Ghaziabad #Residential #Property
https://t.co/nzLeY4A55I",newly constructed luxurious 3bhk in the heart of delhi ncr vikson residency,0.8181818181818182
27,19328,2022-07-13 23:38:03+00:00,"#GodMorningThursday
#पूर्णगुरु_संतरामपालजी_महाराज
✍🏻माटी का शरीर है एक दिन माटी में ही मिल जायेगा !
ले सतगुरु शरण तेरा जीवन सफल हो जायेगा!🙇

🔍Must visit Satlok Ashram YouTube Channel 
@SaintRampalJiM https://t.co/apI1kZr0JW",must visit satlok ashram youtube channel,0.8333333333333334
51,15252,2022-06-02 23:29:11+00:00,"Damn. All these 'apolitical' men suddenly on WhatsApp posting tons of statuses on Depp. 
It's not about the case, it's more about your incel inclinations.",damn all these apolitical men suddenly on whatsapp posting tons of statuses on depp its not about the case its more about your incel inclinations,0.88
92,18893,2022-07-08 21:40:35+00:00,"Book reviews: ""Ametora"" and ""Pure Invention""
https://t.co/8kOVc5wV7X",book reviews ametora and pure invention,0.8333333333333334
96,1597,2022-01-16 20:58:59+00:00,I analysed Aston villa vs Manchester United game. Tho the match finished at disappointing 2-2..sigh..#ManchesterUnited #footballanalytics #AstonVilla https://t.co/kv5UmM8Q52,i analysed aston villa vs manchester united game tho the match finished at disappointing 2 2 sigh,0.8666666666666667
46,21447,2022-08-03 22:43:53+00:00,@KMarewany Poor husband is getting roughed up out there,poor husband is getting roughed up out there,0.875
40,16041,2022-06-10 23:31:52+00:00,"@_sayema Ghanta ka Protection..👍👍

You throw stones after every Friday prayers. And, expect police to be sincere..?? 

Lath bajao..Aur tab tak bajao, jab tak June ke month mei dec ki feeling na aa jaye.

@PMOIndia should deploy additional companies. And jaha gathering dikhi, #bajaolath",ghanta ka protection you throw stones after every friday prayers and expect police to be sincere lath bajao aur tab tak bajao jab tak june ke month mei dec ki feeling na aa jaye should deploy additional companies and jaha gathering dikhi,0.8333333333333334
69,1270,2022-01-13 22:00:39+00:00,"@saurabhtop @me_Garima3 @LallantopSports you sold your interview. It was quite evident, from the way yogi was responding with those facts, his level of comfort, absence of questions based on hate speech, minority/human right violation. Yogi ne kaha, jaisa karoge waisa bharoge for thoko neeti, nd u let him go,shameless!",you sold your interview it was quite evident from the way yogi was responding with those facts his level of comfort absence of questions based on hate speech minorityhuman right violation yogi ne kaha jaisa karoge waisa bharoge for thoko neeti nd u let him goshameless,0.8260869565217391
86,14587,2022-05-26 21:42:37+00:00,J&amp;K Police cop Mudasir attained martyrdom in an encounter in which three Pakistani terrorists got killed today in Baramulla. RIP Braveheart. https://t.co/mE6AK6wxYy,jandk police cop mudasir attained martyrdom in an encounter in which three pakistani terrorists got killed today in baramulla rip braveheart,0.8095238095238095
12,19313,2022-07-13 23:46:33+00:00,"Got an opportunity to meet the Hon'ble External Affairs Minister of India, @DrSJaishankar who is also a JNUite &amp; holds an MA, MPhil, PhD from JNU, New Delhi. 😌 https://t.co/gSXka5oQFQ",got an opportunity to meet the honble external affairs minister of india who is also a jnuite and holds an ma mphil phd from jnu new delhi,0.8518518518518519
93,8994,2022-03-31 22:39:28+00:00,@Poonam_98200 Jai mata di Poonam je please follow me,jai mata di poonam je please follow me,0.875
46,21547,2022-08-04 22:55:26+00:00,"today i watched koffee with karan for the first time ‘cause i’m an aamir khan fan. 

now i’m addicted to this show. im binging previous seasons 🥲",today i watched koffee with karan for the first time cause im an aamir khan fan now im addicted to this show im binging previous seasons,0.8461538461538461
47,7048,2022-03-12 22:06:59+00:00,"A few other ideas of movies that may bring forth #Hinduphobia to the forefront in #KashmirFiles-esque genre:
1) Portuguese inquisition of Goa
2) Bengal genocide &amp; famine
3) Moplah Massacre
4) Morichjhapi massacre
5) Post poll violence Bengal
6) Godhra Kaand
7) Genocide by Mughals",a few other ideas of movies that may bring forth to the forefront in esque genre 1 portuguese inquisition of goa 2 bengal genocide and famine 3 moplah massacre 4 morichjhapi massacre 5 post poll violence bengal 6 godhra kaand 7 genocide by mughals,0.8378378378378378
6,18507,2022-07-05 23:51:13+00:00,"Ready To Move #Apartment /#Flat #ForSale In Spring Meadows, Noida #2BHK #TechZone4 #GreaterNoida #Residential #Property
https://t.co/HQJdTmdc8t",ready to move in spring meadows noida,0.8571428571428571
5,17506,2022-06-25 23:57:59+00:00,I know you're listening and going deep.,i know youre listening and going deep,0.8571428571428571
89,7790,2022-03-19 20:51:29+00:00,@LiuXininBeijing I totally disagree what you tried to portray China as...5 principals or values does not mean anymore in Chinese aggression in land grabbing of its neighbours. 1962 India experienced the back stabbing while we raised a slogan of Indo Chini Bhai Bhai or Indo Chinese Brotherhood 🙄,i totally disagree what you tried to portray china as 5 principals or values does not mean anymore in chinese aggression in land grabbing of its neighbours 1962 india experienced the back stabbing while we raised a slogan of indo chini bhai bhai or indo chinese brotherhood,0.8888888888888888
19,20320,2022-07-23 23:19:07+00:00,"https://t.co/6pZ4wdaGkH

Sunday Video Story | Trouble tree | *Dr.Parveen Bhatia *

“Wash away your troubles with some bubbles!”
*ये मत कहो ख़ुदा से  
मेरी मुश्किलें बड़ी है,
ये मुश्किलों से कह दो 
मेरा ख़ुदा बड़ा है ।*

Venue:
Upper Lake View Point,
Bhopal, Madhya Pradesh",sunday video story trouble tree dr parveen bhatia wash away your troubles with some bubbles venue upper lake view point bhopal madhya pradesh,0.8260869565217391
83,4184,2022-02-11 21:46:33+00:00,Ngl thats what exactly I expect from Kenneth Branagh's cinema https://t.co/W4WIPk8DTf,ngl thats what exactly i expect from kenneth branaghs cinema,0.8
18,19619,2022-07-16 23:40:14+00:00,"Get ready for another moderate spell of rain moving towards Gurgaon Noida Ghaziabad, Faridabad, and most places in Delhi during the next 2-3 hours. #DelhiRains ⛈️⚡⚠️ https://t.co/k27qd1c9xJ",get ready for another moderate spell of rain moving towards gurgaon noida ghaziabad faridabad and most places in delhi during the next 2 3 hours,0.8260869565217391
98,7999,2022-03-21 21:53:23+00:00,Being home for Holi after 6 years hits different https://t.co/eUUNsWAaOq,being home for holi after 6 years hits different,0.875
50,7851,2022-03-20 22:31:03+00:00,"What a night 
History made again 
Vamos Barca",what a night history made again vamos barca,0.875
12,6213,2022-03-04 23:34:15+00:00,China destroys Tibetan Buddhist statue Padmasambhava https://t.co/KTJmHVH1r9,china destroys tibetan buddhist statue padmasambhava,0.8333333333333334
60,19661,2022-07-16 22:55:55+00:00,@diljitdosanjh Bhaji please make her birthday special by your wish🙏🏼❤️ https://t.co/dN6JWuxelY,bhaji please make her birthday special by your wish,0.8888888888888888
62,7763,2022-03-19 21:27:54+00:00,"The Kashmir Files or Hate, Business, Politics…

@vivekagnihotri Bro🤑🤑💰💵 

#TheKashmirFiles #BloodyBusiness #HateTrade #stophateforprofit",the kashmir files or hate business politics bro,0.875
14,9115,2022-04-02 23:43:48+00:00,"HAPPY BIRTHDAY DEAR ADHYA 🎂
💐GOD BLESS YOU AND MAKE YOU HAPPY 🎉 @ INDIRAPURAM KARATE SCHOOL https://t.co/sZf9L1LUi6",happy birthday dear adhya god bless you and make you happy indirapuram karate school,0.8571428571428571
87,4288,2022-02-12 21:32:54+00:00,"#PMInKannauj
PM Modi said that UP is one of the top states in providing pucca houses to the poor; women are getting gas connections; lakhs of farmers are getting benefit of PM Kisan Samman Nidhi; all these due to double engine govt.",pm modi said that up is one of the top states in providing pucca houses to the poor women are getting gas connections lakhs of farmers are getting benefit of pm kisan samman nidhi all these due to double engine govt,0.8780487804878049
73,4874,2022-02-18 22:15:13+00:00,"Nice iit degree bro, I plan on staying in India I actually love my country",nice iit degree bro i plan on staying in india i actually love my country,0.8666666666666667
24,11425,2022-04-25 23:48:06+00:00,@sherlockk_h Happened with me bro... I lost myself... Trying to get back InshaAllah...,happened with me bro i lost myself trying to get back inshaallah,0.8333333333333334
81,5382,2022-02-23 21:29:53+00:00,@mehdizafar Bro these things are for public.,bro these things are for public,0.8333333333333334
24,4225,2022-02-12 23:10:31+00:00,"Renovated 18th-century Georgian townhouse of designer Elizabeth Morrison, Founder of 'Jaipur with Love' is suffused in Indian colors
https://t.co/p0BB1eY1tU
#art #interiors #decoration #nft #painting #NFTCommunity #interiordesign #illustration #conceptart #IncredibleIndia",renovated 18th centurygeorgian townhouse of designer elizabeth morrison founder of jaipur with love is suffused in indian colors,0.8235294117647058
85,9286,2022-04-03 22:56:07+00:00,"CBI no more a 'caged parrot', says Law Minister after CJI said about the need for CBI to be impartial:1st remark by a SC judge in coal scam cases against UPA Law Minister :Minister was sacked:Who wants CBI to be independent:Why no CBI act till  today:Why it's powers curtailed?",cbi no more a caged parrot says law minister after cji said about the need for cbi to be impartial1st remark by a sc judge in coal scam cases against upa law minister minister was sackedwho wants cbi to be independentwhy no cbi act till todaywhy its powers curtailed,0.8333333333333334
49,21450,2022-08-03 22:37:25+00:00,"Health is the new wealth 🙏
#health #wealth @ Pul Pehlad https://t.co/U31hdEfFfH",health is the new wealth pul pehlad,0.8571428571428571
37,4438,2022-02-14 22:24:13+00:00,"Malaika Arora was spotted on the airport wearing a track suit featuring a lovely geometric print. She kept the look laidback and refreshing at the same time.

@MalaikaArora #MalaikaArora #MalaikaArora #fashion #style #ActressHot #MumbaiCity #BollywoodActress https://t.co/lG0pPiXJbX",malaika arora was spotted on the airport wearing a track suit featuring a lovely geometric print she kept the look laidback and refreshing at the same time,0.8888888888888888
53,7054,2022-03-12 21:55:45+00:00,@muskanagpal Some people are just nice. You're one of them. Happy birthday @muskanagpal. You're gonna do great things.,some people are just nice youre one of them happy birthday youre gonna do great things,0.875
48,1049,2022-01-11 22:32:40+00:00,"@RamyaHaridasMP Birthday wishes to Ms. Ramya Haridas Ji, Lok Sabha MP from Alathur(Kerala). May God bestow upon you good health and a long life. Wish you success in all your endeavours as you continue to work for the people of the country.
@RamyaHaridasMP",birthday wishes to ms ramya haridas ji lok sabha mp from alathur kerala may god bestow upon you good health and a long life wish you success in all your endeavours as you continue to work for the people of the country,0.8809523809523809
94,1695,2022-01-17 21:07:59+00:00,"Just posted a photo @ New Delhi,india https://t.co/JxLRXTHBUw",just posted a photo new delhiindia,0.8333333333333334
54,3255,2022-02-02 22:44:29+00:00,Please help me GDA contractor manoj kumar M-9811704045  my 8 monthly pending is not giving and hit me. https://t.co/CeOKnkdPqY,please help me gda contractor manoj kumar m 9811704045 my 8 monthly pending is not giving and hit me,0.8823529411764706
10,13311,2022-05-14 23:51:08+00:00,Passion of Martial art from Childhood 🥋 @ INDIRAPURAM KARATE SCHOOL https://t.co/DFeZiRqasJ,passion of martial art from childhood indirapuram karate school,0.8888888888888888
13,10314,2022-04-14 23:51:09+00:00,"@AshwiniVaishnaw @NitishKumar @ashokyadavmp @gopaljeebjp ""Mumbai - Ahmedabad High-Speed Rail"" Hon'ble Sir! Please run bullet train from Madhubani-Darbhanga-Patna-Delhi to give priority to most backward and flood affected district in India. My CM will provide you free land.",mumbai ahmedabad high speed rail honble sir please run bullet train from madhubani darbhanga patna delhi to give priority to most backward and flood affected district in india my cm will provide you free land,0.8571428571428571
83,11584,2022-04-26 22:18:32+00:00,@thfcadityav2 yeah which is what makes it pissworthy,yeah which is what makes it pissworthy,0.8571428571428571
85,21986,2022-08-08 22:31:04+00:00,"In my colony with houses 1499-1522 Outram Lane, this plate of September 2001 is in front of Shivam Agrawal house 1511 who has a dowry Mercedes Benz number UP16AV2211. https://t.co/uxKsBE0QVe",in my colony with houses 1499 1522 outram lane this plate of september 2001 is in front of shivam agrawal house 1511 who has a dowry mercedes benz number up16av2211,0.88
85,13786,2022-05-18 22:05:58+00:00,"Vibe Alone fo a Bit , YOU'LL REALIZE A LOT.",vibe alone fo a bit youll realize a lot,0.8888888888888888
88,22489,2022-08-13 22:15:20+00:00,"@MahuaMoitra dear Mahua Moitra
I’m your huge fan from Mizoram 
I aspire to be like you",dear mahua moitra im your huge fan from mizoram i aspire to be like you,0.8666666666666667
72,21773,2022-08-06 22:57:49+00:00,"Outdoor maternity photoshoot at Lodhi Garden, Delhi.
#Photos #photography #weekend #PhotoOfTheDay #Sony #Delhi #shimla https://t.co/4NOO1AVBgG",outdoor maternity photoshoot at lodhi garden delhi,0.8571428571428571
47,11148,2022-04-22 23:07:45+00:00,"#ParkashPurab
PM Modi underlined the historical significance of Red Fort as it witnessed the martyrdom of Sri Guru Tegh Bahadur Ji and has been a reflection of the history of the nation.
via NaMo App",pm modi underlined the historical significance of red fort as it witnessed the martyrdom of sri guru tegh bahadur ji and has been a reflection of the history of the nation via namo app,0.8529411764705882
78,9879,2022-04-09 23:07:32+00:00,"@gurdeepiyc Same place 😂 , felt so righteous without modi ji https://t.co/ghDL4NeZt9",same place felt so righteous without modi ji,0.875
0,10901,2022-04-20 23:59:49+00:00,High time rich politicians Ovassi/Mohd Ansar etc with hundreds/thoudands of crores from Muslim community realise duty role for own progress &amp; use masjids/madrassas to guiding strayed elements as taught hatred enemity to expand Islam only than ensuring prosperity to set example,high time rich politicians ovassimohd ansar etc with hundredsthoudands of crores from muslim community realise duty role for own progress and use masjidsmadrassas to guiding strayed elements as taught hatred enemity to expand islam only than ensuring prosperity to set example,0.8780487804878049
6,16507,2022-06-15 23:53:39+00:00,"In case you were wondering where Shashi Tharoor is.
Smart man. Escaped the heat of Delhi https://t.co/4819SdlzOh",in case you were wondering where shashi tharoor is smart man escaped the heat of delhi,0.875
58,23559,2022-08-24 23:19:01+00:00,"@ActivistSandeep Haan 2 inch Rahul Gandhi hai rubbish ke andar
Ye to pure desh ko pata hai",haan 2 inch rahul gandhi hai rubbish ke andar ye to pure desh ko pata hai,0.8666666666666667
