,id,date,rawContent,cleaned_content,english_relative_frequency
81,17082,2022-06-20 23:32:41+00:00,"#KarnatakaWelcomesModiji
Bhagwan Basaveshwar provided the society with new energy, democracy, education and equality which are still the foundations of India, said PM Modi.  
via NaMo App",bhagwan basaveshwar provided the society with new energy democracy education and equality which are still the foundations of india said pm modi via namo app,0.84
17,1818,2022-01-19 23:44:20+00:00,"Never marry a tennis player, love ❤️ means nothin to them 😏🤦

If u don't geetttit foggeettit",never marry a tennis player love means nothin to them if u dont geetttit foggeettit,0.8666666666666667
69,22770,2022-08-16 22:19:12+00:00,Gopal Patha!! The saviour of Hindus in Calcutta and Bengal in 1946!! https://t.co/z5PFYAqO9n,gopal patha the saviour of hindus in calcutta and bengal in 1946,0.8181818181818182
42,14743,2022-05-28 23:13:03+00:00,"@myogiadityanath @brajeshpathakup @pushkardhami @brajeshpathakup
Respected sir
sachchidanand Shukla vill Naugaon Nadini mirzapur I want to illegally occupy my land Jal Nigam wants to encroach on it I gave record to magistrate accountant and chief engineer But even then no action was taken I request you to please do justice . https://t.co/QfwZYOnnJm",respected sir sachchidanand shukla vill naugaon nadini mirzapur i want to illegally occupy my land jal nigam wants to encroach on it i gave record to magistrate accountant and chief engineer but even then no action was taken i request you to please do justice,0.8444444444444444
68,6669,2022-03-08 23:12:23+00:00,@Editor__Sanjay @NaveenB62126446 It seems SP goons are looting EVMs if it is genuine video ..,it seems sp goons are looting evms if it is genuine video,0.8333333333333334
24,13525,2022-05-16 23:24:10+00:00,"Check Out New Malayalam Official Music Video Song 'Praananile' Sung By Job Kurian
https://t.co/XkW3gi9q3Y
#NaveenSNair #Praananile https://t.co/INUnQBgjQT",check out new malayalam official music video song praananile sung by job kurian,0.8461538461538461
11,1312,2022-01-14 23:48:34+00:00,"@raghav_chadha Delhi ko sare tum logon ne barbaad kar kar ke rakh diya aur gyan pail rahe ho . I am a resident of Delhi and seeing the disastrous you have done for the city.
Simply shut up.

Delhi has been developed by only Shiela Dixit government and I challenge you to discuss to compare.",delhi ko sare tum logon ne barbaad kar kar ke rakh diya aur gyan pail rahe ho i am a resident of delhi and seeing the disastrous you have done for the city simply shut up delhi has been developed by only shiela dixit government and i challenge you to discuss to compare,0.8301886792452831
10,11611,2022-04-27 23:53:01+00:00,"#TheRightSpiritualPath

Garib Das Ji talks about doing sadhana of Brahma, Vishnu and Shiv. Similarly Jagat Guru Rampal Ji actually teaches all his disciples about the correct way of doing ""Sadhana"" of these gods during the first initiation.....🌼🌼 https://t.co/e0LQswglM8",garib das ji talks about doing sadhana of brahma vishnu and shiv similarly jagat guru rampal ji actually teaches all his disciples about the correct way of doing sadhana of these gods during the first initiation,0.8888888888888888
58,59,2022-01-01 22:02:32+00:00,"Nishulk E-shram registration camp in Kalkaji  organised by Delhi Mahila Morcha's Vice President @yogitasinghbjp and @CSCegov_ 

More than 400 E-shram registered.

#CSC #DigitalIndia #Eshram #BJP4IND #Delhi #India https://t.co/FIXCz3fKMB https://t.co/TZ8YmVheNR",nishulk e shram registration camp in kalkaji organised by delhi mahila morchas vice president and more than 400 e shram registered,0.8
48,10149,2022-04-12 23:15:30+00:00,Just posted a photo @ Flora Farms Noida https://t.co/o1dxz9i9we,just posted a photo flora farms noida,0.8571428571428571
45,1246,2022-01-13 23:22:31+00:00,"@theChrisDo @LcswNidhi I also want to talk with you , I m Ankita, ankitadigi from ig.  I follow you on all platforms .",i also want to talk with you i m ankita ankitadigi from ig i follow you on all platforms,0.8947368421052632
80,12181,2022-05-02 22:49:12+00:00,@Ahmed20240768 @AudaciousQuest_ @anandchakrapani Come'n do not see too much in everything.,comen do not see too much in everything,0.875
87,9288,2022-04-03 22:51:48+00:00,Eommaaaaa.... I'm not okay at all 😭😩 https://t.co/CDqB7pPazZ,eommaaaaa im not okay at all,0.8333333333333334
99,4300,2022-02-12 21:31:03+00:00,"#PMInRudrapur
PM Modi said the Uttarakhand has an opportunity to oust Congress from the state; today when Uttarakhand has a reliable partner like BJP, Congress will be sent away from Uttarakhand forever.",pm modi said the uttarakhand has an opportunity to oust congress from the state today when uttarakhand has a reliable partner like bjp congress will be sent away from uttarakhand forever,0.8387096774193549
27,11928,2022-04-30 23:38:42+00:00,"हर दिल अजिज मेरे नेता, मेरे Mentor, राज्यसभा सांसद व @AAPHaryana प्रभारी माननीय @DrSushilKrGupta जी को जन्मदिन की शुभकामनाएँ।💐💐
May Bappa Bless you Always!
#HappyBirthday 🎉🎂 https://t.co/m2rEnWRyw0",mentor may bappa bless you always,0.8333333333333334
65,18166,2022-07-01 22:44:05+00:00,"Daily Quordle 159
🟥5️⃣
🟥8️⃣
https://t.co/UAoN4AF1k2
Ninny...Never Heard.",daily quordle 159 5 8 ninny never heard,0.8
45,46,2022-01-01 22:26:15+00:00,Samose should always be eaten with red chutney.,samose should always be eaten with red chutney,0.875
64,21965,2022-08-08 23:14:51+00:00,"#tbt 
.
Never underestimate the bond that exists between brothers.
.
.
.
.
.

#brothers @ Chanakyapuri https://t.co/aAc2fK2rNS",never underestimate the bond that exists between brothers chanakyapuri,0.8888888888888888
21,21122,2022-07-31 23:42:28+00:00,#Delhiairport #Dgci @DGCAIndia This is the degital india. Long long line. https://t.co/MExtpL8Y7m,this is the degital india long long line,0.875
40,4741,2022-02-17 23:21:28+00:00,"Celebrities sell shit for money, even though they have a lot. 
Innocent janta fell for them.
Pan parag Khao , rummy circle khelo, shit coin lo, fair n handsome lagao.
Ghoda lehsun.
Be aware do not buy shit. 

#fakeimage #diplomacy #dirtybusiness",celebrities sell shit for money even though they have a lot innocent janta fell for them pan parag khao rummy circle khelo shit coin lo fair n handsome lagao ghoda lehsun be aware do not buy shit,0.8108108108108109
65,13966,2022-05-20 22:27:42+00:00,"When your pencil gets caught between Munshi Premchand &amp; Ravi Shastri. 

And heart between Jackie and Abhinandan 😭🤭😛 https://t.co/ywWQgyP2qN",when your pencil gets caught between munshi premchand and ravi shastri and heart between jackie and abhinandan,0.8823529411764706
41,23942,2022-08-28 23:28:05+00:00,@Bebo100_ Very beautiful ❤️ and cute profile pic Bebo je,very beautiful and cute profile pic bebo je,0.875
50,20251,2022-07-22 22:58:43+00:00,"Would like to thank @myogiadityanath, @dgpup and @ghaziabadpolice for escorting us back home safely. Special gratitude to @PRV2185, Mike 17 mobile, Muradnagar, Ghaziabad https://t.co/3Sfseo61CW",would like to thank and for escorting us back home safely special gratitude to mike 17 mobile muradnagar ghaziabad,0.8333333333333334
98,11799,2022-04-28 22:48:01+00:00,Just posted a photo @ Goyla dairy https://t.co/pySjLfthsI,just posted a photo goyla dairy,0.8333333333333334
90,14591,2022-05-26 21:30:26+00:00,@ollyesse Which phone you have? !phone or Xiaomi?,which phone you have phone or xiaomi,0.8571428571428571
35,12436,2022-05-05 23:10:32+00:00,@ola_supports Customer ko kamzor mat samjhna boss. I will pull you to court,customer ko kamzor mat samjhna boss i will pull you to court,0.8333333333333334
99,12100,2022-05-01 22:41:49+00:00,Andrew Wiggins and Gary Payton II with an amazing hustle and contribution tonight 🙌🙌🙌🔥🔥🔥,andrew wiggins and gary payton ii with an amazing hustle and contribution tonight,0.8461538461538461
42,18443,2022-07-04 22:19:09+00:00,My new bike is were swet and I'm going for modefad https://t.co/TEbVjTcouO,my new bike is were swet and im going for modefad,0.8181818181818182
83,8384,2022-03-25 21:44:04+00:00,@Cryptowithkhan Whole country is fool except India about Crypto currency..😴😴😴,whole country is fool except india about crypto currency,0.8888888888888888
76,1577,2022-01-16 21:24:46+00:00,"I donated to BJP, I contributed towards #NaMoAgain. You can do it now, use my Code FQFETT-F 

https://t.co/7fyLbgqkCb Namo App",i donated to bjp i contributed towards you can do it now use my code fqfett f namo app,0.8421052631578947
1,2502,2022-01-26 23:58:51+00:00,"@Shraddh55759845 @eyearshiya I know it's not journey video but finale Tak false narrative set karna
BB15 TROPHY AWAITS KARAN",i know its not journey video but finale tak false narrative set karna bb15 trophy awaits karan,0.875
75,8476,2022-03-26 22:14:21+00:00,"Varieties of Puris, desserts &amp; sweets which is famous in Delhi…. 😋 @ Bangla Sweet House Gole Market https://t.co/H06G13c2s5",varieties of puris desserts and sweets which is famous in delhi bangla sweet house gole market,0.875
38,21439,2022-08-03 22:53:23+00:00,@UPPCLLKO @pvvnlghaziabad @MdPvvnl @AE_CCC_PVVNL @EMofficeUP @Pawanjha1996 @PVVNLHQ When did power suppied available.....pls reply...,when did power suppied available pls reply,0.8571428571428571
86,18587,2022-07-05 21:28:04+00:00,@RanaAyyub Many Congratulations! You have made us #indians proud 🇮🇳🙏 #InternationalJohnAubuchon2022 #theNational PressClubofWashingtonDC,many congratulations you have made us proud pressclubofwashingtondc,0.875
0,22001,2022-08-09 23:59:19+00:00,@DelhiJalBoard @CMODelhi @msisodia Such type of water is supplied by DJB despite complaints since 2022 in Dev Kunj Palam Colony. No authority make any effort to sort out the problem https://t.co/SA40Kvt9b4,such type of water is supplied by djb despite complaints since 2022 in dev kunj palam colony no authority make any effort to sort out the problem,0.8846153846153846
97,7498,2022-03-16 22:34:53+00:00,@SaraSnarky Hahaa...and he is looking over you from up there while nibbling on some candies....,hahaa and he is looking over you from up there while nibbling on some candies,0.8666666666666667
73,74,2022-01-01 21:41:12+00:00,"Nishulk E-shram registration camp in Hauzkhas village organised by Delhi's Mahila Morcha's Vice President @renumontisingh and @CSCegov_ 

More than 100 E-shram registered.

#CSC #DigitalIndia #Eshram #BJP4IND #Delhi #India https://t.co/FIXCz3fKMB",nishulk e shram registration camp in hauzkhas village organised by delhis mahila morchas vice president and more than 100 e shram registered,0.8095238095238095
86,22687,2022-08-15 22:51:49+00:00,"Rajasthan  directorate  with DG NCC at red fort for independence day celebration  @gpsingh3para @NCCDteRajasthan @Lalit_DDGRajNCC @ayedee2010 @HQ_DG_NCC #ebsb #ekbharatshreshthbharat 
#15thAugust2022 https://t.co/kRCYKTu1fg",rajasthan directorate with dg ncc at red fort for independence day celebration,0.8333333333333334
52,18253,2022-07-02 23:00:15+00:00,"Nirmala Tai doesn't eat all this and she is immortal with virtues of not falling ill ever. So she can't relate
Dear common man, hawa kha lo, uss par bhi GST laga denge jaldi. 
#Shameful #BJP #GSTCouncil #GST #ModiFailsIndia #Inflation #Poverty #CommonMan 
 https://t.co/EpkbUqhxRq",nirmala tai doesnt eat all this and she is immortal with virtues of not falling ill ever so she cant relate dear common man hawa kha lo uss par bhi gst laga denge jaldi,0.8235294117647058
0,20301,2022-07-23 23:56:50+00:00,"@HeresTony2 Love Butte, America!!!! Hope you're enjoying it there. If you run into Pahut's, those are my family 💛",love butte america hope youre enjoying it there if you run into pahuts those are my family,0.8823529411764706
72,9273,2022-04-03 23:08:03+00:00,@JennifeJennyy Hi Jennifer jennyy very nice Pic i love you Janu so cute kis mi,hi jennifer jennyy very nice pic i love you janu so cute kis mi,0.8571428571428571
80,6581,2022-03-07 22:01:32+00:00,"AR Customised coffee mug
[Customised Avengers printed Coffee Mug]
""Available on Amazon, Link in Bio''
#avengers #kidavengers #coffee #coffeecup #coffeemugs #coffeetime #coffeelovers #teacup @ Noida https://t.co/zlhjaHIB8b",ar customised coffee mug customised avengers printed coffee mug available on amazon link in bio noida,0.8125
79,17380,2022-06-23 22:17:43+00:00,"If you wait until you're ready, you'll be waiting the rest of your life.",if you wait until youre ready youll be waiting the rest of your life,0.8571428571428571
49,17250,2022-06-22 23:25:55+00:00,"Hare Krishna
We are blessed ki unka nam le paa rhe hai🙏🏼

This single Life is important 💚, Live it💜",hare krishna we are blessed ki unka nam le paa rhe hai this single life is important live it,0.8947368421052632
69,270,2022-01-03 22:50:22+00:00,Parents don't tell you that they love you instead they say paise km pare to bol dena,parents dont tell you that they love you instead they say paise km pare to bol dena,0.8823529411764706
91,10392,2022-04-14 22:33:46+00:00,@SkyNews Ukraine has digged it's grave by 9 feet,ukraine has digged its grave by 9 feet,0.8571428571428571
39,10940,2022-04-20 23:43:54+00:00,"@AmitShah High time Govt/SC shd pull up parties who give tickets to anti national as create frequent riots, violence killings causing pollution unemployment, huge burden on police, courts &amp; taxpayers money shd recover by attaching illegal properties,wealth to compensate victims",high time govtsc shd pull up parties who give tickets to anti national as create frequent riots violence killings causing pollution unemployment huge burden on police courts and taxpayers money shd recover by attaching illegal propertieswealth to compensate victims,0.8974358974358975
