,id_column,annotate_text,label,annotated_at
0,20878,"<b>Raw:</b> Going MOA now I hope maka kuha pa nang ticket @treasuremembers
#TREASURE
#TREASUREinManila<br><b>Clean</b>: going moa now i hope maka kuha pa nang ticket",code-switched,2022-12-10 12:48:02
1,2913,<b>Raw:</b> Di ko alam kung matutuwa ba ako or hindi.<br><b>Clean</b>: di ko alam kung matutuwa ba ako or hindi,not_english,2022-12-10 12:48:07
2,165,"<b>Raw:</b> Woke up starving. Jabee na lang for today muna.😋🍴

Good morning Alterverse!🏳️‍🌈💪<br><b>Clean</b>: woke up starving jabee na lang for today muna good morning alterverse",code-switched,2022-12-10 12:48:10
3,16626,<b>Raw:</b> GOOD MORNING AND TGIF! @ Bonifacio Global City https://t.co/CUQCbapYSq<br><b>Clean</b>: good morning and tgif bonifacio global city,,2022-12-10 12:48:13
4,203,<b>Raw:</b> Sana pag may additional work load may dagdag sahod din! 🥴<br><b>Clean</b>: sana pag may additional work load may dagdag sahod din,some_english,2022-12-10 12:48:16
5,17625,<b>Raw:</b> Taehyung probs asked newt scamander about his missing hogwarts letter https://t.co/I8Pvn35dBc<br><b>Clean</b>: taehyung probs asked newt scamander about his missing hogwarts letter,,2022-12-10 12:48:25
6,21492,<b>Raw:</b> sorry talaga ang sloppy ko mag momol<br><b>Clean</b>: sorry talaga ang sloppy ko mag momol,some_english,2022-12-10 12:48:28
7,18793,"<b>Raw:</b> Boarded for PBU Consultative Caravan in Cebu! (@ Ninoy Aquino International Airport (MNL) Terminal 2 - @miaagovph in Parañaque, Metro Manila) https://t.co/lujNyK6Jnq<br><b>Clean</b>: boarded for pbu consultative caravan in cebu ninoy aquino international airport mnl terminal 2 in parañaque metro manila",,2022-12-10 12:48:32
8,12363,<b>Raw:</b> Kelangan ko ng kape to survive the day<br><b>Clean</b>: kelangan ko ng kape to survive the day,code-switched,2022-12-10 12:48:35
9,13468,<b>Raw:</b> Up so early because I have 9AM classes erday homaaan! Tulong! Lol<br><b>Clean</b>: up so early because i have 9am classes erday homaaan tulong lol,code-switched,2022-12-11 10:35:34
10,6968,<b>Raw:</b> lahat ng may kinalaman sa pagpatay ng prangkisa ng Abs-Cbn dapat matalo. Deserve nyo yan and that includes Mr. Mike Defensor and yung Congressman na pagawa lang basketball court ang nagawa<br><b>Clean</b>: lahat ng may kinalaman sa pagpatay ng prangkisa ng abs cbn dapat matalo deserve nyo yan and that includes mr mike defensor and yung congressman na pagawa lang basketball court ang nagawa,some_english,2022-12-11 10:35:40
11,10170,"<b>Raw:</b> Good Morning Sunshine!!!

""Veritas vos Liberabit""

Have a meaningful Holy Week :)<br><b>Clean</b>: good morning sunshine veritas vos liberabit have a meaningful holy week",code-switched,2022-12-11 10:35:51
12,14289,"<b>Raw:</b> @Lunappppy @ai_ceniza @pinoyanghang  @IndaySaraaa4 @TalaZaldivar Wots new with our pulis laging naka-FB? Is it just me or am I seeing ghouls under trees, inside cool malls? But have you seen any of our cops walking on foot patrol? Doblado suweldo, tamad magPatrol sa init ng araw? Tutok FB<br><b>Clean</b>: wots new with our pulis laging naka fb is it just me or am i seeing ghouls under trees inside cool malls but have you seen any of our cops walking on foot patrol doblado suweldo tamad magpatrol sa init ng araw tutok fb",code-switched,2022-12-11 10:36:00
13,1920,<b>Raw:</b> The worst campaign Manager! Ughh! Tanga na lng ang makikinig d2. https://t.co/oNic7e2IYZ<br><b>Clean</b>: the worst campaign manager ughh tanga na lng ang makikinig d2,code-switched,2022-12-11 10:36:07
14,1748,"<b>Raw:</b> dami ko need i delete na picture, putchaaaaa<br><b>Clean</b>: dami ko need i delete na picture putchaaaaa",code-switched,2022-12-11 10:36:11
15,19113,<b>Raw:</b> Good morning! Sasabak na agad sa client call 😂<br><b>Clean</b>: good morning sasabak na agad sa client call,code-switched,2022-12-11 10:36:17
16,11205,"<b>Raw:</b> Sunday breakfast ride 🍳 ☕️ 🛵 🐝 🖤 

#PabloPiaggio
#VespaS
#VespaS125
#LiveMoreVespa
#Primavera
#GTV
#Sprint @ Maura’s Place by Mela and Mai https://t.co/UkjnyEoipR<br><b>Clean</b>: sunday breakfast ride mauras place by mela and mai",,2022-12-11 10:36:20
17,21982,"<b>Raw:</b> @piilia Si Serena din...mapapa aga ata Ang bentahan ko Ng ref, aircon at TV jusmiyo hahaha<br><b>Clean</b>: si serena din mapapa aga ata ang bentahan ko ng ref aircon at tv jusmiyo hahaha",some_english,2022-12-11 10:36:47
18,7173,"<b>Raw:</b> Wala ba silang family group chat? Lol! 
Galit na si Ate.<br><b>Clean</b>: wala ba silang family group chat lol galit na si ate",some_english,2022-12-11 10:37:10
19,8632,<b>Raw:</b> Hindi ako makacommit na ulitin yung Schitt’s Creek kase ang sakit pa rin saken ng breakup ni Ted and Alexis 🥲🤣 I miss Moira tho<br><b>Clean</b>: hindi ako makacommit na ulitin yung schitts creek kase ang sakit pa rin saken ng breakup ni ted and alexis i miss moira tho,code-switched,2022-12-11 10:37:34
20,24071,"<b>Raw:</b> Pasok na sa school ang baby ko😍
Goodluck nak pakabait ka🫰🥰 https://t.co/couEHxeBDc<br><b>Clean</b>: pasok na sa school ang baby ko goodluck nak pakabait ka",some_english,2022-12-11 10:37:41
21,11570,"<b>Raw:</b> Good morning ☀️ 

WHOA THERE— CCLEX opens today! Twitter wokes, CCLEX na ang longest bridge in the 🇵🇭, hindi SLEX ok? Emsz ✌🏼 

Doon tayo sa tunay na may malasakit! ❤️💚👊🏼✌🏼 

#dutertelegacy 

📸: Emerging Philippines FB Page https://t.co/u8hVdHLUq8<br><b>Clean</b>: good morning whoa there cclex opens today twitter wokes cclex na ang longest bridge in the hindi slex ok emsz doon tayo sa tunay na may malasakit emerging philippines fb page",code-switched,2022-12-11 10:37:56
22,9189,<b>Raw:</b> Si Ate Shawie at Reg nakiki Tala na din 😌 https://t.co/AAWqnp7At0<br><b>Clean</b>: si ate shawie at reg nakiki tala na din,,2022-12-11 10:38:16
23,12333,<b>Raw:</b> It’s Nice to be Back! (@ Ninoy Aquino International Airport (MNL) Terminal 3 - @miaagovph in Pasay City) https://t.co/W6wNwq7IBt<br><b>Clean</b>: its nice to be back ninoy aquino international airport mnl terminal 3 in pasay city,,2022-12-11 10:38:19
24,817,"<b>Raw:</b> Unang taon na hindi ka namin kasama mag celebrate ng kaarawan mo, Lolo 🥺

Happy Birthday in Heaven, Lolo ✨
We miss you! https://t.co/OWpMuAznJS<br><b>Clean</b>: unang taon na hindi ka namin kasama mag celebrate ng kaarawan mo lolo happy birthday in heaven lolo we miss you",code-switched,2022-12-11 10:38:24
25,11401,<b>Raw:</b> hayss mas gusto ko pa umuwi ng bicol hayss<br><b>Clean</b>: hayss mas gusto ko pa umuwi ng bicol hayss,not_english,2022-12-11 10:38:28
26,7972,<b>Raw:</b> @typattypat Tinag pa ako. Gusto ko mag comment na talaga HAHAHAHAHAHAHA https://t.co/dHbubObrSj<br><b>Clean</b>: tinag pa ako gusto ko mag comment na talaga hahahahahahaha,some_english,2022-12-11 10:38:33
27,13545,<b>Raw:</b> dmi ko nkikita na nag-flores de mayo 🥹<br><b>Clean</b>: dmi ko nkikita na nag flores de mayo,not_english,2022-12-11 10:38:38
28,7408,<b>Raw:</b> @SndrMgllns pinapakaba moko sa tweets mo basta be safe lagi<br><b>Clean</b>: pinapakaba moko sa tweets mo basta be safe lagi,code-switched,2022-12-11 10:38:47
