,id_column,annotate_text,label,annotated_at
0,3890,"<b>Raw:</b> Jones Bridge in Manila, Philippines..in the days when the Kalesa (horse drawn carriage) was king of the road ( early 20th century).. https://t.co/twEQ075qe9<br><b>Clean</b>: jones bridge in manila philippines in the days when the kalesa horse drawn carriage was king of the road early 20th century",code-switched,2022-12-12 15:47:05
1,8998,"<b>Raw:</b> To my Dearest Kuya Kerwin, I wish you nothing but the best in Life. Happy Birthday!!🎁🎂🎈Enjoy your special day! God Bless You Always!🙏🤗 @ Quezon City, Philippines https://t.co/bI9tEH1yj3<br><b>Clean</b>: to my dearest kuya kerwin i wish you nothing but the best in life happy birthday enjoy your special day god bless you always quezon city philippines",,2022-12-12 15:47:10
2,14975,"<b>Raw:</b> Fishing time! 🎣🎣🎣
Book your fishing trip at https://t.co/Gk28lY0vgg
To learn more you can send us a message here on FB or on WhatsApp (345) 923 1741
#deepseafishing #deepsea #deepseafish 
#fishingislife #fishingchair #grandcaymanislands https://t.co/svob4eX1jj<br><b>Clean</b>: fishing time book your fishing trip at to learn more you can send us a message here on fb or on whatsapp 345 923 1741",,2022-12-12 15:47:14
3,13259,"<b>Raw:</b> PH Drama Original
XPIERS 'S Body Language Music Video release today
10:30 am

#아스트로 #ROCKY #bodylanguage #Hwiyeon
#BrokeRookieStar 

https://t.co/oQE7aPh1Ou https://t.co/leBYI7G4U8<br><b>Clean</b>: ph drama original xpiers s body language music video release today 1030 am",,2022-12-12 15:47:17
4,17708,<b>Raw:</b> @rapplerdotcom Thank you Pres. Duterte.We acknowledge all the things you have done to our country.  Good luck good health and Godbless you more.<br><b>Clean</b>: thank you pres duterte we acknowledge all the things you have done to our country good luck good health and godbless you more,non_standard_english,2022-12-12 15:47:23
5,20201,<b>Raw:</b> @Converge_CSU TICKET # 009303377 SEND YOUR TECHNICIAN TO CHECK OUR ROUTER. WFH KAMI.<br><b>Clean</b>: ticket 009303377 send your technician to check our router wfh kami,code-switched,2022-12-12 15:47:30
6,23656,<b>Raw:</b> @hazelhottie hope you enjoyed the doughnuts yesterday 😊#RxGreets Happy Birthday to our Tito Maning of MSPI and the patriarch of our Santos clan may he be blessed with good health. Thank you.<br><b>Clean</b>: hope you enjoyed the doughnuts yesterday happy birthday to our tito maning of mspi and the patriarch of our santos clan may he be blessed with good health thank you,code-switched,2022-12-12 15:47:38
7,16293,"<b>Raw:</b> Payout (non guaranteed and depends on the volatility of the market)
- Possible Php200,000  payout in a year!

✅Ideal for those who feel that Time Deposit Products earn too low and too slow.

✅Pru Millionaire starts at Php 1,000,000<br><b>Clean</b>: payout non guaranteed and depends on the volatility of the market possible php200000 payout in a year ideal for those who feel that time deposit products earn too low and too slow pru millionaire starts at php 1000000",,2022-12-12 15:47:43
8,13610,"<b>Raw:</b> #umuwikayjian

Thank you @koreancrazeph!! 💙💙
Secured packaging, smooth transaction and sa pagpapauwi kay Lee Know! https://t.co/ke9HQefVVB<br><b>Clean</b>: thank you secured packaging smooth transaction and sa pagpapauwi kay lee know",,2022-12-12 15:47:46
9,16953,"<b>Raw:</b> sa visual acuity ng snellens, nde na 20/20 vision ko sa left and right 💀<br><b>Clean</b>: sa visual acuity ng snellens nde na 2020 vision ko sa left and right",code-switched,2022-12-12 15:50:53
10,22533,"<b>Raw:</b> I'm at LRT1 - Jose Abad Santos Station - @officiallrt1 in Manila, Metro Manila https://t.co/0s0io4dRjx<br><b>Clean</b>: im at lrt1 jose abad santos station in manila metro manila",,2022-12-12 15:50:56
11,13705,"<b>Raw:</b> 𝐒𝐚𝐲𝐚𝐰 𝐬𝐚 𝐎𝐛𝐚𝐧𝐝𝐨

This is it! Para magkajowa na! 😜

🎼𝑆𝑡𝑎. 𝐶𝑙𝑎𝑟𝑎 𝑝𝑖𝑛𝑜𝑛𝑔-𝑝𝑖𝑛𝑜,
𝐾𝑎𝑚𝑖 𝑝𝑜 𝑎𝑦 𝑏𝑖𝑔𝑦𝑎𝑛 𝑚𝑜,
𝑁𝑔 𝑎𝑠𝑎𝑤𝑎𝑛𝑔 𝑙𝑎𝑏𝑖𝑛𝑡𝑎𝑡𝑙𝑜,
𝑆𝑎 𝑔𝑢𝑙𝑝𝑖, 𝑤𝑎𝑙𝑎𝑛𝑔 𝑟𝑒𝑘𝑙𝑎𝑚𝑜.🎶 😂
(Trigger warning: no to 🎻) https://t.co/ngaRHKRdQO<br><b>Clean</b>: this is it para magkajowa na trigger warning no to",code-switched,2022-12-12 15:51:00
