,id,date,rawContent,cleaned_content,english_relative_frequency
60,22861,2022-08-17 23:48:42+00:00,Just posted a photo @ Kim Tae-Gon's Korean Temple https://t.co/h8FDootyYS,just posted a photo kim tae gons korean temple,0.8888888888888888
44,6445,2022-03-06 23:51:08+00:00,"I'm at LRT2 - Pureza Station - @officiallrta in Manila, Metro Manila https://t.co/qrJHCDT4MI",im at lrt2 pureza station in manila metro manila,0.875
83,8784,2022-03-29 23:44:51+00:00,"@futuremoa it's like they're all bffs, saur cute",its like theyre all bffs saur cute,0.8571428571428571
32,14333,2022-05-24 23:55:35+00:00,"My officemates are tempting me with breakfast food, my weakness. Napapaligiran ng greasy goodness ang aking chia seeds with yogurt. 🫠",my officemates are tempting me with breakfast food my weakness napapaligiran ng greasy goodness ang aking chia seeds with yogurt,0.85
60,16261,2022-06-12 23:48:09+00:00,@chua_gregorio @aybama Even #Crapler's meme cards are recklessly careless with spellcheck. INSIDUOUSLY when it should've have been corrected belatedly (afterthought so lazybrained) to INSIDIOUSLY to mean exactly what Ressa &amp; she-demons does daily. @jaysalas101 @loidasandiego77 @DolorNolet @smninews https://t.co/q3dkqyCMOQ,even s meme cards are recklessly careless with spellcheck insiduously when it shouldve have been corrected belatedly afterthought so lazybrained to insidiously to mean exactly what ressa and she demons does daily,0.84375
23,11724,2022-04-28 23:55:54+00:00,Remember how Cam Johnson played after Randle’s hit? #RallyTheValley #ValleyProud,remember how cam johnson played after randles hit,0.875
51,15852,2022-06-08 23:46:48+00:00,@iknowJanD @DeneyChannel Gora na! Sanayan lang yan haha,gora na sanayan lang yan haha,0.8333333333333334
93,22794,2022-08-16 23:47:15+00:00,"@LovaYoo Was it really you? Hahaha 

#HappyYooSeungHoDay
#함께해줘서ThankYOO
#AlwaysWithYOO
#YooSeungHo",was it really you hahaha thankyoo,0.8333333333333334
73,14074,2022-05-21 23:46:39+00:00,"Captain Garcia, JAE nga po pala! ☺️ Nice to meet you po ☺️🥰🤘

HHAHAHAHAHHAHAHAHAHHAHAHA",captain garcia jae nga po pala nice to meet you po hhahahahahhahahahahhahaha,0.8333333333333334
95,11796,2022-04-28 23:45:06+00:00,"MAKING TRENDZ: Take Care of Your Heart in The Heat with Organique Acai Premium Blend by Aster P.

#MakingTrendz #OrganiqueAcaiPremium #SouthernGaze

https://t.co/9eN7B04OBX",making trendz take care of your heart in the heat with organique acai premium blend by aster p,0.8333333333333334
