,id,date,rawContent,cleaned_content,english_relative_frequency
82,13183,2022-05-12 23:47:21+00:00,"Ang fulfilling lang talaga on my part to teach in front of a crowd. 

Something I miss in my college days :)",ang fulfilling lang talaga on my part to teach in front of a crowd something i miss in my college days,0.9523809523809524
3,17104,2022-06-21 23:59:16+00:00,"Omg after weeks of soft foods (soup, pasta, and when I was really hungry, Cheetos baked puffs) that first bite of an apple…

fresh
healthy
clean
pure
Ouch okay careful with the teeth",omg after weeks of soft foods soup pasta and when i was really hungry cheetos baked puffs that first bite of an apple fresh healthy clean pure ouch okay careful with the teeth,0.9696969696969696
13,1714,2022-01-18 23:54:10+00:00,Slept soundly for 6 hrs last night by following the proning sleeping position for Covid patients . Woken up rudely at 4am by a buzzing notification that my heart rate has dropped to 50 bpm - because I turned on my side. 1/2 https://t.co/6lFcPBEUk7,slept soundly for 6 hrs last night by following the proning sleeping position for covid patients woken up rudely at 4am by a buzzing notification that my heart rate has dropped to 50 bpm because i turned on my side 12,0.972972972972973
39,20440,2022-07-24 23:54:45+00:00,Won’t be surprised if Darry/l Yap to create/direct a Movie of that school shooter next Year.,wont be surprised if darryl yap to createdirect a movie of that school shooter next year,0.9375
5,2806,2022-01-29 23:57:14+00:00,Hassle lang if you want to take the money. Sasadyain mo pa ang site to get the winnings. How I wish pwede din ang bank transfer like sa pagcash-in mo.,hassle lang if you want to take the money sasadyain mo pa ang site to get the winnings how i wish pwede din ang bank transfer like sa pagcash in mo,0.9032258064516128
53,11554,2022-04-26 23:52:51+00:00,Wow @Yuri_ramen !!! Hope to hang out with you in VC as well... 😉😉😉,wow hope to hang out with you in vc as well,0.9090909090909092
73,15074,2022-05-31 23:52:11+00:00,"So it was P'Sing 🤔
They were beautiful Thai names though 🥰 https://t.co/tdU6ozhEyG",so it was psing they were beautiful thai names though,0.9
89,10890,2022-04-19 23:43:10+00:00,"@ipso_j I will never allow society to get into my nerves and trigger me. To those who are stressed right now, never blame yourself. Durkheim looks at this as an outcome of society's pressures and influences. Laban lang, its ok to feel sad, to fall, pero tuloy ang buhay. Walang bibitaw.",i will never allow society to get into my nerves and trigger me to those who are stressed right now never blame yourself durkheim looks at this as an outcome of societys pressures and influences laban lang its ok to feel sad to fall pero tuloy ang buhay walang bibitaw,0.9
13,3214,2022-02-02 23:56:48+00:00,“it's funny how the warning signs can feel like they're butterflies”  -Halsey 🏃 https://t.co/fE6yjVn7Zu,its funny how the warning signs can feel like theyre butterflies halsey,0.9166666666666666
75,19476,2022-07-14 23:46:25+00:00,Haha finally! Graduated from level 38. I was level 38 since 2020. Hello Pokémon Go level 39. #pokemongo https://t.co/vV4ARYJ3Pr,haha finally graduated from level 38 i was level 38 since 2020 hello pokémon go level 39,0.9230769230769232
65,11266,2022-04-23 23:47:35+00:00,@News5PH How can you tell that it is right? ABS CBN? How depth is your knowledge to address the global economy and national security? ABS CBN? How can you address all social and economic issues? ABS CBN? What right are you talking about? To promote your wellbeing and own welfare. #think🤔,how can you tell that it is right abs cbn how depth is your knowledge to address the global economy and national security abs cbn how can you address all social and economic issues abs cbn what right are you talking about to promote your wellbeing and own welfare,0.9387755102040816
47,16748,2022-06-17 23:48:47+00:00,"I want to say goodbye.
and yet
here I am.
saying hello
over and over again.

🌖 @ Magsalin Compound https://t.co/fT8i2hbecN",i want to say goodbye and yet here i am saying hello over and over again magsalin compound,0.9444444444444444
