,id_column,rawContent,cleaned_content,label_1,label_2,english_relative_frequency,date,annotated_at_1,annotated_at_2
0,18044,"John
Pallelai bedokwalk no49.miss lohahhuat stubborn john patient even when u make mistakes.",john pallelai bedokwalk no49 miss lohahhuat stubborn john patient even when u make mistakes,,,0.7692307692307693,2022-07-01 23:32:11+00:00,2022-11-18 13:20:53,2022-12-08 13:40:28
1,14211,没事不要换passport！Long Q like vaccination center… 25-05-2022 #cstar @ Jabatan Imigresen Malaysia Utc Johor https://t.co/hQ1nO269PY,passportlong q like vaccination center 25 05 2022 jabatan imigresen malaysia utc johor,non_standard_english,code-switched,0.7,2022-05-24 23:55:15+00:00,2022-11-18 13:21:09,2022-12-08 13:50:53
2,18549,"John
Pallelai bedokwalk no 49.misslohahhuat digrace u assess to information .u can charge protection data act.",john pallelai bedokwalk no 49 misslohahhuat digrace u assess to information u can charge protection data act,,,0.75,2022-07-06 23:26:49+00:00,2022-11-18 13:21:12,2022-12-08 13:11:21
3,17947,"John
Pallelai bedokwalk bo49 misslohahhuat misskitty u at my photo can be use evidence in court today is a sfa day misslohahuat in prediction is wrong. https://t.co/9JAFCBgNyZ",john pallelai bedokwalk bo49 misslohahhuat misskitty u at my photo can be use evidence in court today is a sfa day misslohahuat in prediction is wrong,,,0.76,2022-06-30 23:36:15+00:00,2022-11-18 13:21:15,2022-12-08 13:11:36
4,21112,"Lepas 4 hr vacay, rasa janggal ye hr ni nak berkerja semula 🤣",lepas 4 hr vacay rasa janggal ye hr ni nak berkerja semula,not_english,some_english,0.7272727272727273,2022-08-01 23:56:28+00:00,2022-11-18 13:21:18,2022-12-08 13:41:25
5,8855,"Nasasabik kaming makilala ka! David and @Alfredsunn will be seeing you FACE-TO-FACE in Philippines this coming August 2022 at the Raikan Fancon! 

@RaikantopeniPHL 
#RaikanFanConGameOn https://t.co/dEVjgcdIw4",nasasabik kaming makilala ka david and will be seeing you face to face in philippines this coming august 2022 at the raikan fancon,code-switched,code-switched,0.7727272727272727,2022-03-31 23:22:52+00:00,2022-11-18 13:21:25,2022-12-08 13:47:48
6,21169,"John
Pallelai bedokwalk no49.misslohahhuat stubborness u dont believe in the word of god.yet hearing as well as having intectual https://t.co/4pO54NdRRh is there that we engage with god through his word personnally ecounter him.misskitty dont beleive why u say dhamma.buddha teach",john pallelai bedokwalk no49 misslohahhuat stubborness u dont believe in the word of god yet hearing as well as having intectual is there that we engage with god through his word personnally ecounter him misskitty dont beleive why u say dhamma buddha teach,,,0.7619047619047619,2022-08-01 23:28:48+00:00,2022-11-18 13:21:28,2022-12-08 13:07:14
7,3418,"Hahah american/indian warrior/hunter means. Pains shape me to be a warrior/hunter
Peony flowers sa taas. For the love of nature.🤩🤗 
Pa book naman ta. Idol ning artist ko.buot na,humble pa. https://t.co/SK2F2JIQOR",hahah americanindian warriorhunter means pains shape me to be a warriorhunter peony flowers sa taas for the love of nature pa book naman ta idol ning artist ko buot nahumble pa,code-switched,code-switched,0.7419354838709677,2022-02-05 23:40:14+00:00,2022-11-18 13:21:51,2022-12-08 13:07:31
8,18379,"John
Pallelai bedokwalk no49.misslohahhuat.misskitty they mountain man.they living in uncivilised world .inaddition living in prison .they any how possesse meditation on publics.",john pallelai bedokwalk no49 misslohahhuat misskitty they mountain man they living in uncivilised world inaddition living in prison they any how possesse meditation on publics,,,0.75,2022-07-04 23:09:20+00:00,2022-11-18 13:21:54,2022-12-08 13:12:52
9,13403,"John
Pallelai bedokwalk no 49.misskitty  monks  he is using meditation.he control fom faraway at the tenple.whatever he do inside u body meditation can be done.u lefthand.and teeth verypainful.misslohahhuat also do https://t.co/o39cGKImpE we use method to https://t.co/9pa9Jm4INc",john pallelai bedokwalk no 49 misskitty monks he is using meditation he control fom faraway at the tenple whatever he do inside u body meditation can be done u lefthand and teeth verypainful misslohahhuat also do we use method to,,,0.7948717948717948,2022-05-16 23:51:44+00:00,2022-11-18 13:21:56,2022-12-08 13:40:34
