,id,date,rawContent,cleaned_content,english_relative_frequency
36,16437,2022-06-14 23:54:57+00:00,"ka na o kapag nagkasakit ka na at hindi na makapagtrabaho? Hanggang kailan mo planong magtrabaho sa malayo? Diyan papasok ang Life Insurance.

Insurance is having money when you need it the most.
Insurance is your income protection.
Insurance is your children's education.",ka na o kapag nagkasakit ka na at hindi na makapagtrabaho hanggang kailan mo planong magtrabaho sa malayo diyan papasok ang life insurance insurance is having money when you need it the most insurance is your income protection insurance is your childrens education,0.7441860465116279
87,23488,2022-08-23 23:42:10+00:00,"If wala naman, yung money mo nag ggrow lang dahil sa Investment. Pwede mong magamit for Education Funding, Capital for Business, Retirement, and pang bili ng assets.

Walang talo diba, may peace of mind ka pa dahil secure na ang future mo at ng family mo. 🤗💖

ctto of the photo",if wala naman yung money mo nag ggrow lang dahil sa investment pwede mong magamit for education funding capital for business retirement and pang bili ng assets walang talo diba may peace of mind ka pa dahil secure na ang future mo at ng family mo ctto of the photo,0.76
95,14396,2022-05-24 23:45:38+00:00,Rally is the key talaga eh. 🤭 Sayang https://t.co/G6Kpi7gZoQ,rally is the key talaga eh sayang,0.7142857142857143
49,3350,2022-02-03 23:48:30+00:00,"tas ang mahal ng grab 300+ , e kung magjejeep ako nasa 54php lang. prob lang e siguro traffic ngaun tas super init na. hahahahaha taena self, ang arte naten 😭",tas ang mahal ng grab 300 e kung magjejeep ako nasa 54php lang prob lang e siguro traffic ngaun tas super init na hahahahaha taena self ang arte naten,0.7037037037037037
62,5663,2022-02-26 23:42:09+00:00,parang gusto ko nalang tumira sa Mt. Province ☺️,parang gusto ko nalang tumira sa mt province,0.75
96,4997,2022-02-19 23:32:38+00:00,Ngiiii Kurt Cobain &amp; Courtney Love pala kami. https://t.co/awKudYgX6W,ngiiii kurt cobain and courtney love pala kami,0.75
60,15661,2022-06-06 23:47:57+00:00,Season ng 2 alice in the borderland tapos season 2 din nv all of us are dead? Ano ns netflix isa isa lang naman.,season ng 2 alice in the borderland tapos season 2 din nv all of us are dead ano ns netflix isa isa lang naman,0.7727272727272727
39,9440,2022-04-05 23:53:24+00:00,Sa stress ko baka mapashopping tayo dito after lab HAHA,sa stress ko baka mapashopping tayo dito after lab haha,0.7
52,13053,2022-05-11 23:51:44+00:00,"Me: Before.... 

Now:

Mamatay din naman kayo https://t.co/kha2UrETy4",me before now mamatay din naman kayo,0.7142857142857143
63,4564,2022-02-15 23:45:22+00:00,@KSPGIE @LeodyManggagawa @smninews Ni wala nga nagfofollow sa Twitter mo eh. 😂🤣😅,ni wala nga nagfofollow sa twitter mo eh,0.75
85,14386,2022-05-24 23:46:53+00:00,"Petition to change Las Piñas to Las PINAS. I still need to search ""enye"" and copy ñ from Google. 😂 https://t.co/zcpOd8qrt4",petition to change las piñas to las pinas i still need to search enye and copy ñ from google,0.7894736842105263
