,id,date,rawContent,cleaned_content,english_relative_frequency
20,18921,2022-07-09 23:36:34+00:00,"@ArvindKejriwal Arvind kejriwal sir please Through this tweet, I want to draw your kind attention towards the supply of dirty water in my area ” Basant nagar, kishan ganj ,Partap nagar delhi-110007. We are getting the supply of dirty and contaminated water for the last 3weeks.",arvind kejriwal sir please through this tweet i want to draw your kind attention towards the supply of dirty water in my area basant nagar kishan ganj partap nagar delhi 110007 we are getting the supply of dirty and contaminated water for the last 3weeks,0.813953488372093
4,14205,2022-05-23 23:58:09+00:00,Great to be discussing The Harambee Factor in Nairobi! https://t.co/Qfbg2phyMh,great to be discussing the harambee factor in nairobi,0.8888888888888888
66,19067,2022-07-10 22:28:41+00:00,"@RailMinistry_in pathetic condition of cleaniness in AC 1 coach cabin H. Train no 12904, pnr no. 2342972733",pathetic condition of cleaniness in ac 1 coach cabin h train no 12904 pnr no 2342972733,0.8461538461538461
45,10746,2022-04-18 23:25:50+00:00,@RoopsSaxena Keep trying. You can create'better waves'.,keep trying you can createbetter waves,0.8333333333333334
62,9763,2022-04-08 23:15:45+00:00,"🌙 Ramadan Campaign

Day 07

_*Be the Best*_

 'The best among you are the best in character (having good manners)'

🌼 Source : Sahih al-Bukhari, 6035

@sio_du @ SIO of India https://t.co/6g9PB2caOG",ramadan campaign day 07 be the best the best among you are the best in character having good manners source sahih al bukhari 6035 sio of india,0.88
19,2520,2022-01-26 23:25:28+00:00,"I know these are not journey videos but TP had very good video aur uski journey video bhi positive hi dikhayenge.Then she will get the double hype.And kk par again false narrative Jo usne hataya tha .Not fair
BB15 TROPHY AWAITS KARAN",i know these are not journey videos but tp had very good video aur uski journey video bhi positive hi dikhayenge then she will get the double hype and kk par again false narrative jo usne hataya tha not fair bb15 trophy awaits karan,0.8372093023255814
78,23279,2022-08-21 22:43:10+00:00,@aditi03chauhan @thedurandcup @Sports18 @darrencaldeira @thukraltales @ramanbhanot dhiman dada knows editor HT so.nice supporting,dhiman dada knows editor ht so nice supporting,0.875
11,2212,2022-01-23 23:56:49+00:00,"@sach_ki_Aawaz Dr Manmohan Singh was
Vest p m",dr manmohan singh was vest p m,0.8571428571428571
37,12938,2022-05-10 23:29:41+00:00,Just posted a photo @ South Extn https://t.co/StaROYqvAX,just posted a photo south extn,0.8333333333333334
50,20451,2022-07-24 22:51:07+00:00,"इस देश से ही मेरी पहचान है
यही मेरा दिल यही मेरी Jaan hai 

            कोई आंख उठा कर देखे भी तो कैसे
            इसकी रक्षा में खड़े हर नौजवान है
            हां यह मेरा हिंदुस्तान है..!

@preetee394911
Jai Hind Jai Bharat
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 https://t.co/4DbzgxeBEs",jaan hai jai hind jai bharat,0.8333333333333334
28,18329,2022-07-03 23:10:56+00:00,"Heartiest congratulations #HarishBhat on this Stupendous accomplishment 👏👏👏👏👏👏

@TataCompanies

https://t.co/ufWHJKsFhc",heartiest congratulations on this stupendous accomplishment,0.8333333333333334
94,2295,2022-01-23 22:31:31+00:00,"This man came back under Xavi what's your thoughts?
#AlavesBarca 
#FCBarcelona https://t.co/POKrSFOXpt",this man came back under xavi whats your thoughts,0.8888888888888888
39,20740,2022-07-27 23:06:11+00:00,@phdmomofone She does not. She’s not on Twitter.,she does not shes not on twitter,0.8571428571428571
53,22754,2022-08-16 22:49:45+00:00,@Sapna779 @adults_RT @adults_cam @boobiebeauty @Cam_veri_fier @findrealcam @CamCgi @camgirl @LiveSexLove @cam 😂😂 30000 for real meet .. 🙏🏻💐 waah re,30000 for real meet waah re,0.8
52,16453,2022-06-14 23:28:46+00:00,@Qamarcheema @CNNnews18 @AbaBeel9943 .. qamar Cheema runs foreign office of Pakistan.  With so much less input qamar is trying his best to do add value.,qamar cheema runs foreign office of pakistan with so much less input qamar is trying his best to do add value,0.8571428571428571
18,11219,2022-04-23 23:45:55+00:00,Kashmir valley calling us to see it's beautiful nature... Today flying✈️ to Srinagar (J&amp;K) by Spicejet. https://t.co/sMagGU94qF,kashmir valley calling us to see its beautiful nature today flying to srinagar jandk by spicejet,0.8125
82,20883,2022-07-28 22:16:55+00:00,@ActorMadhavan not happy.. Y did you release #RocketryTheNambiEffect hindi @VootSelect... It should've been the @NetflixIndia release.. Though I've watched in the theatre... Voot wala angle wasn't right.,not happy y did you release hindi it shouldve been the release though ive watched in the theatre voot wala angle wasnt right,0.8695652173913043
88,21189,2022-07-31 22:28:55+00:00,@Madhur2090 There's only one right answer: FullMetal Alchemist Brotherhood. 🙈,theres only one right answer fullmetal alchemist brotherhood,0.875
22,15123,2022-06-01 23:38:47+00:00,"Facts for IAF's $20b MRFA: 
1. 114 aircraft remains( not reduced)
2. IAF prefers Buy Global, Make in India
3. Tech transfer/design/joint production remains at the core
4. Defence policies (SP) need revisit
4. Numbers vs Quality
#mrfa #fighterjet #IAF #squadron @FinancialXpress",facts for iafs 20b mrfa 1 114 aircraft remains not reduced 2 iaf prefers buy global make in india 3 tech transferdesignjoint production remains at the core 4 defence policies sp need revisit 4 numbers vs quality,0.8333333333333334
86,18787,2022-07-07 21:55:20+00:00,We were so wrong about Chelsea's home kit @TheDrogBABA,we were so wrong about chelseas home kit,0.875
8,20909,2022-07-29 23:55:24+00:00,"@pushpathak Ram Ram ji....
Jai Bajrang  Bali 🙏🙏",ram ram ji jai bajrang bali,0.8333333333333334
60,5161,2022-02-21 22:42:13+00:00,Y the Fcuk am I up at this hour 🤔🤔,y the fcuk am i up at this hour,0.8888888888888888
45,5346,2022-02-23 22:56:44+00:00,"Covid testing centre genestrings at delhi airport is fraudantly doing rapid pcr test for Rs2900, as per latest advisory rapid pcr is closed since 22/2/22  and no longer required for australia. They wrongly advised me to get rapid pcr test done for australia on 23/2/22. https://t.co/nBEdVU7emR",covid testing centre genestrings at delhi airport is fraudantly doing rapid pcr test for rs2900 as per latest advisory rapid pcr is closed since 22222 and no longer required for australia they wrongly advised me to get rapid pcr test done for australia on 23222,0.8809523809523809
34,17935,2022-06-29 23:02:38+00:00,"The body may be of Kanhaiya Lal, but what is burning is collective conscience of Sleeping Hindus. 

#Udaipur https://t.co/UQbRaNPENv",the body may be of kanhaiya lal but what is burning is collective conscience of sleeping hindus,0.8823529411764706
82,16083,2022-06-10 23:13:46+00:00,"#GujaratGauravAbhiyan
Speaking of the dedicated efforts towards Garib Kalyan in the last 8 years, PM Modi said that schemes like Awas Yojana, Jal Jeevan Mission and Ujjwala Yojana and many more have helped improve the lives and livelihoods.",speaking of the dedicated efforts towards garib kalyan in the last 8 years pm modi said that schemes like awas yojana jal jeevan mission and ujjwala yojana and many more have helped improve the lives and livelihoods,0.8055555555555556
92,12993,2022-05-10 21:43:57+00:00,@khanumarfa Facist.....Ward Achha hai.....Buy it suits to pseudo secular and liberal only.,facist ward achha hai buy it suits to pseudo secular and liberal only,0.8461538461538461
52,15153,2022-06-01 22:57:07+00:00,"Yes you have correctly diagnose the slow death of public.
They are dead and converted into  dead moving without any opposition,crying ,acting deaf and dumb
Facing daily problems silently
Despite massive unemployment 
Highest inflation
Heaviest taxes
Costliest diesel/petrol https://t.co/lpDRCoakhK",yes you have correctly diagnose the slow death of public they are dead and converted into dead moving without any oppositioncrying acting deaf and dumb facing daily problems silently despite massive unemployment highest inflation heaviest taxes costliest dieselpetrol,0.8947368421052632
23,4224,2022-02-12 23:11:34+00:00,@republic Why should world support a chor ?,why should world support a chor,0.8333333333333334
60,18061,2022-06-30 23:01:53+00:00,"@sagarikaghose -U &amp; your ideology people R chokked 2day Bcause Hindutava emerged winner as people of Maharastra supported in 2019 but Udhav insulted this mandate &amp; supported d hands of आका of अनिल देशमुख, नवाब Malik, ! U certainly support their way of governance &amp; wht Sonia like? https://t.co/dmB7zeUPHE",u and your ideology people r chokked 2day bcause hindutava emerged winner as people of maharastra supported in 2019 but udhav insulted this mandate and supported d hands of of malik u certainly support their way of governance and wht sonia like,0.85
46,11147,2022-04-22 23:08:01+00:00,"#ParkashPurab
PM Modi recalled the religious fanaticism and atrocities of that period. In front of Aurangzeb's tyranny, Sri Guru Tegh Bahadur Ji stood as  'Hind di Chadar' said PM.
via NaMo App",pm modi recalled the religious fanaticism and atrocities of that period in front of aurangzebs tyranny sri guru tegh bahadur ji stood as hind di chadar said pm via namo app,0.8387096774193549
63,1464,2022-01-15 22:47:37+00:00,"#DonateToBJP
Support those who are building Swachh Bharat.  Micro-donate to BJP https://t.co/ub3NE20THb",support those who are building swachh bharat micro donate to bjp,0.8181818181818182
69,2970,2022-01-30 22:17:09+00:00,"@itsmetejasswi  please react to this post of Karan's  Please 🥺
#TejRan https://t.co/9EiEdKYwPh",please react to this post of karans please,0.875
75,16476,2022-06-14 22:54:13+00:00,"A Rottweiler has been left on the streets of Ghatkopar. Please help -- 08080990908 is number or person who reported it.
Location: Raj rajeshwari lane, Lal Bahadur Shastri Rd, near akshardham building, Ghatkopar West, Mumbai. Please help.
@PetaIndia @MyGhatkopar @Ghatkopar4Right https://t.co/VOMLQgdMHn",a rottweiler has been left on the streets of ghatkopar please help 08080990908 is number or person who reported it location raj rajeshwari lane lal bahadur shastri rd near akshardham building ghatkopar west mumbai please help,0.8285714285714286
54,7755,2022-03-19 21:43:17+00:00,"BitcoinLegend is not mining app but also metaverse game with a Hero NFT card inspired by Marvel's Avengers.
Large-scale airdrop and pre-sale were Live.

☆Join BitcoinLegend to get 10 BCL for free.
Recommended code : 05c94hrsfbq

☆Airdrop&amp;Pre-sale 
https://t.co/na7owS5JbC",bitcoinlegend is not mining app but also metaverse game with a hero nft card inspired by marvels avengers large scale airdrop and pre sale were live join bitcoinlegend to get 10 bcl for free recommended code 05c94hrsfbq airdropandpre sale,0.8108108108108109
70,12371,2022-05-04 23:09:36+00:00,A perennial nagger be such a nagnet...,a perennial nagger be such a nagnet,0.8571428571428571
79,11480,2022-04-25 22:26:08+00:00,"@WeThePeople3009 Good Morning brother.
Ramazan teaches Self Control.",good morning brother ramazan teaches self control,0.8571428571428571
73,5574,2022-02-25 22:41:54+00:00,"Brazil at UNSC Ukriane meet: A line has been crossed. Concerned by Russia's dscn to use force. Military action will inflict damage.

PS: Brazil is fellow Brics country. Strong words against Russia. https://t.co/0OMoONGLrO",brazil at unsc ukriane meet a line has been crossed concerned by russias dscn to use force military action will inflict damage ps brazil is fellow brics country strong words against russia,0.875
30,21331,2022-08-02 23:24:08+00:00,@theofficalNoah1 @DentedFeelsNFT Yeah thats how the algo works. With the crawlers to find like Nfted people 😝,yeah thats how the algo works with the crawlers to find like nfted people,0.8571428571428571
39,16240,2022-06-12 23:33:35+00:00,"Bagg Tags to track your luggage are available for FREE at Encalm Lounge, Terminal 1D, Delhi Airport @outofofficedaku https://t.co/pn96p1Gqj5",bagg tags to track your luggage are available for free at encalm lounge terminal 1d delhi airport,0.875
