,id,date,rawContent,cleaned_content,english_relative_frequency
0,1,2022-01-01 23:59:36+00:00,"@AndrewHolnessJM blessed New Year Mr. PM, have Dr. Horace Chang told you that since June when a ZOSO was placed in Norwood St. James no murder was committed there? That goes to show that ZOSOs have a greater impact on curbing crime than SOEs. Central Kingston need a ZOSO NOW",blessed new year mr pm have dr horace chang told you that since june when a zoso was placed in norwood st james no murder was committed there that goes to show that zosos have a greater impact on curbing crime than soes central kingston need a zoso now,0.9183673469387755
7,8,2022-01-01 23:49:43+00:00,@roli4eva Yes ... but Encanto will mek yuh bawl if yuh careful,yes but encanto will mek yuh bawl if yuh careful,0.9
27,28,2022-01-01 23:41:31+00:00,Listening to the two political leaders New Year's messages show the gulf between @MarkJGolding and @AndrewHolnessJM . Mr. Golding was reassuring and genuine while Mr. Holness was combative and fake his words sounds empty. Jamaica need Mark Golding as Prime Minister.,listening to the two political leaders new years messages show the gulf between and mr golding was reassuring and genuine while mr holness was combative and fake his words sounds empty jamaica need mark golding as prime minister,0.9736842105263158
45,46,2022-01-01 23:31:35+00:00,"An entity that is responsible for education continues to make these mistakes. Shame but then again we shouldn't be surprised because a former leader of the JLP once said ""we want no scholarship, give us the sugar ships."" https://t.co/9IxPNls5Nk",an entity that is responsible for education continues to make these mistakes shame but then again we shouldnt be surprised because a former leader of the jlp once said we want no scholarship give us the sugar ships,0.9736842105263158
50,51,2022-01-01 23:28:26+00:00,Day 1 n here on sephora bout to place an order for skincare 🤦🏾‍♀️🙈,day 1 n here on sephora bout to place an order for skincare,0.9166666666666666
64,65,2022-01-01 23:19:13+00:00,"nobody is worth stressing over, like move on, leave people behind, go find yourself, the world is yours, life goes on",nobody is worth stressing over like move on leave people behind go find yourself the world is yours life goes on,0.9523809523809523
78,79,2022-01-01 23:09:45+00:00,Today I went to St Ann made a stop at bogwalk getting a coconut water long time me do this country trip.,today i went to st ann made a stop at bogwalk getting a coconut water long time me do this country trip,0.9545454545454546
98,99,2022-01-01 22:51:12+00:00,@YardChrisBrown @AndrewHolnessJM The price of commodity is low and people in the world is enjoying a cheap life🤥. Only in Jamaice things are expensive !!!😒 🤔,the price of commodity is low and people in the world is enjoying a cheap life only in jamaice things are expensive,0.9545454545454546
9,110,2022-01-02 23:51:56+00:00,"Watching A Fall from Grace AGAIN and I'm mad, upset, scared at this oliy mouthed man AGAIN!!!",watching a fall from grace again and im mad upset scared at this oliy mouthed man again,0.9411764705882353
15,116,2022-01-02 23:48:41+00:00,Sittin on the top floor of the fly ass hotel drunk as fuck with a bad bitch make you appreciate life https://t.co/sh6bmF83zH,sittin on the top floor of the fly ass hotel drunk as fuck with a bad bitch make you appreciate life,0.9523809523809523
18,119,2022-01-02 23:47:30+00:00,"@yungsenshi Spineless! I heard today that we are 2nd to last in the Caribbean in terms of fully vaxxed. I thought, ‘well at least we are not last’. Then I heard that Haiti is last!",spineless i heard today that we are 2nd to last in the caribbean in terms of fully vaxxed i thought well at least we are not last then i heard that haiti is last,0.9696969696969697
28,129,2022-01-02 23:43:26+00:00,When me a talk and somebody a interrupt wah me a seh 😩😩😩 https://t.co/FYbMUUody3,when me a talk and somebody a interrupt wah me a seh,0.9166666666666666
30,131,2022-01-02 23:41:23+00:00,@JordizzleJ I am my own selector at home klass fm is my radio for music 🎶,i am my own selector at home klass fm is my radio for music,0.9285714285714286
39,140,2022-01-02 23:36:19+00:00,@owenjamesja The scientists and recognized Doctors have to work a lot harder than the propagandist antivaxxers.,the scientists and recognized doctors have to work a lot harder than the propagandist antivaxxers,0.9333333333333333
53,154,2022-01-02 23:25:03+00:00,Well the rift is widening between @christufton and @AndrewHolnessJM because this is two different song. Is @christufton ready to challenge @AndrewHolnessJM for the leadership of the JLP? https://t.co/9kPkU0roWo,well the rift is widening between and because this is two different song is ready to challenge for the leadership of the jlp,0.9565217391304348
65,166,2022-01-02 23:11:39+00:00,@JordizzleJ Desmond McKenzie don't know how to select music 🎶 he's allover the place. Amateur.,desmond mckenzie dont know how to select music hes allover the place amateur,0.9230769230769231
72,173,2022-01-02 23:03:17+00:00,"Happy New Year from our Youth Councillors!

Each year, the KSAMC hosts students from various junior and traditional high schools across the Municipality as part of its Junior Council Forum. The series of activities serve as a gesture to promote awareness among our youth. https://t.co/u7pYiJWxPa",happy new year from our youth councillors each year the ksamc hosts students from various junior and traditional high schools across the municipality as part of its junior council forum the series of activities serve as a gesture to promote awareness among our youth,0.9772727272727273
86,187,2022-01-02 22:50:33+00:00,Need the stats on how many times the 49ers D gives up a 1st down via penalty on 3rd down @NFL,need the stats on how many times the 49ers d gives up a 1st down via penalty on 3rd down,0.9411764705882353
94,195,2022-01-02 22:44:34+00:00,Hey suga mama come and dance with me. Talking bout butterflies in my head https://t.co/Zq8jFQdFTi,hey suga mama come and dance with me talking bout butterflies in my head,0.9285714285714286
7,208,2022-01-03 23:52:19+00:00,"@essKbee The hell, I thought you was done with that. I guess you’ll just be an educated stay at home dog Mom, might as well",the hell i thought you was done with that i guess youll just be an educated stay at home dog mom might as well,0.9583333333333334
18,219,2022-01-03 23:45:29+00:00,@christcnee yeah me just fraid a c*vid it a gwan bad lmao,yeah me just fraid a c vid it a gwan bad lmao,0.9166666666666666
26,227,2022-01-03 23:37:59+00:00,"Aight since you wanna live in Jamaica so bad…. 😂😂😂

It was the perfect sunny day to wash my clothes 

#yahmon #rastafari #rastalife #countryside @ Fairy Hill, Portland, Jamaica https://t.co/ikUfS3UXy1",aight since you wanna live in jamaica so bad it was the perfect sunny day to wash my clothes fairy hill portland jamaica,0.9565217391304348
27,228,2022-01-03 23:37:52+00:00,@chantipantzi U can’t vex again if a man takes u to KFC on a date 💀,u cant vex again if a man takes u to kfc on a date,0.9285714285714286
35,236,2022-01-03 23:34:33+00:00,"Nah lend nobody nuh money in 2022 and the years to come 
U better link smaddy else",nah lend nobody nuh money in 2022 and the years to come u better link smaddy else,0.9375
39,240,2022-01-03 23:33:31+00:00,"@OliverGDECIMUS Woii!! Yuh very ambitious inna de New Year sah. Porsche??  Glad you came to your senses. Next time, just blow and wave. https://t.co/0VhgTsJgWK",woii yuh very ambitious inna de new year sah porsche glad you came to your senses next time just blow and wave,0.9090909090909091
41,242,2022-01-03 23:31:53+00:00,Worst thing you could do is go live with family after years of living on your own. It's not for the weak bruh 🤦🏾‍♀️🤦🏾‍♀️,worst thing you could do is go live with family after years of living on your own its not for the weak bruh,0.9565217391304348
50,251,2022-01-03 23:24:20+00:00,"@TheSickestDrama So yow, she wouldn’t even go in on her side and then hand him the umbrella. Jah jah know it’s rough out here",so yow she wouldnt even go in on her side and then hand him the umbrella jah jah know its rough out here,0.9130434782608695
53,254,2022-01-03 23:22:11+00:00,"How do you reply to someone on Whatsapp who writes ""💯"" under a photo?",how do you reply to someone on whatsapp who writes under a photo,0.9230769230769231
58,259,2022-01-03 23:20:30+00:00,"I don’t need to deal with negativity this year, I don’t have to respond to it and no one can force me to. Mi nuh haffi dweet",i dont need to deal with negativity this year i dont have to respond to it and no one can force me to mi nuh haffi dweet,0.9259259259259259
60,261,2022-01-03 23:19:32+00:00,"If your friend not happy for you when your life a gwan good, leave that ""friend"" alone. That's not your friend.",if your friend not happy for you when your life a gwan good leave that friend alone thats not your friend,0.9523809523809523
64,265,2022-01-03 23:15:50+00:00,@KrazyKidJJ 😂 a last minute sumn and mi get distracted by a new house,a last minute sumn and mi get distracted by a new house,0.9166666666666666
68,269,2022-01-03 23:12:36+00:00,@CorpEccentric Not sure if that's why you posted this but I just saw a prime example. Jah know!,not sure if thats why you posted this but i just saw a prime example jah know,0.9411764705882353
83,284,2022-01-03 23:04:11+00:00,"To all the women that I'm following...please don't think I'm ""one of those thirsty niggas"" but get to understand the mindset...it is all about keeping it real...",to all the women that im following please dont think im one of those thirsty niggas but get to understand the mindset it is all about keeping it real,0.9655172413793104
90,291,2022-01-03 23:00:33+00:00,@mampella 🤣🤣🤣🤣😂🤣😂🤣😂😂😂 him is a sneaky boy gwaan nice when him see people,him is a sneaky boy gwaan nice when him see people,0.9090909090909091
92,293,2022-01-03 22:59:57+00:00,imagine the day a Jamaican Twitter fav goes in the politics. Chaos and pandemonium when the “this you?” screenshots start rolling out,imagine the day a jamaican twitter fav goes in the politics chaos and pandemonium when the this you screenshots start rolling out,0.9545454545454546
2,303,2022-01-04 23:59:36+00:00,"@Petchary @the11thstone @patrioticjam You can still renew it, but you may find it takes many months. I visited my local electoral office in MoBay on 2 June 2021. Checked back in Oct, Nov and Dec...no card. Last visit was told to return in January. ""It nuh ready yet,"" said rep.",you can still renew it but you may find it takes many months i visited my local electoral office in mobay on 2 june 2021 checked back in oct nov and dec no card last visit was told to return in january it nuh ready yet said rep,0.9782608695652174
23,324,2022-01-04 23:47:37+00:00,"“The outlook remains highly uncertain, and risks are elevated.” - IMF

The word successful was used in describing their debt restructuring pre-CoViD19.",the outlook remains highly uncertain and risks are elevated imf the word successful was used in describing their debt restructuring pre covid19,0.9523809523809523
25,326,2022-01-04 23:45:24+00:00,If I don't if I don't have you then for me there'd be nobody else!!!,if i dont if i dont have you then for me thered be nobody else,0.9333333333333333
28,329,2022-01-04 23:44:46+00:00,"Even the church have come under pressure by this land grabbing government. Which JLP MP gives the church eviction notice? These people believe they are so mighty, but God will bring you down.",even the church have come under pressure by this land grabbing government which jlp mp gives the church eviction notice these people believe they are so mighty but god will bring you down,0.9696969696969697
36,337,2022-01-04 23:41:02+00:00,@Islandreamer16 @Andi_O What kind of eeeediot  question is this? You forget Andi &amp; me is barrel deal!..a batty and bench dis yuh nuh! https://t.co/QzGanlmGj5,what kind of eeeediot question is this you forget andi and me is barrel deal a batty and bench dis yuh nuh,0.9545454545454546
55,356,2022-01-04 23:32:02+00:00,She don’t argue online..throw shade..she don’t be in nobody’s business.. not pressed about other women she literally be in her own world..she’s never bothered I just love that about her mannnnn ❤️,she dont argue online throw shade she dont be in nobodys business not pressed about other women she literally be in her own world shes never bothered i just love that about her mannnnn,0.9411764705882353
62,363,2022-01-04 23:29:05+00:00,"@Fiona_Lysann Then hear this nuh...the man lives in a very dangerous area and kept saying ""Me nuh come dem side yah fi spite enuh. Too dangerous."" 
Me: https://t.co/TBP7Rc89bJ",then hear this nuh the man lives in a very dangerous area and kept saying me nuh come dem side yah fi spite enuh too dangerous me,0.9259259259259259
70,371,2022-01-04 23:25:25+00:00,@Sha_MarM U woulda look good as a baby fada. A dat him a tell u. 😂,u woulda look good as a baby fada a dat him a tell u,0.9285714285714286
75,376,2022-01-04 23:21:37+00:00,@JordizzleJ IKR even mi coulda see that and mi not even have on my glasses. 😂,ikr even mi coulda see that and mi not even have on my glasses,0.9285714285714286
85,386,2022-01-04 23:14:26+00:00,@Jelchar Eeh. But this not nice. All that route and still nothing?,eeh but this not nice all that route and still nothing,0.9090909090909091
94,395,2022-01-04 23:00:46+00:00,"@ItzMeJaniYelle you know, I gave blood there last month and come to think of it I can’t recall them asking if/when I was vaccinated 🤔",you know i gave blood there last month and come to think of it i cant recall them asking ifwhen i was vaccinated,0.9565217391304348
98,399,2022-01-04 22:58:08+00:00,"I need a weekend at SeaCliff, phone off. I should gift myself that this summer 👌🏽",i need a weekend at seacliff phone off i should gift myself that this summer,0.9333333333333333
0,401,2022-01-05 23:59:35+00:00,If Donny and Amad in it fine but the lots of you need to go play some ball and stop crying https://t.co/K6MHferguE,if donny and amad in it fine but the lots of you need to go play some ball and stop crying,0.9047619047619048
21,422,2022-01-05 23:47:23+00:00,I had a fwb where everytime we fuck I get him food 😭 Twas good sex n he was a cool friend outside it all so why not,i had a fwb where everytime we fuck i get him food twas good sex n he was a cool friend outside it all so why not,0.9629629629629629
27,428,2022-01-05 23:44:03+00:00,@shakovic93 Mek the man talk rasta...🤣🤣🤣😂😂 cold front ova the man head iyah,mek the man talk rasta cold front ova the man head iyah,0.9166666666666666
36,437,2022-01-05 23:37:23+00:00,Society should a really sit we down from we young and make we know say them girl yah whore because is really shocked we shocked ino ntn else all when me know me still shock dawg,society should a really sit we down from we young and make we know say them girl yah whore because is really shocked we shocked ino ntn else all when me know me still shock dawg,0.9444444444444444
40,441,2022-01-05 23:35:53+00:00,@Les_brise You can’t invite me to your place n nuh mek the necessary accommodations or at least give me a heads up so Ik what to do/take. Cyaa invite me over fi fuck then tell me u nuh have nuh food 🙄. If I don’t do anything else I feed ppl when they visit or if I visit n dem low on funds,you cant invite me to your place n nuh mek the necessary accommodations or at least give me a heads up so ik what to dotake cyaa invite me over fi fuck then tell me u nuh have nuh food if i dont do anything else i feed ppl when they visit or if i visit n dem low on funds,0.9344262295081968
76,477,2022-01-05 23:12:18+00:00,How do yall get over an ex that's not out of sight?,how do yall get over an ex thats not out of sight,0.9166666666666666
