,id_column,annotate_text,label,annotated_at
0,21455,<b>Raw:</b> Bakit parang Mucosolvan HCL ang vibe nito. https://t.co/UdKMnaKBdP<br><b>Clean</b>: bakit parang mucosolvan hcl ang vibe nito,not_english,2022-12-10 11:39:46
1,9403,<b>Raw:</b> @jcael_abdns Weh? Na try mo na? Haha di ako naniniwala 😂<br><b>Clean</b>: weh na try mo na haha di ako naniniwala,not_english,2022-12-10 11:39:53
2,269,"<b>Raw:</b> Hindi na tataas COVID cases sa Pinas,cutie! ✨✨✨<br><b>Clean</b>: hindi na tataas covid cases sa pinascutie",some_english,2022-12-10 11:39:59
3,23600,<b>Raw:</b> Th gusto ko nalang maging hotdog sa ref🤦‍♀️<br><b>Clean</b>: th gusto ko nalang maging hotdog sa ref,some_english,2022-12-10 11:40:15
4,17837,<b>Raw:</b> first ever concert ko na aattendan yung svt BeTS and feeling ko mattrauma ako dahil sa l1venat10n 😭 play fair jebal<br><b>Clean</b>: first ever concert ko na aattendan yung svt bets and feeling ko mattrauma ako dahil sa l1venat10n play fair jebal,code-switched,2022-12-10 11:42:33
5,11594,"<b>Raw:</b> Missing the old times na nandyan yung Mama mo, na umaalalay sayo kapag pagod kana sa lahat. IMY Ma ❤️ see you sa next life. #mama<br><b>Clean</b>: missing the old times na nandyan yung mama mo na umaalalay sayo kapag pagod kana sa lahat imy ma see you sa next life",code-switched,2022-12-10 11:42:44
6,14406,<b>Raw:</b> @arviaann Barely surviving and living. Pagod na ako. Ubos na ako. nakakapagod lang na talaga.<br><b>Clean</b>: barely surviving and living pagod na ako ubos na ako nakakapagod lang na talaga,code-switched,2022-12-10 11:42:51
7,17093,<b>Raw:</b> kakamiss din magturo hahahah for the retreat and field trip #tb https://t.co/iSR7MtbbqK<br><b>Clean</b>: kakamiss din magturo hahahah for the retreat and field trip,code-switched,2022-12-10 11:42:59
8,24024,"<b>Raw:</b> Bare minimum na nga lang ang vaccination, tatanggalin pa? E di tanggalin na din qng mask kung ganyan na pala ang kalakaran e. https://t.co/Eb6xhoFZ0F<br><b>Clean</b>: bare minimum na nga lang ang vaccination tatanggalin pa e di tanggalin na din qng mask kung ganyan na pala ang kalakaran e",some_english,2022-12-10 11:43:10
9,2000,<b>Raw:</b> LAST DAY!!!!!🎉🎉🎉🎉 TAPOS HALF DAY KO PA HAHAHAHAHA<br><b>Clean</b>: last day tapos half day ko pa hahahahaha,code-switched,2022-12-10 11:43:13
10,9869,"<b>Raw:</b> Sa itsura ko today, its either nastuck ako sa 2013 o nastuck ako sa 2013. #wolfera<br><b>Clean</b>: sa itsura ko today its either nastuck ako sa 2013 o nastuck ako sa 2013",some_english,2022-12-10 11:43:29
11,7053,<b>Raw:</b> Pa save lang ulit kasi nag live si atty kagabi. https://t.co/omefGZJ2Ve<br><b>Clean</b>: pa save lang ulit kasi nag live si atty kagabi,some_english,2022-12-10 11:43:34
12,11837,<b>Raw:</b> BEH. DI AKO MAKAMOVE ON SA THAT THAT 🥴🥴🥴🥴<br><b>Clean</b>: beh di ako makamove on sa that that,some_english,2022-12-10 11:43:58
13,9645,"<b>Raw:</b> @rcpineda Hmmm, may copy ka ng published journals on this RC? Gusto ko basahin. Ano ulit ung tanong mo? Hahahhaa! Real name or chiildhood name? 🤭🤣<br><b>Clean</b>: hmmm may copy ka ng published journals on this rc gusto ko basahin ano ulit ung tanong mo hahahhaa real name or chiildhood name",code-switched,2022-12-10 11:44:18
14,8349,"<b>Raw:</b> ohmy, umabot ako sa link ng lto for theoretical driving course 😚<br><b>Clean</b>: ohmy umabot ako sa link ng lto for theoretical driving course",code-switched,2022-12-10 11:44:24
15,17112,<b>Raw:</b> @stoked_soul @dannyca1008 @anniieepiiee @hi_dreamie iyak na lang talaga ako…ayaw talaga sa akin ni PP 😂😂😂😂😂😂😂😂 Nag extend na lang sana tayo eh😂😂😂😂 https://t.co/2V5cPlIfIY<br><b>Clean</b>: iyak na lang talaga ako ayaw talaga sa akin ni pp nag extend na lang sana tayo eh,some_english,2022-12-10 11:44:33
16,3547,"<b>Raw:</b> napaka supportive ni ate sa likod oh!!
@mynameisnanon https://t.co/wNWKO1HX9S<br><b>Clean</b>: napaka supportive ni ate sa likod oh",some_english,2022-12-10 11:44:37
17,17092,<b>Raw:</b> Ung felix bubblegum gives me ung flowercrown vibes..it is an itch i need to scratch 🥶 pabili 😂😂😂<br><b>Clean</b>: ung felix bubblegum gives me ung flowercrown vibes it is an itch i need to scratch pabili,code-switched,2022-12-10 11:44:46
18,4987,"<b>Raw:</b> Ay shet exam na pala hahaha wait sir maam, yun na po bayun? Bakit parang 2% lang meron akooo<br><b>Clean</b>: ay shet exam na pala hahaha wait sir maam yun na po bayun bakit parang 2 lang meron akooo",some_english,2022-12-10 11:45:04
19,22747,"<b>Raw:</b> Glasses-less tayo for today’s video kasi as a bobo, ‘yan ang malilimutan niya out of all things<br><b>Clean</b>: glasses less tayo for todays video kasi as a bobo yan ang malilimutan niya out of all things",code-switched,2022-12-10 11:45:15
20,19422,"<b>Raw:</b> Lord, sana matapos ko task ko within 4 hours. HAHAHAHAHA<br><b>Clean</b>: lord sana matapos ko task ko within 4 hours hahahahaha",code-switched,2022-12-10 11:45:22
21,12128,"<b>Raw:</b> @white_bite Kung magagawa nga bago mag-May 9, baka mag-endorso na ako. hahahaha<br><b>Clean</b>: kung magagawa nga bago mag may 9 baka mag endorso na ako hahahaha",not_english,2022-12-10 11:45:33
22,12482,<b>Raw:</b> Nikki Coseteng is firing some spicy statements. HAHAHHAHAHA<br><b>Clean</b>: nikki coseteng is firing some spicy statements hahahhahaha,not-syntactic_standard_english,2022-12-10 11:45:52
23,5309,"<b>Raw:</b> @gennicaonfire That’s trueeee! Same here, gorgeous space space kpag umay mag process lol<br><b>Clean</b>: thats trueeee same here gorgeous space space kpag umay mag process lol",code-switched,2022-12-10 11:45:57
24,4808,<b>Raw:</b> gusto ko nadin mag work out yung totoo. hahaha shutaena ang cute talaga ng tyan ko eh 🤣<br><b>Clean</b>: gusto ko nadin mag work out yung totoo hahaha shutaena ang cute talaga ng tyan ko eh,some_english,2022-12-10 11:46:06
25,3217,<b>Raw:</b> Mas malaki pa sakop ng fur baby ko sa kama ko kesa sakin kala mo ang laking aso 🙄 #Chichuahua<br><b>Clean</b>: mas malaki pa sakop ng fur baby ko sa kama ko kesa sakin kala mo ang laking aso,some_english,2022-12-10 11:46:11
26,2398,<b>Raw:</b> Just posted a photo @ Boso-Boso Highland Resort https://t.co/FI3609PnAA<br><b>Clean</b>: just posted a photo boso boso highland resort,,2022-12-10 11:46:13
27,8278,<b>Raw:</b> @roibuloy Ooooh you’re welcome! I love the shot!!<br><b>Clean</b>: ooooh youre welcome i love the shot,non_standard_english,2022-12-10 11:46:24
28,3690,"<b>Raw:</b> Guys, may aaminin po ako. Sorry guys, but may dinelete po akong tweet dahil nag-pasalamat ako sa mga Villar because of #LAFSMMFF . But then, noong narinig ko ang balitang inaakit na nila yung mga frequencies ng ABS-CBN, I realized na #NoToVillar na ako. How weird am I, right? 🥴 https://t.co/iPdyycK3Ar<br><b>Clean</b>: guys may aaminin po ako sorry guys but may dinelete po akong tweet dahil nag pasalamat ako sa mga villar because of but then noong narinig ko ang balitang inaakit na nila yung mga frequencies ng abs cbn i realized na na ako how weird am i right",code-switched,2022-12-10 11:46:36
29,924,"<b>Raw:</b> I'm at Lythaus Summit Corp. in Malabon, Metro Manila https://t.co/Xcwqgz5vcd<br><b>Clean</b>: im at lythaus summit corp in malabon metro manila",,2022-12-10 11:46:39
30,1676,"<b>Raw:</b> getting hooked dito sa kdrama - the penthouse, its posh, looks sushal and all pero parang pinoy serye ang kalat lol, but will still watch it 😆<br><b>Clean</b>: getting hooked dito sa kdrama the penthouse its posh looks sushal and all pero parang pinoy serye ang kalat lol but will still watch it",code-switched,2022-12-10 11:46:45
