,id,date,rawContent,cleaned_content,english_relative_frequency
94,6695,2022-03-08 23:10:32+00:00,@_Abdulkarim_10 @AnnanPerry NPP lost one MP. Hon. Ebenezer Kumi or so,npp lost one mp hon ebenezer kumi or so,0.7777777777777778
65,12466,2022-05-05 23:25:17+00:00,@Austin_claries You dey force momm,you dey force momm,0.75
34,13235,2022-05-13 23:46:26+00:00,@babydoll_forbes That's another convo trigger that puts dem phones back into these hands...hehehe,thats another convo trigger that puts dem phones back into these hands hehehe,0.7692307692307693
31,12932,2022-05-10 23:36:00+00:00,@homebargains Wat do u guys take us 4? U make us waste our tym and crte acnt on ur plt4m in other 2 access ur emplymnt aplcation😥waste our tym 2 fill in 2 details evry part of ur aplcation questn😢n later tell de persn they don't meet eligibility😭wat is dat? R u only tryn to make fun of us😭,wat do u guys take us 4 u make us waste our tym and crte acnt on ur plt4m in other 2 access ur emplymnt aplcationwaste our tym 2 fill in 2 details evry part of ur aplcation questnn later tell de persn they dont meet eligibilitywat is dat r u only tryn to make fun of us,0.7924528301886793
87,4088,2022-02-10 23:16:27+00:00,@__kofiyeboah masa you cannot be tensing we the equatorial niccas 🥵,masa you cannot be tensing we the equatorial niccas,0.7777777777777778
20,7121,2022-03-13 23:53:36+00:00,@aboagyewaa__ Something you're capable of,something youre capable of,0.75
35,1336,2022-01-14 23:41:22+00:00,Let me watch Eternals,let me watch eternals,0.75
90,23391,2022-08-22 23:20:43+00:00,@_aakolly you fool keke 😂😂😂  you for continue the Naija pidgin,you fool keke you for continue the naija pidgin,0.7777777777777778
79,2680,2022-01-27 23:23:20+00:00,@ChelseaOkyeame @Kwame__Deuces @gyaigyimii Naaa dis niqqa don’t understand “pedestrian” please forgive him😹😹😹😹,naaa dis niqqa dont understand pedestrian please forgive him,0.7777777777777778
27,228,2022-01-03 23:51:59+00:00,Drum 🥁 roll and Efo dey play konka. https://t.co/HI97P3nhca,drum roll and efo dey play konka,0.7142857142857143
36,9837,2022-04-09 23:41:21+00:00,@theMadridZone @NizaarKinsella Aahh is he a player at all tsoooooo,aahh is he a player at all tsoooooo,0.75
18,11019,2022-04-21 23:48:48+00:00,"AIS
Prempeh
Central Uni https://t.co/9aAbf6zqJM",ais prempeh central uni,0.75
81,9282,2022-04-03 23:20:10+00:00,HERH CARLO ABOUT TO EMBARASS REAL MADRID https://t.co/khjXvD8LPl,herh carlo about to embarass real madrid,0.7142857142857143
28,23929,2022-08-28 23:49:29+00:00,@Founda__ Abi u shy? U know coaching pass Anchelotti?,abi u shy u know coaching pass anchelotti,0.75
57,18958,2022-07-09 23:37:55+00:00,Boi…Rich men exes 😂😂😂😂😂,boi rich men exes,0.75
12,5113,2022-02-21 23:50:34+00:00,Nkwasia vim sei de3 miny3 ooo https://t.co/Dr0XnZJF8o,nkwasia vim sei de3 miny3 ooo,0.75
89,6290,2022-03-04 23:18:38+00:00,@jeremyb___ You dey taya me🤣🤣🤣,you dey taya me,0.75
18,14019,2022-05-21 23:49:58+00:00,I need jollof now 😔😔😔,i need jollof now,0.75
43,12844,2022-05-09 23:37:42+00:00,SZA making my night💕,sza making my night,0.75
98,9099,2022-04-01 23:05:25+00:00,@QABoahene @edudzi_ Nice cool greys bro,nice cool greys bro,0.75
32,17633,2022-06-26 23:34:20+00:00,@AsanteKotokoSu1 @HeartsOfOakGH ur village club that shits in the bush.... siaaa to mu team fooo sɛɛ borla... kakabo fc with aboboyaa branding,ur village club that shits in the bush siaaa to mu team fooo s borla kakabo fc with aboboyaa branding,0.75
52,553,2022-01-06 23:30:37+00:00,"@gyaigyimii @ELgh_  guy can rap 
Herhhhhh",guy can rap herhhhhh,0.75
33,9934,2022-04-10 23:52:46+00:00,@tv3daterush wossop u pple dey play anaa ah agoro b3n nono  this is a national platform this is not suppose to happen #DateRush,wossop u pple dey play anaa ah agoro b3n nono this is a national platform this is not suppose to happen,0.75
4,2905,2022-01-30 23:55:29+00:00,"This tweet, 10,000 NABCO recruits might never get it o! As for GHC 700 Twitter de3 it’ll take them a 1000yrs to gerrit! https://t.co/37QJzGGtIY",this tweet 10000 nabco recruits might never get it o as for ghc 700 twitter de3 itll take them a 1000yrs to gerrit,0.7894736842105263
13,10514,2022-04-16 23:47:22+00:00,@ElizhaOfficial @_Compton101 @1_cabilla @okt_ranking30 @Aluta_shaban94 @TeamElizha Screensaver of the year. ❤️🔥,screensaver of the year,0.75
89,8290,2022-03-24 23:17:10+00:00,@_owurakuampofo @kojoantwiba Kaaii enemy dey lie,kaaii enemy dey lie,0.75
30,6631,2022-03-08 23:38:59+00:00,Buh chale the inter Milan goal dey bee oo,buh chale the inter milan goal dey bee oo,0.7777777777777778
