,id_column,annotate_text,label,annotated_at
0,24225,<b>Raw:</b> Inse Ganda so called leader was in Congress https://t.co/23hFkfWwnl<br><b>Clean</b>: inse ganda so called leader was in congress,code-switched,13/12/2022 0:05
1,20883,<b>Raw:</b> @ActorMadhavan not happy.. Y did you release #RocketryTheNambiEffect hindi @VootSelect... It should've been the @NetflixIndia release.. Though I've watched in the theatre... Voot wala angle wasn't right.<br><b>Clean</b>: not happy y did you release hindi it shouldve been the release though ive watched in the theatre voot wala angle wasnt right,code-switched,13/12/2022 0:05
2,4334,<b>Raw:</b> Live life to the fullest and focus on the positive. (Deno_Verma)🌼❤️ https://t.co/uZA433FwRY<br><b>Clean</b>: live life to the fullest and focus on the positive denoverma,full_standard_english,13/12/2022 0:05
3,13449,<b>Raw:</b> @harrrrrsh Mujhe side me kr k picture li hai 🌵<br><b>Clean</b>: mujhe side me kr k picture li hai,some_english,13/12/2022 0:05
4,9981,"<b>Raw:</b> It's annoying to see someone's picture with their aurah exposed, especially those you care about.
If you talk to them they might stop for some time and continue later.
Mata akwai taurin kan tsiya🤦‍♂️💔 https://t.co/fQRggwMWYO<br><b>Clean</b>: its annoying to see someones picture with their aurah exposed especially those you care about if you talk to them they might stop for some time and continue later mata akwai taurin kan tsiya",code-switched,13/12/2022 0:08
5,18385,<b>Raw:</b> Sir same issue is Uttar Pradesh also. Same company same atal Jyoti yojana phase1 project. https://t.co/9xjcbSXtVM<br><b>Clean</b>: sir same issue is uttar pradesh also same company same atal jyoti yojana phase1 project,code-switched,13/12/2022 0:11
6,23615,<b>Raw:</b> @sunitapatanaik Jai mata di sunita je very beautiful ❤️ profile pic<br><b>Clean</b>: jai mata di sunita je very beautiful profile pic,code-switched,13/12/2022 0:11
7,10659,"<b>Raw:</b> @ASHISH_RITIKA @AamAadmiParty @AapKaGopalRai Thodi jaankari badhaye aap, ye report centre govt k data k according h na ki state govt k, Central govt ne bola h k 03% green area increase hua, central govt jhooti h???<br><b>Clean</b>: thodi jaankari badhaye aap ye report centre govt k data k according h na ki state govt k central govt ne bola h k 03 green area increase hua central govt jhooti h",code-switched,13/12/2022 0:11
8,2520,"<b>Raw:</b> I know these are not journey videos but TP had very good video aur uski journey video bhi positive hi dikhayenge.Then she will get the double hype.And kk par again false narrative Jo usne hataya tha .Not fair
BB15 TROPHY AWAITS KARAN<br><b>Clean</b>: i know these are not journey videos but tp had very good video aur uski journey video bhi positive hi dikhayenge then she will get the double hype and kk par again false narrative jo usne hataya tha not fair bb15 trophy awaits karan",code-switched,13/12/2022 0:12
9,9413,"<b>Raw:</b> Depression, so well expressed @Dartherino4 . Am bowled. @Aasthagupta91 pl read https://t.co/GUsg4uIDNH<br><b>Clean</b>: depression so well expressed am bowled pl read",not-syntactic_standard_english,13/12/2022 0:13
10,21231,"<b>Raw:</b> 👍🏽👍🏽@generaljose succinctly put 
Op Pawan – Fallen and forgotten? https://t.co/jeKxxsyOKI via @Frontier India<br><b>Clean</b>: succinctly put op pawan fallen and forgotten via india",,13/12/2022 0:13
11,5214,<b>Raw:</b> Happy Birthday to you Manoj Bhai ji....stay healthy and happy 😊😊 https://t.co/J5Q6Q7JehL<br><b>Clean</b>: happy birthday to you manoj bhai ji stay healthy and happy,non_standard_english,13/12/2022 0:13
12,12371,<b>Raw:</b> A perennial nagger be such a nagnet...<br><b>Clean</b>: a perennial nagger be such a nagnet,non_standard_english,13/12/2022 0:13
13,2295,"<b>Raw:</b> This man came back under Xavi what's your thoughts?
#AlavesBarca 
#FCBarcelona https://t.co/POKrSFOXpt<br><b>Clean</b>: this man came back under xavi whats your thoughts",full_standard_english,13/12/2022 0:13
14,5161,<b>Raw:</b> Y the Fcuk am I up at this hour 🤔🤔<br><b>Clean</b>: y the fcuk am i up at this hour,non_standard_english,13/12/2022 0:13
15,4198,<b>Raw:</b> Dil chahta hai is cinematic Marvel.<br><b>Clean</b>: dil chahta hai is cinematic marvel,not-syntactic_standard_english,13/12/2022 0:14
16,20740,<b>Raw:</b> @phdmomofone She does not. She’s not on Twitter.<br><b>Clean</b>: she does not shes not on twitter,full_standard_english,13/12/2022 0:14
17,23039,<b>Raw:</b> @elonmusk sir my right side paralysed from 1 feb 2020.sir i apply for human trial of neuralink sir I waiting for FDA approval human trial neuralink.<br><b>Clean</b>: sir my right side paralysed from 1 feb 2020 sir i apply for human trial of neuralink sir i waiting for fda approval human trial neuralink,not-syntactic_standard_english,13/12/2022 0:14
18,4687,"<b>Raw:</b> #Punjab_With_Modi
BJP’s message of good governance and strong security outlook is resonating with Punjab. Punjab wants change. Punjab wants BJP.
via NaMo App<br><b>Clean</b>: bjps message of good governance and strong security outlook is resonating with punjab punjab wants change punjab wants bjp via namo app",full_standard_english,13/12/2022 0:15
19,1453,"<b>Raw:</b> #StartUps4NewIndia
This decade is called India’s Techade
https://t.co/6nr2Cuz6RY<br><b>Clean</b>: this decade is called indias techade",non_standard_english,13/12/2022 0:15
20,23279,<b>Raw:</b> @aditi03chauhan @thedurandcup @Sports18 @darrencaldeira @thukraltales @ramanbhanot dhiman dada knows editor HT so.nice supporting<br><b>Clean</b>: dhiman dada knows editor ht so nice supporting,non_standard_english,13/12/2022 0:15
21,20433,"<b>Raw:</b> Popularity of @ArvindKejriwal is spreading like a wild fire 🔥

Arrest of @SatyendarJain 
CBI case on @msisodia 
Stopping Kejriwal from going to Singapore
Capturing public stage in Delhi through police. 

Remember Arvind Kejriwal once said Modi is psychopath and coward.<br><b>Clean</b>: popularity of is spreading like a wild fire arrest of cbi case on stopping kejriwal from going to singapore capturing public stage in delhi through police remember arvind kejriwal once said modi is psychopath and coward",not-syntactic_standard_english,13/12/2022 0:16
22,9319,<b>Raw:</b> I hope y'all sit on pins https://t.co/Y5j1qKVVfb<br><b>Clean</b>: i hope yall sit on pins,full_standard_english,13/12/2022 0:16
23,23368,<b>Raw:</b> @anuragbatrayo very excellent beautiful wholeday  programme by business world......<br><b>Clean</b>: very excellent beautiful wholeday programme by business world,not-syntactic_standard_english,13/12/2022 0:16
24,10746,<b>Raw:</b> @RoopsSaxena Keep trying. You can create'better waves'.<br><b>Clean</b>: keep trying you can createbetter waves,not-syntactic_standard_english,13/12/2022 0:17
25,2970,"<b>Raw:</b> @itsmetejasswi  please react to this post of Karan's  Please 🥺
#TejRan https://t.co/9EiEdKYwPh<br><b>Clean</b>: please react to this post of karans please",not-syntactic_standard_english,13/12/2022 0:17
26,13458,<b>Raw:</b> Phone ko rakho side and tata bye bye good night ❤️😂 #tweeter #its_pvt_ltd.______ https://t.co/9HA0iS80Js<br><b>Clean</b>: phone ko rakho side and tata bye bye good night,code-switched,13/12/2022 0:17
27,22774,<b>Raw:</b> Just posted a photo @ Gaur city -2 greater noida west https://t.co/AywcnbmRrz<br><b>Clean</b>: just posted a photo gaur city 2 greater noida west,,13/12/2022 0:17
28,21189,<b>Raw:</b> @Madhur2090 There's only one right answer: FullMetal Alchemist Brotherhood. 🙈<br><b>Clean</b>: theres only one right answer fullmetal alchemist brotherhood,not-syntactic_standard_english,13/12/2022 0:18
29,18061,"<b>Raw:</b> @sagarikaghose -U &amp; your ideology people R chokked 2day Bcause Hindutava emerged winner as people of Maharastra supported in 2019 but Udhav insulted this mandate &amp; supported d hands of आका of अनिल देशमुख, नवाब Malik, ! U certainly support their way of governance &amp; wht Sonia like? https://t.co/dmB7zeUPHE<br><b>Clean</b>: u and your ideology people r chokked 2day bcause hindutava emerged winner as people of maharastra supported in 2019 but udhav insulted this mandate and supported d hands of of malik u certainly support their way of governance and wht sonia like",code-switched,13/12/2022 0:18
30,11219,<b>Raw:</b> Kashmir valley calling us to see it's beautiful nature... Today flying✈️ to Srinagar (J&amp;K) by Spicejet. https://t.co/sMagGU94qF<br><b>Clean</b>: kashmir valley calling us to see its beautiful nature today flying to srinagar jandk by spicejet,code-switched,13/12/2022 0:19
31,19866,<b>Raw:</b> @Apple can you give me iPad Pro for free ? 😌<br><b>Clean</b>: can you give me ipad pro for free,full_standard_english,13/12/2022 0:19
32,19467,"<b>Raw:</b> @hemanshi50 Yes I agree with you hemanshi
Jay Shree Ram<br><b>Clean</b>: yes i agree with you hemanshi jay shree ram",not-syntactic_standard_english,13/12/2022 0:19
33,9763,"<b>Raw:</b> 🌙 Ramadan Campaign

Day 07

_*Be the Best*_

 'The best among you are the best in character (having good manners)'

🌼 Source : Sahih al-Bukhari, 6035

@sio_du @ SIO of India https://t.co/6g9PB2caOG<br><b>Clean</b>: ramadan campaign day 07 be the best the best among you are the best in character having good manners source sahih al bukhari 6035 sio of india",not-syntactic_standard_english,13/12/2022 0:19
34,19185,"<b>Raw:</b> @RealkrsnaF @realkrsna B.c isse aacha to me so hi jata 🤣
Nd now i can that kr l sign was ghost written<br><b>Clean</b>: b c isse aacha to me so hi jata nd now i can that kr l sign was ghost written",code-switched,13/12/2022 0:20
35,1758,"<b>Raw:</b> Copyrights Infringement!!!!!!!
Other Suitable Caption plzzzzz https://t.co/vEDk7tYNCZ<br><b>Clean</b>: copyrights infringement other suitable caption plzzzzz",non_standard_english,13/12/2022 0:20
36,12564,<b>Raw:</b> https://t.co/r6Md3SWUGc watch full setting of Soundcraft si impact digital mixer @YouTube @Harman @SoundcraftUK @djmixers @PMOIndia @palmexpo @djexpo https://t.co/hnrkgCetXA<br><b>Clean</b>: watch full setting of soundcraft si impact digital mixer,non_standard_english,13/12/2022 0:20
37,16554,<b>Raw:</b> @IndiaAwakened_ @Shrilek62669983 @Adil_INC_ @AnsariK786_4 @shahidsheik03 @mushtaq_husain @OsamaSy32906233 @MrWarish00 @voiceofbillu404 @SpiritOfCongres @msirsiwal @radhacharandas Whole lndia is 🔥 but rulers are sleeping 😴<br><b>Clean</b>: whole lndia is but rulers are sleeping,not-syntactic_standard_english,13/12/2022 0:20
38,3865,"<b>Raw:</b> ""The program (@isro) was germinated, conceptualized, and evolved by the scientists."" -Prof Kasturirangan on the origins of 🇮🇳🇨🇵 partnership in space. Read more about 🇮🇳🇨🇵 scientific history at https://t.co/EIWyvBcCxc 
#Space #History #AzadiKaAmritMahotsav 
@cnes @ifiofficiel https://t.co/BCzdeQYq2t<br><b>Clean</b>: the program was germinated conceptualized and evolved by the scientists prof kasturirangan on the origins of partnership in space read more about scientific history at",not-syntactic_standard_english,13/12/2022 0:21
39,11480,"<b>Raw:</b> @WeThePeople3009 Good Morning brother.
Ramazan teaches Self Control.<br><b>Clean</b>: good morning brother ramazan teaches self control",full_standard_english,13/12/2022 0:21
40,21331,<b>Raw:</b> @theofficalNoah1 @DentedFeelsNFT Yeah thats how the algo works. With the crawlers to find like Nfted people 😝<br><b>Clean</b>: yeah thats how the algo works with the crawlers to find like nfted people,non_standard_english,13/12/2022 0:21
41,22754,<b>Raw:</b> @Sapna779 @adults_RT @adults_cam @boobiebeauty @Cam_veri_fier @findrealcam @CamCgi @camgirl @LiveSexLove @cam 😂😂 30000 for real meet .. 🙏🏻💐 waah re<br><b>Clean</b>: 30000 for real meet waah re,code-switched,13/12/2022 0:21
42,16083,"<b>Raw:</b> #GujaratGauravAbhiyan
Speaking of the dedicated efforts towards Garib Kalyan in the last 8 years, PM Modi said that schemes like Awas Yojana, Jal Jeevan Mission and Ujjwala Yojana and many more have helped improve the lives and livelihoods.<br><b>Clean</b>: speaking of the dedicated efforts towards garib kalyan in the last 8 years pm modi said that schemes like awas yojana jal jeevan mission and ujjwala yojana and many more have helped improve the lives and livelihoods",code-switched,13/12/2022 0:22
43,1590,<b>Raw:</b> @RichardHeartWin Chck your clone on twitter Mr . Potato https://t.co/qR2ZBVq1EO<br><b>Clean</b>: chck your clone on twitter mr potato,non_standard_english,13/12/2022 0:22
44,20909,"<b>Raw:</b> @pushpathak Ram Ram ji....
Jai Bajrang  Bali 🙏🙏<br><b>Clean</b>: ram ram ji jai bajrang bali",not_english,13/12/2022 0:23
45,20451,"<b>Raw:</b> इस देश से ही मेरी पहचान है
यही मेरा दिल यही मेरी Jaan hai 

            कोई आंख उठा कर देखे भी तो कैसे
            इसकी रक्षा में खड़े हर नौजवान है
            हां यह मेरा हिंदुस्तान है..!

@preetee394911
Jai Hind Jai Bharat
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 https://t.co/4DbzgxeBEs<br><b>Clean</b>: jaan hai jai hind jai bharat",not_english,13/12/2022 0:23
46,22115,"<b>Raw:</b> @ajay43 This PM's unscientific temper sounds as if we have gone 100 years back. An insult to the memories of the Homi Bhabhas, Vikram Sarabhais, CVRamans and hundreds of scientific gems of India!<br><b>Clean</b>: this pms unscientific temper sounds as if we have gone 100 years back an insult to the memories of the homi bhabhas vikram sarabhais cvramans and hundreds of scientific gems of india",not-syntactic_standard_english,13/12/2022 0:24
47,9331,"<b>Raw:</b> https://t.co/xJa5NdBzZw

Vedio ko dekhne  like Karen comment Karen aur agar channel ko subscribe nhi kra hai tu subscribe karen https://t.co/nnFDKV2SYM<br><b>Clean</b>: vedio ko dekhne like karen comment karen aur agar channel ko subscribe nhi kra hai tu subscribe karen",code-switched,13/12/2022 0:24
48,4698,"<b>Raw:</b> #BJPwinningUP
PM Modi addressed a rally in Sitapur &amp; spoke about how BJP has been working towards maintaining Law &amp; Order &amp; providing security, especially to women. 
via NaMo App<br><b>Clean</b>: pm modi addressed a rally in sitapur and spoke about how bjp has been working towards maintaining law and order and providing security especially to women via namo app",not-syntactic_standard_english,13/12/2022 0:24
49,7563,<b>Raw:</b> Happy Holi My tweeter all friends https://t.co/KDVGXfIXaD<br><b>Clean</b>: happy holi my tweeter all friends,non_standard_english,13/12/2022 0:24
50,7891,"<b>Raw:</b> Alaba of erstwhile Bayern fame discovering a completely different taste of Barca as Alaba of current-day Real Madrid fame. How quickly things change. 
#RMABAR #ELCLASSICO<br><b>Clean</b>: alaba of erstwhile bayern fame discovering a completely different taste of barca as alaba of current day real madrid fame how quickly things change",not-syntactic_standard_english,13/12/2022 0:25
51,14205,<b>Raw:</b> Great to be discussing The Harambee Factor in Nairobi! https://t.co/Qfbg2phyMh<br><b>Clean</b>: great to be discussing the harambee factor in nairobi,full_standard_english,13/12/2022 0:25
52,17585,"<b>Raw:</b> Teesta's grandfather wasn't only Indian on Jallianwala Bagh inquiry commission. 3 Indians, Pt. Jagat Narayan, Sir Sultan Ahmad Khan &amp; Sir Chimanlal Setalvad were in commission. They disagreed with European members &amp; prepared a separate report called minority report of inquiry https://t.co/qQecOWhkDY<br><b>Clean</b>: teestas grandfather wasnt only indian on jallianwala bagh inquiry commission 3 indians pt jagat narayan sir sultan ahmad khan and sir chimanlal setalvad were in commission they disagreed with european members and prepared a separate report called minority report of inquiry",not-syntactic_standard_english,13/12/2022 0:25
53,8084,"<b>Raw:</b> #MedTwitter 🩺👨🏻‍⚕️

Life is big &amp; so  MBBS Syllabus...!<br><b>Clean</b>: life is big and so mbbs syllabus",not-syntactic_standard_english,13/12/2022 0:26
54,22969,"<b>Raw:</b> @SuccessGyan Please have faith on me once, i wont betry anyone time.
This season i will be the best Speaker of India 2022.
I request please please accpet my answers offline.<br><b>Clean</b>: please have faith on me once i wont betry anyone time this season i will be the best speaker of india 2022 i request please please accpet my answers offline",non_standard_english,13/12/2022 0:26
55,15153,"<b>Raw:</b> Yes you have correctly diagnose the slow death of public.
They are dead and converted into  dead moving without any opposition,crying ,acting deaf and dumb
Facing daily problems silently
Despite massive unemployment 
Highest inflation
Heaviest taxes
Costliest diesel/petrol https://t.co/lpDRCoakhK<br><b>Clean</b>: yes you have correctly diagnose the slow death of public they are dead and converted into dead moving without any oppositioncrying acting deaf and dumb facing daily problems silently despite massive unemployment highest inflation heaviest taxes costliest dieselpetrol",not-syntactic_standard_english,13/12/2022 0:27
56,16240,"<b>Raw:</b> Bagg Tags to track your luggage are available for FREE at Encalm Lounge, Terminal 1D, Delhi Airport @outofofficedaku https://t.co/pn96p1Gqj5<br><b>Clean</b>: bagg tags to track your luggage are available for free at encalm lounge terminal 1d delhi airport",non_standard_english,13/12/2022 0:27
57,21098,"<b>Raw:</b> SUPER SENSATIONAL SILVER FOR BINDYARANI 🔥🔥

Bindyarani Devi 🏋‍♀️wins 🥈in the Women's 55kg with a total lift of 202kg, after an amazing come back 💪💪

Snatch - 86 kg (PB &amp; Equalling NR)
Clean &amp; Jerk - 116 kg (GR &amp; NR)

With this 🇮🇳 bags 4️⃣🏅 @birminghamcg22
#Cheer4India https://t.co/iFbPHpnBmK<br><b>Clean</b>: super sensational silver for bindyarani bindyarani devi wins in the womens 55kg with a total lift of 202kg after an amazing come back snatch 86 kg pb and equalling nr clean and jerk 116 kg gr and nr with this bags 4",not-syntactic_standard_english,13/12/2022 0:27
58,18329,"<b>Raw:</b> Heartiest congratulations #HarishBhat on this Stupendous accomplishment 👏👏👏👏👏👏

@TataCompanies

https://t.co/ufWHJKsFhc<br><b>Clean</b>: heartiest congratulations on this stupendous accomplishment",not-syntactic_standard_english,13/12/2022 0:27
59,19705,<b>Raw:</b> @rohanduaT02 @ShefVaidya @Anand_Journ 😀😀😀😀 best joke of the years 2022..my dear cn u send me P f I manifesto .then u read .how is possible in this time our india  populetion is 130 carore .u saying 2047 muslim comuniry accept shariya kanoon .😀😀😀😀i swear u go to any hospital &amp; chek ur mind problm..😜😜😜😜<br><b>Clean</b>: best joke of the years 2022 my dear cn u send me p f i manifesto then u read how is possible in this time our india populetion is 130 carore u saying 2047 muslim comuniry accept shariya kanoon i swear u go to any hospital and chek ur mind problm,non_standard_english,13/12/2022 0:27
60,17935,"<b>Raw:</b> The body may be of Kanhaiya Lal, but what is burning is collective conscience of Sleeping Hindus. 

#Udaipur https://t.co/UQbRaNPENv<br><b>Clean</b>: the body may be of kanhaiya lal but what is burning is collective conscience of sleeping hindus",not-syntactic_standard_english,13/12/2022 0:28
61,7889,"<b>Raw:</b> #TheKashmirFiles Thanks for showing the reality of Kashmiri’s Pandit.
@DarshanKumaar @AnupamPKher https://t.co/MHB8ytT37r<br><b>Clean</b>: thanks for showing the reality of kashmiris pandit",full_standard_english,13/12/2022 0:28
62,14037,"<b>Raw:</b> ,,, You deserve somebody who knows why you're rare.<br><b>Clean</b>: you deserve somebody who knows why youre rare",not-syntactic_standard_english,13/12/2022 0:28
63,19144,"<b>Raw:</b> Me at 4:45am:-

Life ke sare fuck up ek taraf or fucked up sleep cycle ek taraf.🥲<br><b>Clean</b>: me at 445am life ke sare fuck up ek taraf or fucked up sleep cycle ek taraf",code-switched,13/12/2022 0:28
64,5346,"<b>Raw:</b> Covid testing centre genestrings at delhi airport is fraudantly doing rapid pcr test for Rs2900, as per latest advisory rapid pcr is closed since 22/2/22  and no longer required for australia. They wrongly advised me to get rapid pcr test done for australia on 23/2/22. https://t.co/nBEdVU7emR<br><b>Clean</b>: covid testing centre genestrings at delhi airport is fraudantly doing rapid pcr test for rs2900 as per latest advisory rapid pcr is closed since 22222 and no longer required for australia they wrongly advised me to get rapid pcr test done for australia on 23222",not-syntactic_standard_english,13/12/2022 0:29
65,15123,"<b>Raw:</b> Facts for IAF's $20b MRFA: 
1. 114 aircraft remains( not reduced)
2. IAF prefers Buy Global, Make in India
3. Tech transfer/design/joint production remains at the core
4. Defence policies (SP) need revisit
4. Numbers vs Quality
#mrfa #fighterjet #IAF #squadron @FinancialXpress<br><b>Clean</b>: facts for iafs 20b mrfa 1 114 aircraft remains not reduced 2 iaf prefers buy global make in india 3 tech transferdesignjoint production remains at the core 4 defence policies sp need revisit 4 numbers vs quality",not-syntactic_standard_english,13/12/2022 0:29
66,11147,"<b>Raw:</b> #ParkashPurab
PM Modi recalled the religious fanaticism and atrocities of that period. In front of Aurangzeb's tyranny, Sri Guru Tegh Bahadur Ji stood as  'Hind di Chadar' said PM.
via NaMo App<br><b>Clean</b>: pm modi recalled the religious fanaticism and atrocities of that period in front of aurangzebs tyranny sri guru tegh bahadur ji stood as hind di chadar said pm via namo app",full_standard_english,13/12/2022 0:29
67,4224,<b>Raw:</b> @republic Why should world support a chor ?<br><b>Clean</b>: why should world support a chor,code-switched,13/12/2022 0:29
68,5574,"<b>Raw:</b> Brazil at UNSC Ukriane meet: A line has been crossed. Concerned by Russia's dscn to use force. Military action will inflict damage.

PS: Brazil is fellow Brics country. Strong words against Russia. https://t.co/0OMoONGLrO<br><b>Clean</b>: brazil at unsc ukriane meet a line has been crossed concerned by russias dscn to use force military action will inflict damage ps brazil is fellow brics country strong words against russia",not-syntactic_standard_english,13/12/2022 0:30
69,12993,<b>Raw:</b> @khanumarfa Facist.....Ward Achha hai.....Buy it suits to pseudo secular and liberal only.<br><b>Clean</b>: facist ward achha hai buy it suits to pseudo secular and liberal only,code-switched,13/12/2022 0:30
