,id_column,annotate_text,label,annotated_at
0,6377,<b>Raw:</b> Good morning Shin Ryujin! Apaka ganda mo. 🧡 https://t.co/f6I0JJL1fg<br><b>Clean</b>: good morning shin ryujin apaka ganda mo,,2022-12-10 12:03:29
1,13412,"<b>Raw:</b> @go_kayeng @AlterBaguhang U can block people u do not agree with.
Sped consultant di ba? Nanalo na kayo di ba? Sama ka dun sa solaire o kaya sa amanpulo wag ka pakabusy dito sa twitter. Congrats pag pinasalubungan ka man lang. Paka busy ka madam sa pagcelebrate  🤣<br><b>Clean</b>: u can block people u do not agree with sped consultant di ba nanalo na kayo di ba sama ka dun sa solaire o kaya sa amanpulo wag ka pakabusy dito sa twitter congrats pag pinasalubungan ka man lang paka busy ka madam sa pagcelebrate",code-switched,2022-12-10 12:03:32
2,7407,"<b>Raw:</b> @bakedmacck hmmm naexp ko to many times and i think he's not into you na after the meet up. i hope u find peace. and never question your self worth. 🙂

Mga gago lang talaga sila at duwag kasi di nila kayang magcommunicate.<br><b>Clean</b>: hmmm naexp ko to many times and i think hes not into you na after the meet up i hope u find peace and never question your self worth mga gago lang talaga sila at duwag kasi di nila kayang magcommunicate",code-switched,2022-12-10 12:03:38
3,5932,<b>Raw:</b> Natatawa na lang ako sa mga to 😂<br><b>Clean</b>: natatawa na lang ako sa mga to,not_english,2022-12-10 12:03:42
4,16441,"<b>Raw:</b> Paano? Well, you should carefully plan your finances. And yes, it is a must to include life insurance on your financial planning.
Alalahanin mo, nag-ibang bansa ka upang makatulong sa pinansyal ng pamilya mo? 'Yang goal mo ba na 'yan ay magbabago kapag nawala<br><b>Clean</b>: paano well you should carefully plan your finances and yes it is a must to include life insurance on your financial planning alalahanin mo nag ibang bansa ka upang makatulong sa pinansyal ng pamilya mo yang goal mo ba na yan ay magbabago kapag nawala",code-switched,2022-12-10 12:03:46
5,19634,<b>Raw:</b> hahahah baka humss na talaga for me<br><b>Clean</b>: hahahah baka humss na talaga for me,not_english,2022-12-10 12:03:53
6,985,<b>Raw:</b> @ctian09j Tagal mo kaya di pinapansin dm ko haha<br><b>Clean</b>: tagal mo kaya di pinapansin dm ko haha,some_english,2022-12-10 12:04:00
7,6894,<b>Raw:</b> @FashionPulis @AiaiDeLasAlas  e di hindi. Sus.. kawalan ba si aiai? NOOOOOOO.. Doon ka na sa america at tumahimik ka na.. sus ang yabang ng babaeng ito.. ano feeling niya na hinahanap pa siya? Nagpapaingay lang yan para mapagusapan daw.. nobody is looking for you kaya 🤐 it🤮<br><b>Clean</b>: e di hindi sus kawalan ba si aiai nooooooo doon ka na sa america at tumahimik ka na sus ang yabang ng babaeng ito ano feeling niya na hinahanap pa siya nagpapaingay lang yan para mapagusapan daw nobody is looking for you kaya it,some_english,2022-12-10 12:04:08
8,3518,"<b>Raw:</b> @lcros186 @SyLicoNgaAko Actually more kay Duterte.
Na ayaw din kay Marcos<br><b>Clean</b>: actually more kay duterte na ayaw din kay marcos",not_english,2022-12-10 12:04:16
9,3390,<b>Raw:</b> Ang lala ng hingal ko para lang mahabol yung shuttle service. 😩<br><b>Clean</b>: ang lala ng hingal ko para lang mahabol yung shuttle service,some_english,2022-12-10 12:04:21
10,18493,<b>Raw:</b> And the long weekend is over! At BAU na ulit mmya.. ayaw ko pa bumalik gusto ko pa ma extend ang bakasyooon 🥹<br><b>Clean</b>: and the long weekend is over at bau na ulit mmya ayaw ko pa bumalik gusto ko pa ma extend ang bakasyooon,code-switched,2022-12-10 12:04:24
11,18598,<b>Raw:</b> naadik na lang talaga ako sa solo debut mo nayeon!!<br><b>Clean</b>: naadik na lang talaga ako sa solo debut mo nayeon,some_english,2022-12-10 12:04:27
12,4904,<b>Raw:</b> Lord I'm sorry and thank you always ikaw na po bahala saken🤧😭 https://t.co/wf2YFnMnP0<br><b>Clean</b>: lord im sorry and thank you always ikaw na po bahala saken,code-switched,2022-12-10 12:04:31
13,14394,<b>Raw:</b> Wag mo na sirain umaga ko please.<br><b>Clean</b>: wag mo na sirain umaga ko please,some_english,2022-12-10 12:04:34
14,20343,<b>Raw:</b> why haven’t bladee and ecco performed amygdala live yet 😣<br><b>Clean</b>: why havent bladee and ecco performed amygdala live yet,non_standard_english,2022-12-10 12:04:41
15,60,<b>Raw:</b> Wag muna mag ecq. Mag subic pa kami eh haha<br><b>Clean</b>: wag muna mag ecq mag subic pa kami eh haha,not_english,2022-12-10 12:04:52
16,6597,<b>Raw:</b> @merma_salas Loobin sa next batch makasama na kayo at kami ulit 💖<br><b>Clean</b>: loobin sa next batch makasama na kayo at kami ulit,some_english,2022-12-10 12:04:57
17,497,<b>Raw:</b> Ito na nagsstart na ko mairita sa asawa ni jerry! 😵🤦‍♀️<br><b>Clean</b>: ito na nagsstart na ko mairita sa asawa ni jerry,not_english,2022-12-10 12:05:05
18,2368,<b>Raw:</b> Nu ba tong topic nyo today nakakapagbabagabag @RX931 #TheMorningRush @ricaggg @chicogarcia @hazelhottie<br><b>Clean</b>: nu ba tong topic nyo today nakakapagbabagabag,some_english,2022-12-10 12:05:13
19,22021,<b>Raw:</b> Yess maayos na din ang disablity form ko🥰🥰🥰 https://t.co/yWh6Kt9HVc<br><b>Clean</b>: yess maayos na din ang disablity form ko,,2022-12-10 12:05:27
20,16130,"<b>Raw:</b> Gagu tanggalin mo na yang singsing, ako yung na ooffend para sa nililigawan mo eh<br><b>Clean</b>: gagu tanggalin mo na yang singsing ako yung na ooffend para sa nililigawan mo eh",not_english,2022-12-10 12:05:31
21,4621,"<b>Raw:</b> I slept at around 2am, woke up at 6am. Sino antok??!!<br><b>Clean</b>: i slept at around 2am woke up at 6am sino antok",code-switched,2022-12-10 12:05:35
22,21779,"<b>Raw:</b> Sunday classics playing via grab radio. 
Lakas maka probinsya feels<br><b>Clean</b>: sunday classics playing via grab radio lakas maka probinsya feels",code-switched,2022-12-10 12:05:38
23,10610,<b>Raw:</b> @Dalangin__ Oooohhh! Meron na pala dito! But i know it’s pricey for the local market. Huhuhu<br><b>Clean</b>: oooohhh meron na pala dito but i know its pricey for the local market huhuhu,code-switched,2022-12-10 12:05:42
24,15966,<b>Raw:</b> gusto ko na magpictureee mabubulok na tong era<br><b>Clean</b>: gusto ko na magpictureee mabubulok na tong era,some_english,2022-12-10 12:05:50
25,6393,"<b>Raw:</b> Sana sa Makati naman. Ayala Triangle. Imagine pink confetti raining down from buildings. (Ninoy Aquino, Gabriela Silang, Sultan Kudarat, Gen. Pio monuments are waiting haha.) Or Circuit grounds para mas malawak. Next month? Sana. 🙏<br><b>Clean</b>: sana sa makati naman ayala triangle imagine pink confetti raining down from buildings ninoy aquino gabriela silang sultan kudarat gen pio monuments are waiting haha or circuit grounds para mas malawak next month sana",code-switched,2022-12-10 12:05:54
26,126,<b>Raw:</b> @chinitaqueenx So bale wala na maaga ka papasok? Haha what time ba nag start hahah<br><b>Clean</b>: so bale wala na maaga ka papasok haha what time ba nag start hahah,some_english,2022-12-10 12:06:00
27,11588,"<b>Raw:</b> @_rainbowfighter @SexyTwinkDad @gelaiii_gerl @nashleelaroya push! sama po kayo sa amin, basta bawal po ang hubad while rounding ah. ☺️<br><b>Clean</b>: push sama po kayo sa amin basta bawal po ang hubad while rounding ah",some_english,2022-12-10 12:06:06
28,10745,"<b>Raw:</b> Unlimited Japanese Dining for only 599 pesos! Tag your friends and head to Soru Izakaya, located in Burgos Circle, BGC.🥂 https://t.co/J03x4CtDb2 https://t.co/x1evuLqJf6<br><b>Clean</b>: unlimited japanese dining for only 599 pesos tag your friends and head to soru izakaya located in burgos circle bgc",,2022-12-10 12:06:09
29,3820,<b>Raw:</b> Tumaas na naman ata yung grado ng mata ko. Hmmm<br><b>Clean</b>: tumaas na naman ata yung grado ng mata ko hmmm,not_english,2022-12-10 12:06:14
30,12677,<b>Raw:</b> Happy Mother’s Day sa mga Mama niyo 🌸🌸<br><b>Clean</b>: happy mothers day sa mga mama niyo,code-switched,2022-12-10 12:06:18
31,11744,<b>Raw:</b> focus agent ka hanggang ngayong end of month te hahahahahaha yawa<br><b>Clean</b>: focus agent ka hanggang ngayong end of month te hahahahahaha yawa,some_english,2022-12-10 12:06:22
32,15446,<b>Raw:</b> Mag open nalang Kaya ako ng food/party trays for sale? https://t.co/H7U1iuIbZA<br><b>Clean</b>: mag open nalang kaya ako ng foodparty trays for sale,,2022-12-10 12:06:26
33,12311,<b>Raw:</b> Sadboi ampotek. No to negative campaigning pa? Lol. https://t.co/vBMfw3c6hf<br><b>Clean</b>: sadboi ampotek no to negative campaigning pa lol,,2022-12-10 12:06:32
34,6725,<b>Raw:</b> @sejoalzir ibig sabihin need na ipa trend ang mga sites na tama ang information at hindi galing sa Fake News factory.<br><b>Clean</b>: ibig sabihin need na ipa trend ang mga sites na tama ang information at hindi galing sa fake news factory,code-switched,2022-12-10 12:06:41
35,23717,"<b>Raw:</b> WTT | LFT | PH only 🇵🇭

WANT:
Heeseung Manifesto: Day 1
Regular, Engene, &amp; Weverse Albums ver. D J M pcs / counterpart

HAVE:
enhypen jungwon hee jay jake sunghoon sunoo ni-ki riki dimension: dilemma charybdis odysseus scylla answer yet no senkou m:d1 selca holo pob lucky draw ld https://t.co/6AMl35jgZR<br><b>Clean</b>: wtt lft ph only want heeseung manifesto day 1 regular engene and weverse albums ver d j m pcs counterpart have enhypen jungwon hee jay jake sunghoon sunoo ni ki riki dimension dilemma charybdis odysseus scylla answer yet no senkou md1 selca holo pob lucky draw ld",,2022-12-10 12:06:48
36,21396,<b>Raw:</b> Grabe epekto ng work ko sa mental health ko ☺️<br><b>Clean</b>: grabe epekto ng work ko sa mental health ko,some_english,2022-12-10 12:06:54
37,11447,<b>Raw:</b> Di naman para haha opo opo ako po yes po https://t.co/qqyLE48J8G<br><b>Clean</b>: di naman para haha opo opo ako po yes po,not_english,2022-12-10 12:06:58
38,23867,<b>Raw:</b> 8 hours tulog ko kasi nasa cebu ako sa panaginip ko haha<br><b>Clean</b>: 8 hours tulog ko kasi nasa cebu ako sa panaginip ko haha,some_english,2022-12-10 12:07:04
39,21503,<b>Raw:</b> @mildredsales2 Third week para sure na may sahod HAHHAHA<br><b>Clean</b>: third week para sure na may sahod hahhaha,code-switched,2022-12-10 12:07:08
40,21510,<b>Raw:</b> #LicenseProfessionalTeacher na ko thru the help BTS's music @BTS_twt thanks borahae 💜<br><b>Clean</b>: na ko thru the help btss music thanks borahae,code-switched,2022-12-10 12:07:14
41,4400,<b>Raw:</b> Understand the language of love of your partner para daw nagkakaintindihan kayo. Pano po pag oyotin?<br><b>Clean</b>: understand the language of love of your partner para daw nagkakaintindihan kayo pano po pag oyotin,code-switched,2022-12-10 12:07:18
42,13569,"<b>Raw:</b> As a certified thirdwheeler or kaladkarin, I'd be happy to be back here. 

Crushie baka naman? https://t.co/XEv6jK99qb<br><b>Clean</b>: as a certified thirdwheeler or kaladkarin id be happy to be back here crushie baka naman",code-switched,2022-12-10 12:07:21
