Unnamed: 0,id_column,cleaned_content,label,annotated_at
0,68,alles autos credit ad 2 colour copyrighted amp created by jennifer leong,standard_english,2022-10-03 17:02:22
1,1,paling best texture dia cair macam toner tapi potency tinggi macam serum kalau kulit korg suka sgt dengan niacinamide atau dah guna brightening ingredient tapi tak menjadi cuba guna dengan essence ni just dab dab aja dekat kulit lepas cleanser sebelum moisturizer,not_english,2022-10-03 17:02:25
2,26,tak gak amik yang kiwi passionfruit guava tu sedap dol,not_english,2022-10-03 17:02:26
40,13,poling jebakan yang paling gak pantas katanya,not_english,2022-10-03 17:03:08
4,61,hmm nike tak nk supply boot kat aliksan dgn sport direct mid valley southkey ke,not_english,2022-10-03 17:02:30
5,48,arghh nak nangis nak top 5 dapat top 4 jomm kita struggle sikit lagi esok boleh dapat trending no 1 lets gooo guysss,not_english,2022-10-03 17:02:32
6,29,sb se pehly tmhain doob k mar jana chaiye bc,not_english,2022-10-03 17:02:34
7,36,hyderabadi humour uno cycle chalate chalate pairan dard hore bolke bike liye bike chalane se kamarr me dard hora bolke car liye car chalane se pet nikal gaya bolke gym join kara ab gym me cycle icch chalaraa howla,not_english,2022-10-03 17:02:36
8,60,dipimpin nagita slavina inilah profil es teh indonesia yang viral di twitter,not_english,2022-10-03 17:02:38
9,46,apa yg salah ku pun tak tau,not_english,2022-10-03 17:02:40
23,10,imagine tempat dia tu sebenarnya boleh je bagi non bumi yang dapat 4 00 which im sure melambak lambak kat luar tu,not_english,2022-10-03 17:02:49
62,11,soalan serius possible tak kalau swap rumah dlm iklan ni dengan rumah apartment mentari court di sunway pj market value rm 380k current value 280k,not_english,2022-10-03 17:02:51
20,58,aku penat penat nak pendam,,2022-10-03 17:30:34
13,22,lakas maka station id vibes,not_english,2022-10-03 17:30:06
14,31,n o sei hazard era muito muito muito craque,not_english,2022-10-03 17:30:09
15,9,aku macam tak boleh accept,not_english,2022-10-03 17:30:12
16,14,ni semua salah team yang dapat no4 tu sebab kalah hahaha,not_english,2022-10-03 17:30:14
17,12,susahlah kalau kita kasi nasihat orang tak nak dengar nanti complain itulah inilah memang malas nak layan gasaklah anything happens it s not going be my fault period,,2022-10-03 17:30:22
18,64,kalau solat pun tak boleh nak jaga what do you expect nak jadi pejuang agama sedangkan solat itu sendiri tiang agama,,2022-10-03 17:30:25
19,7,you know what dalam relay you should be yourself kalau dia takterima tu dia punya pasal i mean hellooo kau nak dia so kau kena terima everything about her him why kena ubah disebabkan kau taksuka kalau macamtu kira fake percayalah takkan kekal lama,,2022-10-03 17:30:27
