,id,date,rawContent,cleaned_content,english_relative_frequency
54,16355,2022-06-13 23:46:23+00:00,@TashpiAsk @Joy997FM Hoh u pipo want come back to power nd u still dey do dis childish politics. U wod come to power nd not do fuat about anything. Wat ddnt dey say about holding corrupt officials to accountability. D thieves all still dey walk free. Mke we think,hoh u pipo want come back to power nd u still dey do dis childish politics u wod come to power nd not do fuat about anything wat ddnt dey say about holding corrupt officials to accountability d thieves all still dey walk free mke we think,0.8936170212765957
27,7728,2022-03-19 23:48:45+00:00,@FCBarcelona @Pedri Moro guys do or die afairs,moro guys do or die afairs,0.8333333333333334
44,445,2022-01-05 23:41:57+00:00,@Christainabb @GhPoliceService  I heard this guy is scamming people,i heard this guy is scamming people,0.8571428571428571
99,22200,2022-08-10 23:21:20+00:00,"Wooooow .... Dis Year @shattawalegh dey on top 🙏🤝💯💯💯🌍🥰🌋🌋🌋🌋🌋
#GOGALBUM https://t.co/7aZlNWpa3r",wooooow dis year dey on top,0.8333333333333334
44,9945,2022-04-10 23:51:13+00:00,Please Kweku won’t travel again oh,please kweku wont travel again oh,0.8333333333333334
7,7508,2022-03-17 23:55:03+00:00,@SpOOkyTheManiaC We are LIVE on TikTok too.. Same handle,we are live on tiktok too same handle,0.875
49,22850,2022-08-17 23:34:17+00:00,@shattawalegh Shatta Wale you said “whatever goes up must come down” so don’t let Asamoah Gyan confuse you with On God so that you’ll make him feel like Bossu cos the Qatar dierr he fit go but paaa say he go play give BS dierr lai lai in Kelvyn boy’s voice 😂,shatta wale you said whatever goes up must come down so dont let asamoah gyan confuse you with on god so that youll make him feel like bossu cos the qatar dierr he fit go but paaa say he go play give bs dierr lai lai in kelvyn boys voice,0.82
3,2804,2022-01-29 23:56:08+00:00,@KalyJay_Ba Make I send ma momo lol or mi maame,make i send ma momo lol or mi maame,0.8888888888888888
7,6808,2022-03-10 23:52:08+00:00,@Dumegakorsi Yea But UEW is the best,yea but uew is the best,0.8333333333333334
40,441,2022-01-05 23:43:50+00:00,"@mygtvsports @mistameister @TwitterGhana That guy be good waaaa , he they verified almost all the celebrities in Gh",that guy be good waaaa he they verified almost all the celebrities in gh,0.8571428571428571
