,id_column,annotate_text,label,annotated_at
0,18650,"<b>Raw:</b> @oslecjunior I thought the last 6yrs would kind of prepare me. But NO. This is worse. The guy is just winging it.  Too lazy to prepare, too lazy to care.<br><b>Clean</b>: i thought the last 6yrs would kind of prepare me but no this is worse the guy is just winging it too lazy to prepare too lazy to care",non_standard_english,2022-12-12 22:59:00
1,18362,"<b>Raw:</b> bank savings only had Php 490,000, because his bank deposit has 0.25% interest per year and a 20% withholding tax on interest.

However, Mr. Y became a millionaire. Because he was able to invest in a VUL with a growing portfolio, plus he also got life<br><b>Clean</b>: bank savings only had php 490000 because his bank deposit has 0 25 interest per year and a 20 withholding tax on interest however mr y became a millionaire because he was able to invest in a vul with a growing portfolio plus he also got life",not-syntactic_standard_english,2022-12-12 22:59:15
2,5081,"<b>Raw:</b> That is a bad skin cut, not certainly a bruise that we often neglect to treat correctly. Here's praying that heals in due time after proper wound dressing by a doctor. I almost lost my left thumb from a tiny skin puncture from rusty splinter. Cost me 60k minor surgery at LPDH https://t.co/YrNfeH9wzD https://t.co/P0UHBGX9FQ<br><b>Clean</b>: that is a bad skin cut not certainly a bruise that we often neglect to treat correctly heres praying that heals in due time after proper wound dressing by a doctor i almost lost my left thumb from a tiny skin puncture from rusty splinter cost me 60k minor surgery at lpdh",,2022-12-12 22:59:27
3,4827,<b>Raw:</b> Good results during readouts and preparation for MBR and initiatives. This week may be tiring but I feel so happy and satisfied.<br><b>Clean</b>: good results during readouts and preparation for mbr and initiatives this week may be tiring but i feel so happy and satisfied,not-syntactic_standard_english,2022-12-12 22:59:32
4,22852,<b>Raw:</b> props to mama pao for being brutally honest with critiques ha<br><b>Clean</b>: props to mama pao for being brutally honest with critiques ha,non_standard_english,2022-12-12 22:59:39
5,10081,"<b>Raw:</b> frenchbalut No stream this morning because i need to 
work and save the world again, but you can read this 
new amazing about Viper in Valorant: 

https://t.co/imX7SJ5ALU

#valorantph 
#ValorantPhilippines #streamertwitch 
#twitchphilippines

Kiss kiss you smell good 😘👌🏻<br><b>Clean</b>: frenchbalut no stream this morning because i need to work and save the world again but you can read this new amazing about viper in valorant kiss kiss you smell good",,2022-12-12 22:59:46
6,2806,<b>Raw:</b> Hassle lang if you want to take the money. Sasadyain mo pa ang site to get the winnings. How I wish pwede din ang bank transfer like sa pagcash-in mo.<br><b>Clean</b>: hassle lang if you want to take the money sasadyain mo pa ang site to get the winnings how i wish pwede din ang bank transfer like sa pagcash in mo,code-switched,2022-12-12 22:59:50
7,20440,<b>Raw:</b> Won’t be surprised if Darry/l Yap to create/direct a Movie of that school shooter next Year.<br><b>Clean</b>: wont be surprised if darryl yap to createdirect a movie of that school shooter next year,not-syntactic_standard_english,2022-12-12 22:59:56
8,19476,<b>Raw:</b> Haha finally! Graduated from level 38. I was level 38 since 2020. Hello Pokémon Go level 39. #pokemongo https://t.co/vV4ARYJ3Pr<br><b>Clean</b>: haha finally graduated from level 38 i was level 38 since 2020 hello pokémon go level 39,,2022-12-12 22:59:59
9,8741,"<b>Raw:</b> Thanks @eds.coffee for sending this morning treat my way.
Check out their best sellers and see for yourself. My all-time favourite is the mocha
#supportlocal #kaysiao #kaysiaoonline @ Mandaluyong https://t.co/zuhj9BRKPx<br><b>Clean</b>: thanks coffee for sending this morning treat my way check out their best sellers and see for yourself my all time favourite is the mocha mandaluyong",full_standard_english,2022-12-12 23:00:11
10,11266,<b>Raw:</b> @News5PH How can you tell that it is right? ABS CBN? How depth is your knowledge to address the global economy and national security? ABS CBN? How can you address all social and economic issues? ABS CBN? What right are you talking about? To promote your wellbeing and own welfare. #think🤔<br><b>Clean</b>: how can you tell that it is right abs cbn how depth is your knowledge to address the global economy and national security abs cbn how can you address all social and economic issues abs cbn what right are you talking about to promote your wellbeing and own welfare,not-syntactic_standard_english,2022-12-12 23:00:20
11,19820,"<b>Raw:</b> Not at Spotify randomly playing this song after Sea's ""Have I Found"" 😭😭😭

https://t.co/JvOV4Ny37G<br><b>Clean</b>: not at spotify randomly playing this song after seas have i found",,2022-12-12 23:00:26
12,13074,<b>Raw:</b> Been lazy going to work these past few days. I just can't feel the courage and energy to go there. Maybe it's beacuse i'm feeling tired na talaga sa working environment there because of the other people there 😫<br><b>Clean</b>: been lazy going to work these past few days i just cant feel the courage and energy to go there maybe its beacuse im feeling tired na talaga sa working environment there because of the other people there,code-switched,2022-12-12 23:00:33
13,9838,<b>Raw:</b> Finished Elden Ring's three main endings (and watched the two others). So yay New Game+ later woohoo 👏 https://t.co/y9O1pqBkbz<br><b>Clean</b>: finished elden rings three main endings and watched the two others so yay new game later woohoo,,2022-12-12 23:00:35
14,10102,"<b>Raw:</b> Heavy ang work load today 😭😭😭
Kapit lang @ ROYAL PALM VILLA Condominium https://t.co/KG7YQDOvdZ<br><b>Clean</b>: heavy ang work load today kapit lang royal palm villa condominium",code-switched,2022-12-12 23:00:39
15,19774,"<b>Raw:</b> ""Nobody tells you when you're young that life keeps going. It keeps going whether you approve of the progression or not. And eventually, you find yourself wondering, 'How did I end up here?' ""

#PersuasionNetflix https://t.co/DWVCEtcv3M<br><b>Clean</b>: nobody tells you when youre young that life keeps going it keeps going whether you approve of the progression or not and eventually you find yourself wondering how did i end up here",full_standard_english,2022-12-12 23:00:44
16,13714,<b>Raw:</b> No post shift OT today. Need to rest for the game later.<br><b>Clean</b>: no post shift ot today need to rest for the game later,non_standard_english,2022-12-12 23:00:48
17,4549,"<b>Raw:</b> In 2017,

A Mommy got a policy for Baby 

Saving Php 125K every 3 months

Insured si Baby ng Php 8,800,000

Plus may Php 2,114,915.97 na si Baby sa Fund Value nya on top of the coverage, this can be withdrawn anytime

Imagine pag dalaga na si Baby

Age 21

May pondo na sya https://t.co/lBBDbiSWoo<br><b>Clean</b>: in 2017 a mommy got a policy for baby saving php 125k every 3 months insured si baby ng php 8800000 plus may php 2114915 97 na si baby sa fund value nya on top of the coverage this can be withdrawn anytime imagine pag dalaga na si baby age 21 may pondo na sya",code-switched,2022-12-12 23:00:55
