,id_column,annotate_text,label,annotated_at
0,17395,<b>Raw:</b> Vincent kompany just arrived https://t.co/5DiodQ7VgD<br><b>Clean</b>: vincent kompany just arrived,,2022-12-12 09:56:26
1,1844,<b>Raw:</b> @ghanayesu_ So is it still Ghana Yesu that oooor<br><b>Clean</b>: so is it still ghana yesu that oooor,code-switched,2022-12-12 09:56:30
2,18556,<b>Raw:</b> @Benedytte Pappy dey 🏃‍♂️🏃‍♂️lyk dog😂😂<br><b>Clean</b>: pappy dey lyk dog,non_standard_english,2022-12-12 09:56:38
3,19228,<b>Raw:</b> @leslie_kkay @oreonwarmmilkk Chale for Nurses demma postings de3 Opana force oo...the backlog was serious. lol<br><b>Clean</b>: chale for nurses demma postings de3 opana force oo the backlog was serious lol,code-switched,2022-12-12 09:56:44
4,17405,<b>Raw:</b> @kuranchie_eva U see KLM for the background norrr your eyes on... Abrewa kata wu tw3 https://t.co/qXLUI863th<br><b>Clean</b>: u see klm for the background norrr your eyes on abrewa kata wu tw3,,2022-12-12 09:56:51
5,80,<b>Raw:</b> Naeto C listening nicely<br><b>Clean</b>: naeto c listening nicely,not-syntactic_standard_english,2022-12-12 09:57:04
6,15291,"<b>Raw:</b> @yo_niq Locus, DL Q33 mad XPR 50<br><b>Clean</b>: locus dl q33 mad xpr 50",not-syntactic_standard_english,2022-12-12 09:57:20
7,21755,"<b>Raw:</b> @AdusiPoku86 @GeorgeAnagli @_minister_Isaac @Opresii If Ronaldo plays in the UEL and Messi plays in the UCL till they retire,Messi will never win 5 UCL trophies 😌🤝<br><b>Clean</b>: if ronaldo plays in the uel and messi plays in the ucl till they retiremessi will never win 5 ucl trophies",not-syntactic_standard_english,2022-12-12 09:57:40
8,2004,<b>Raw:</b> Y’all be soo fine 😮‍💨😮‍💨😮‍💨<br><b>Clean</b>: yall be soo fine,not-syntactic_standard_english,2022-12-12 09:58:49
9,14089,<b>Raw:</b> @selasi_klutse E be serious oooo<br><b>Clean</b>: e be serious oooo,non_standard_english,2022-12-12 09:59:44
10,10639,<b>Raw:</b> @PMLEGEND P dot Miz Man 🤌🏿<br><b>Clean</b>: p dot miz man,some_english,2022-12-12 09:59:58
11,17802,<b>Raw:</b> Check out nellistawiah's video! #TikTok https://t.co/xxuPUmAL3b<br><b>Clean</b>: check out nellistawiahs video,,2022-12-12 10:00:03
12,11659,<b>Raw:</b> @Zillah_This Relax. Ebe ceiling fan 💀😀<br><b>Clean</b>: relax ebe ceiling fan,code-switched,2022-12-12 10:20:36
13,8376,<b>Raw:</b> The funeral was postponed! 😂 https://t.co/NFN8FUzoFJ<br><b>Clean</b>: the funeral was postponed,,2022-12-12 10:20:40
14,9662,<b>Raw:</b> 11:18pm and I’m about eating cornflakes while watching Nollywood movies 👍🏾 https://t.co/llrAgBqm3h<br><b>Clean</b>: 1118pm and im about eating cornflakes while watching nollywood movies,,2022-12-12 10:20:49
15,13785,<b>Raw:</b> @Opresii When oyibo chop you<br><b>Clean</b>: when oyibo chop you,code-switched,2022-12-12 10:20:54
16,14,<b>Raw:</b> @__effah @Kwaku____ She say like Captan and Addi Sef for step in 😭😭😭😭<br><b>Clean</b>: she say like captan and addi sef for step in,non_standard_english,2022-12-12 11:35:43
17,10061,<b>Raw:</b> Opetey 1 in da building ❤️🔥 https://t.co/1uGe19nOUO<br><b>Clean</b>: opetey 1 in da building,,2022-12-12 11:35:51
18,22745,<b>Raw:</b> @YooBoyOg @orevalouis @ESPNFC Hastenly.... This is where thou needeth to be https://t.co/atJ5w65xqI<br><b>Clean</b>: hastenly this is where thou needeth to be,,2022-12-12 11:35:56
19,21960,<b>Raw:</b> @Shamzy_0 Chale Big Ivy be hard 😂 I’m Like Barcelona I have no Mercy (Messi) herh 😂<br><b>Clean</b>: chale big ivy be hard im like barcelona i have no mercy messi herh,non_standard_english,2022-12-12 11:36:08
20,19032,<b>Raw:</b> Erasmus now woyɛ lawyer? Ei! Defamation nyinaa come inside 😂 #Daterushreunion<br><b>Clean</b>: erasmus now woy lawyer ei defamation nyinaa come inside,code-switched,2022-12-12 11:36:11
21,22096,<b>Raw:</b> Y’all remember this jam? https://t.co/vs5YTEE45X<br><b>Clean</b>: yall remember this jam,,2022-12-12 11:36:17
22,11173,<b>Raw:</b> @ReggieRockstone @Joyallover @Liquorose Sure thing 👍 Big Bro @RoseArmy__  @RosearmyR<br><b>Clean</b>: sure thing big bro,not-syntactic_standard_english,2022-12-12 11:36:24
23,8808,<b>Raw:</b> @antoniojg1986 @ZachLowy Hhhhmmmm it’s very sad<br><b>Clean</b>: hhhhmmmm its very sad,non_standard_english,2022-12-12 11:36:29
24,8395,<b>Raw:</b> Ekumfi for the night o aahhh finesse 🕺🏿<br><b>Clean</b>: ekumfi for the night o aahhh finesse,code-switched,2022-12-12 11:36:33
25,23900,<b>Raw:</b> @BruceJojo use the same energy to talk abt ur fante chiefs. bcos of politics 3nti u ar peaching against Asantehene. Bt in ur own hometown poverty is crippling them<br><b>Clean</b>: use the same energy to talk abt ur fante chiefs bcos of politics 3nti u ar peaching against asantehene bt in ur own hometown poverty is crippling them,code-switched,2022-12-12 11:36:40
26,13357,<b>Raw:</b> @BLAKK_SPYDA @liliesandsmiles Ohh yhhh...u ankasa u be good boy oo<br><b>Clean</b>: ohh yhhh u ankasa u be good boy oo,code-switched,2022-12-12 11:36:45
