,id_column,annotate_text,label,annotated_at
0,19016,<b>Raw:</b> @Fun3984 sinulat ko yan for you... and based from my experience 8 years ago<br><b>Clean</b>: sinulat ko yan for you and based from my experience 8 years ago,code-switched,2022-12-12 15:30:23
1,4833,"<b>Raw:</b> One day your “Lord ba’t ako?” Will be “Lord, kaya pala” 

🙏🏻🙏🏻🙏🏻<br><b>Clean</b>: one day your lord bat ako will be lord kaya pala",code-switched,2022-12-12 15:30:26
2,2272,<b>Raw:</b> Gonna try and get a light workout in today after 2 days of being laid out after the Moderna vaccine<br><b>Clean</b>: gonna try and get a light workout in today after 2 days of being laid out after the moderna vaccine,non_standard_english,2022-12-12 15:30:35
3,6990,<b>Raw:</b> @Jayecane Not really bcoz im working 24/7 to earn amount for the operation of my grandfather 🙏🏻😭😭<br><b>Clean</b>: not really bcoz im working 247 to earn amount for the operation of my grandfather,not-syntactic_standard_english,2022-12-12 15:30:41
4,7522,"<b>Raw:</b> Ugh. I left my earphones at home.🥲
What a rough day. And it's not even 8am. Eme. Ang arte.<br><b>Clean</b>: ugh i left my earphones at home what a rough day and its not even 8am eme ang arte",code-switched,2022-12-12 15:30:47
5,20285,<b>Raw:</b> ate girl as a pa sweet college student 😂 @ Uptown Bonifacio https://t.co/LQAtPlwkwl<br><b>Clean</b>: ate girl as a pa sweet college student uptown bonifacio,,2022-12-12 15:30:51
6,9293,"<b>Raw:</b> Been seeing this on my FYP and wanted to try since I have some medical concerns too.. This is Acu-Chiro located at Alpha Dr, MatandangBalara, Quezon City. To book sessions, contact them via Facebook under the same name https://t.co/ScekYMvVY1<br><b>Clean</b>: been seeing this on my fyp and wanted to try since i have some medical concerns too this is acu chiro located at alpha dr matandangbalara quezon city to book sessions contact them via facebook under the same name",non_standard_english,2022-12-12 15:30:59
7,2104,<b>Raw:</b> @loidasandiego77 Ito po ang realidad ng commercial TV stations. Missed opportunity ba kamo ni @bongbongmarcos ? He doesn't need to be smeared by the likes of biased media like @GMA_PA 's Jessica So-sorry. Noticed how sparse usual TV ads? 30-M adspend shied off w/ #BBM staying above losing pack! https://t.co/fCP3x8FmS5<br><b>Clean</b>: ito po ang realidad ng commercial tv stations missed opportunity ba kamo ni he doesnt need to be smeared by the likes of biased media like s jessica so sorry noticed how sparse usual tv ads 30 m adspend shied off w staying above losing pack,code-switched,2022-12-12 15:31:07
8,23454,<b>Raw:</b> and I'm still somehow ontime 🤦🏽‍♀️ hahaha I have beaten the odds of Philippine commute<br><b>Clean</b>: and im still somehow ontime hahaha i have beaten the odds of philippine commute,non_standard_english,2022-12-12 15:31:11
9,2872,<b>Raw:</b> Age of Dinosaurs and Carebears sticker book collection by Panini https://t.co/bk1lmX17Dz<br><b>Clean</b>: age of dinosaurs and carebears sticker book collection by panini,,2022-12-12 15:31:15
10,11918,"<b>Raw:</b> Still can’t believe she was given Pro Ecclesia et Pontifice, a highest award given by the Pope. 

The Vatican @Pontifex should strip of the award from her. https://t.co/S53nzfmbtJ<br><b>Clean</b>: still cant believe she was given pro ecclesia et pontifice a highest award given by the pope the vatican should strip of the award from her",not-syntactic_standard_english,2022-12-12 15:31:34
11,20335,"<b>Raw:</b> C H U P A  C H U P S

🍭🍭🍭

#chupachups #candy #lollipop #sweets #yummy #yummyfood #chupachups🍭 #hzlnutzs #megamall @ SM Mega Mall Ortigas https://t.co/GpStUyn6cv<br><b>Clean</b>: c h u p a c h u p s sm mega mall ortigas",,2022-12-12 15:31:38
12,20659,"<b>Raw:</b> Seeing all the post #CQ2022 reflection threads, vlogs, content pieces, etc. is legit making me cry at 8AM 😭

To see so many people enjoy our festival.... what a magical feeling 🥺

Y'all gonna cry with me when we release the after movie 🤣<br><b>Clean</b>: seeing all the post reflection threads vlogs content pieces etc is legit making me cry at 8am to see so many people enjoy our festival what a magical feeling yall gonna cry with me when we release the after movie",non_standard_english,2022-12-12 15:31:46
13,9400,"<b>Raw:</b> Your birthday is not yet over,  because you brought happiness in our hearts here is another
Short video for you AyFur sweetheart 😍😍 https://t.co/pmTrJ0PzxJ<br><b>Clean</b>: your birthday is not yet over because you brought happiness in our hearts here is another short video for you ayfur sweetheart",,2022-12-12 15:31:52
14,13290,<b>Raw:</b> @lenirobredo - Hi VP Leni. Thanks for igniting a spark to all of us. We look forward to more programs like this :)<br><b>Clean</b>: hi vp leni thanks for igniting a spark to all of us we look forward to more programs like this,not-syntactic_standard_english,2022-12-12 15:32:00
15,3001,"<b>Raw:</b> Happy birthday to our most precious leader, main vocalist, and my ULTIMATE BIAS PARK JIHYO! Thank you for your hard work and you inspire me to work hard.💛
@JYPETWICE
@HYO_Team21 
@TFVUnion 
@twice_trans 
#HappyJIHYOday 🦄
#Our_Light_JihyoDay
#지효와의_모든순간_마치_퍼스트타임 https://t.co/oGTHEealf1<br><b>Clean</b>: happy birthday to our most precious leader main vocalist and my ultimate bias park jihyo thank you for your hard work and you inspire me to work hard",full_standard_english,2022-12-12 15:32:20
16,14783,<b>Raw:</b> I like how our news headlines will now always have these juicy adjectival phrases to remind us of politics barda https://t.co/KLfuhgsQHu<br><b>Clean</b>: i like how our news headlines will now always have these juicy adjectival phrases to remind us of politics barda,full_standard_english,2022-12-12 15:32:38
17,11008,"<b>Raw:</b> ""I the BEST ther is. The BEST there was... And the BEST there ever will be."" - His Excellence of Execution, Bret ""The Hitman"" Hart @ Kroma Tower https://t.co/TvHCmCSa36<br><b>Clean</b>: i the best ther is the best there was and the best there ever will be his excellence of execution bret the hitman hart kroma tower",non_standard_english,2022-12-12 15:32:54
18,10816,"<b>Raw:</b> Sadly, tiktok took it down and now I'm restricted from posting. Lol 🤣 https://t.co/efOC698DZN<br><b>Clean</b>: sadly tiktok took it down and now im restricted from posting lol",,2022-12-12 15:32:58
19,1150,<b>Raw:</b> @FireNoggin You can also apparently use drawings from CSP to extrude in blender now too!<br><b>Clean</b>: you can also apparently use drawings from csp to extrude in blender now too,full_standard_english,2022-12-12 15:33:06
20,19576,"<b>Raw:</b> yeah let me use these metallic arms to grab your head and extract it from your neck✨pAiNLeSsLy✨

 https://t.co/5YPuCWWOqf<br><b>Clean</b>: yeah let me use these metallic arms to grab your head and extract it from your neckpainlessly",non_standard_english,2022-12-12 15:33:13
21,18847,"<b>Raw:</b> 2+2 and yes, let the 4 days of rest begin! Salamat sa auto approved na leave ko from my Boss. Now, anong plano? 😎 #weekendvibes @ Manhattan Gardens https://t.co/NZiKvRDVcR<br><b>Clean</b>: 22 and yes let the 4 days of rest begin salamat sa auto approved na leave ko from my boss now anong plano manhattan gardens",code-switched,2022-12-12 15:33:25
22,24227,"<b>Raw:</b> #HowDidYouSurvive losing my mom to cancer?

I used her as my inspiration to keep going and to honor her memory by reaching for our shared dreams as if she's still with us.

#themorningrush<br><b>Clean</b>: losing my mom to cancer i used her as my inspiration to keep going and to honor her memory by reaching for our shared dreams as if shes still with us",non_standard_english,2022-12-12 15:33:36
23,17273,<b>Raw:</b> I bet that college professor na “trans-rights” advocate kuno (na silent about what happened to her sa CoG because @srsasot_ is not pink) can’t even match this. #pridemonth2022 🏳️‍🌈🏳️‍⚧️ https://t.co/2vuBLkF4sW<br><b>Clean</b>: i bet that college professor na trans rights advocate kuno na silent about what happened to her sa cog because is not pink cant even match this,code-switched,2022-12-12 15:33:45
24,11575,"<b>Raw:</b> It's Wednesday! I'm breathing, I'm healthy, I'm blessed, I'm grateful for this day! 

Happy hump day! Hump mo nga ko. Jk! Have a good one!!!<br><b>Clean</b>: its wednesday im breathing im healthy im blessed im grateful for this day happy hump day hump mo nga ko jk have a good one",code-switched,2022-12-12 15:34:24
25,11290,<b>Raw:</b> @autumnleaves531 @aldenrichards02 @mainedcm A kind caring partner to Alden..sacrifices gets graces and blessings from the Lord.<br><b>Clean</b>: a kind caring partner to alden sacrifices gets graces and blessings from the lord,not-syntactic_standard_english,2022-12-12 15:34:37
26,15143,"<b>Raw:</b> Since hindi ako sumabay sa shuttle ng office, i have to endure this. Current situation here at MRT Guadalupe station. https://t.co/7ooqA1gITF<br><b>Clean</b>: since hindi ako sumabay sa shuttle ng office i have to endure this current situation here at mrt guadalupe station",code-switched,2022-12-12 15:35:00
27,1943,<b>Raw:</b> YAY!!! A friend gave me sugar free tikoy!!! Didn't even know there was one. Having this for breakfast ❤ https://t.co/CFPTSZNki7<br><b>Clean</b>: yay a friend gave me sugar free tikoy didnt even know there was one having this for breakfast,code-switched,2022-12-12 15:35:04
28,8016,"<b>Raw:</b> Whatever respect I have for you was lost yesterday @jonvicremulla. Not because I am for Leni, but because I am a Caviteño. 
#trapo<br><b>Clean</b>: whatever respect i have for you was lost yesterday not because i am for leni but because i am a caviteño",code-switched,2022-12-12 15:35:14
29,2635,<b>Raw:</b> May your dreams come true. Hopefully you are registered. Then vote on Election Day. Your vote counts. Then monitor the counting. Guard your vote. Then you have done your part of trying to make your candidate win. Huwag campaign ng campaign tapos biglang vacation mode sa election.<br><b>Clean</b>: may your dreams come true hopefully you are registered then vote on election day your vote counts then monitor the counting guard your vote then you have done your part of trying to make your candidate win huwag campaign ng campaign tapos biglang vacation mode sa election,code-switched,2022-12-12 15:35:20
