,id,date,rawContent,cleaned_content,english_relative_frequency
58,19759,2022-07-17 23:31:56+00:00,"I present to you the leadership of the Black Galaxies.

⏺️ Gladson Awako - Captain 
⏺️ Vincent Atingah - 1st deputy 
⏺️ Imoro Ibrahim - 2nd deputy

Congratulations! https://t.co/MxMkmvBgPF",i present to you the leadership of the black galaxies gladson awako captain vincent atingah 1st deputy imoro ibrahim 2nd deputy congratulations,0.8
87,22488,2022-08-13 23:24:44+00:00,"@Mr_Nuamah masa you go dey inside 😂🤣😂🤣😂, you menerz shaaa too much",masa you go dey inside you menerz shaaa too much,0.8
49,18050,2022-06-30 23:39:02+00:00,Another one for my babe - Gyakie https://t.co/NqbS0RtCGE,another one for my babe gyakie,0.8333333333333334
48,13249,2022-05-13 23:41:09+00:00,@officialyasmi10 @KBvdvss 😂 he thinks he’s typed sense aaama,he thinks hes typed sense aaama,0.8333333333333334
15,15516,2022-06-05 23:46:49+00:00,THE FIVE (5) LEVELS OF LIGHT || REV EBENEZER ASARE ASUMANING ||  NOW ON AUDIOMACK || SUBSCRIBE || LIKE || SHARE https://t.co/FxsI2oDHtW,the five 5 levels of light rev ebenezer asare asumaning now on audiomack subscribe like share,0.8
75,20376,2022-07-23 23:29:41+00:00,Haaland already bagging it in… too bad he won’t score against Chelsea 😭😭😭,haaland already bagging it in too bad he wont score against chelsea,0.8333333333333334
76,7277,2022-03-14 23:05:21+00:00,Waakye might be better than jollof to me but I still dey chop the two all cause they both dey jom,waakye might be better than jollof to me but i still dey chop the two all cause they both dey jom,0.8571428571428571
66,4167,2022-02-11 23:29:37+00:00,I need a gf but money first,i need a gf but money first,0.8571428571428571
61,24162,2022-08-30 23:34:26+00:00,Bwto this December or? Anyone wants to collaborate,bwto this december or anyone wants to collaborate,0.875
42,9343,2022-04-04 23:38:35+00:00,"@gervin_dk Ah Chale! 🤣🤣🤣🤣🤣

Which thinking be this?",ah chale which thinking be this,0.8333333333333334
21,15822,2022-06-08 23:53:56+00:00,@Rapgbee @quesy99 we dey give to mandem di ni,we dey give to mandem di ni,0.8571428571428571
53,22454,2022-08-13 23:39:50+00:00,Lmao Phyna is crying that what?  #BBNaija,lmao phyna is crying that what,0.8333333333333334
34,8335,2022-03-25 23:40:36+00:00,"Just posted a photo @ East Legon, Accra-Ghana https://t.co/WKXt8Hy0qP",just posted a photo east legon accra ghana,0.875
